evaluation_seed,episode_return,episode_length
20000,-117.0,118
20001,-96.0,97
20002,-77.0,78
20003,-91.0,92
20004,-95.0,96
20005,-91.0,92
20006,-78.0,79
20007,-108.0,109
20008,-70.0,71
20009,-77.0,78
20010,-98.0,99
20011,-134.0,135
20012,-83.0,84
20013,-95.0,96
20014,-80.0,81
20015,-99.0,100
20016,-103.0,104
20017,-140.0,141
20018,-93.0,94
20019,-83.0,84
20020,-73.0,74
20021,-75.0,76
20022,-122.0,123
20023,-69.0,70
20024,-97.0,98
20025,-85.0,86
20026,-84.0,85
20027,-82.0,83
20028,-66.0,67
20029,-86.0,87
20030,-92.0,93
20031,-69.0,70
20032,-84.0,85
20033,-85.0,86
20034,-84.0,85
20035,-74.0,75
20036,-78.0,79
20037,-87.0,88
20038,-101.0,102
20039,-69.0,70
20040,-78.0,79
20041,-70.0,71
20042,-77.0,78
20043,-77.0,78
20044,-91.0,92
20045,-79.0,80
20046,-96.0,97
20047,-84.0,85
20048,-93.0,94
20049,-110.0,111
20050,-96.0,97
20051,-88.0,89
20052,-70.0,71
20053,-88.0,89
20054,-107.0,108
20055,-73.0,74
20056,-73.0,74
20057,-90.0,91
20058,-99.0,100
20059,-73.0,74
20060,-105.0,106
20061,-104.0,105
20062,-93.0,94
20063,-70.0,71
20064,-85.0,86
20065,-97.0,98
20066,-70.0,71
20067,-95.0,96
20068,-77.0,78
20069,-79.0,80
20070,-70.0,71
20071,-69.0,70
20072,-81.0,82
20073,-82.0,83
20074,-81.0,82
20075,-82.0,83
20076,-104.0,105
20077,-104.0,105
20078,-70.0,71
20079,-94.0,95
20080,-70.0,71
20081,-110.0,111
20082,-81.0,82
20083,-78.0,79
20084,-63.0,64
20085,-85.0,86
20086,-93.0,94
20087,-94.0,95
20088,-95.0,96
20089,-102.0,103
20090,-95.0,96
20091,-100.0,101
20092,-92.0,93
20093,-160.0,161
20094,-86.0,87
20095,-92.0,93
20096,-95.0,96
20097,-67.0,68
20098,-88.0,89
20099,-104.0,105
