episode,ending_environment_step,episode_return,episode_length
293,3900,10.0,10
294,3910,9.0,9
295,3920,10.0,10
296,3930,10.0,10
297,3930,9.0,9
298,3940,10.0,10
299,3950,9.0,9
300,3960,10.0,10
301,3970,9.0,9
302,3980,9.0,9
303,3990,9.0,9
304,4000,10.0,10
305,4010,10.0,10
306,4020,10.0,10
307,4030,9.0,9
308,4040,9.0,9
309,4050,9.0,9
310,4060,8.0,8
311,4060,9.0,9
312,4070,10.0,10
313,4080,8.0,8
314,4090,9.0,9
315,4100,10.0,10
316,4110,10.0,10
317,4120,11.0,11
318,4130,9.0,9
319,4140,11.0,11
320,4150,9.0,9
321,4160,10.0,10
322,4170,11.0,11
323,4180,10.0,10
324,4190,12.0,12
325,4200,10.0,10
326,4210,10.0,10
327,4230,11.0,11
328,4240,12.0,12
329,4250,14.0,14
330,4260,13.0,13
331,4290,22.0,22
332,4310,22.0,22
333,4320,10.0,10
334,4330,11.0,11
335,4340,10.0,10
336,4350,9.0,9
337,4360,9.0,9
338,4370,10.0,10
339,4380,10.0,10
340,4390,10.0,10
341,4400,10.0,10
342,4410,9.0,9
343,4420,9.0,9
344,4430,10.0,10
345,4430,9.0,9
346,4440,9.0,9
347,4450,9.0,9
348,4460,8.0,8
349,4470,9.0,9
350,4480,9.0,9
351,4490,8.0,8
352,4490,8.0,8
353,4500,8.0,8
354,4510,10.0,10
355,4520,8.0,8
356,4530,10.0,10
357,4540,11.0,11
358,4550,8.0,8
359,4560,10.0,10
360,4570,11.0,11
361,4580,8.0,8
362,4590,10.0,10
363,4600,10.0,10
364,4610,9.0,9
365,4620,10.0,10
366,4630,9.0,9
367,4640,9.0,9
368,4650,10.0,10
369,4650,9.0,9
370,4660,9.0,9
371,4670,10.0,10
372,4680,11.0,11
373,4690,10.0,10
374,4700,10.0,10
375,4710,10.0,10
376,4720,10.0,10
377,4730,9.0,9
378,4740,10.0,10
379,4750,9.0,9
380,4760,10.0,10
381,4770,8.0,8
382,4780,10.0,10
383,4790,10.0,10
384,4800,10.0,10
385,4810,9.0,9
386,4820,10.0,10
387,4830,10.0,10
388,4840,10.0,10
389,4850,10.0,10
390,4860,9.0,9
391,4870,8.0,8
392,4870,8.0,8
393,4880,9.0,9
394,4890,8.0,8
395,4900,11.0,11
396,4910,9.0,9
397,4920,9.0,9
398,4930,8.0,8
399,4940,10.0,10
400,4950,10.0,10
401,4960,10.0,10
402,4980,17.0,17
403,4990,16.0,16
404,5010,23.0,23
405,5030,17.0,17
406,5050,22.0,22
407,5100,43.0,43
408,5130,30.0,30
409,5150,23.0,23
410,5170,24.0,24
411,5190,18.0,18
412,5210,18.0,18
413,5230,17.0,17
414,5260,31.0,31
415,5290,33.0,33
416,5300,13.0,13
417,5310,11.0,11
418,5330,11.0,11
419,5330,9.0,9
420,5340,8.0,8
421,5350,9.0,9
422,5360,13.0,13
423,5380,16.0,16
424,5410,28.0,28
425,5440,34.0,34
426,5460,17.0,17
427,5470,14.0,14
428,5490,19.0,19
429,5510,18.0,18
430,5540,26.0,26
431,5560,26.0,26
432,5590,31.0,31
433,5650,57.0,57
434,5690,37.0,37
435,5730,46.0,46
436,5760,30.0,30
437,5780,12.0,12
438,5790,13.0,13
439,5800,15.0,15
440,5810,10.0,10
441,5840,30.0,30
442,5910,63.0,63
443,5920,17.0,17
444,5940,17.0,17
445,5960,15.0,15
446,5970,17.0,17
447,6000,23.0,23
448,6030,39.0,39
449,6050,17.0,17
450,6130,78.0,78
451,6150,17.0,17
452,6160,18.0,18
453,6190,21.0,21
454,6270,84.0,84
455,6310,40.0,40
456,6350,42.0,42
457,6390,43.0,43
458,6440,42.0,42
459,6460,25.0,25
460,6490,29.0,29
461,6510,22.0,22
462,6550,33.0,33
463,6610,66.0,66
464,6640,27.0,27
465,6680,41.0,41
466,6720,44.0,44
467,6770,49.0,49
468,6820,45.0,45
469,6890,73.0,73
470,6930,39.0,39
471,6960,27.0,27
472,6980,26.0,26
473,7030,52.0,52
474,7080,41.0,41
475,7110,34.0,34
476,7140,32.0,32
477,7210,72.0,72
478,7250,37.0,37
479,7340,93.0,93
480,7370,29.0,29
481,7410,42.0,42
482,7470,58.0,58
483,7580,104.0,104
484,7630,49.0,49
485,7730,103.0,103
486,7780,50.0,50
487,7870,89.0,89
488,7890,26.0,26
489,7920,26.0,26
490,7960,37.0,37
491,8090,130.0,130
492,8110,19.0,19
493,8130,20.0,20
494,8150,20.0,20
495,8160,16.0,16
496,8180,17.0,17
497,8220,41.0,41
498,8430,209.0,209
499,8480,53.0,53
500,8760,283.0,283
501,9030,267.0,267
502,9090,58.0,58
503,9190,104.0,104
504,9360,167.0,167
505,9510,153.0,153
506,9840,325.0,325
507,10210,375.0,375
508,10390,175.0,175
509,10570,183.0,183
510,10850,280.0,280
511,11070,218.0,218
512,11380,313.0,313
513,11740,355.0,355
514,11920,178.0,178
515,12140,227.0,227
516,12360,216.0,216
517,12800,444.0,444
518,13120,321.0,321
519,13330,208.0,208
520,13620,289.0,289
521,13930,314.0,314
522,14230,300.0,300
523,14520,284.0,284
524,14720,200.0,200
525,14920,201.0,201
526,15090,175.0,175
527,15350,260.0,260
528,15620,268.0,268
529,15810,186.0,186
530,16030,225.0,225
531,16240,205.0,205
532,16500,257.0,257
533,16690,190.0,190
534,16840,159.0,159
535,17340,500.0,500
536,17540,191.0,191
537,17760,221.0,221
538,18030,269.0,269
539,18360,335.0,335
540,18550,188.0,188
541,18780,227.0,227
542,19020,240.0,240
543,19230,217.0,217
544,19450,220.0,220
545,19680,224.0,224
546,19960,280.0,280
547,20190,232.0,232
548,20390,197.0,197
549,20660,272.0,272
550,20850,190.0,190
551,21090,241.0,241
552,21360,269.0,269
553,21590,237.0,237
554,21810,217.0,217
555,22090,282.0,282
556,22300,208.0,208
557,22700,396.0,396
558,22890,189.0,189
559,23120,229.0,229
560,23300,183.0,183
561,23490,188.0,188
562,23680,191.0,191
563,23880,203.0,203
564,24110,228.0,228
565,24330,221.0,221
566,24520,190.0,190
567,24730,206.0,206
568,24950,223.0,223
569,25190,240.0,240
570,25390,205.0,205
571,25560,167.0,167
572,25740,182.0,182
573,25950,211.0,211
574,26120,171.0,171
575,26300,171.0,171
576,26480,189.0,189
577,26650,163.0,163
578,26850,204.0,204
579,27020,171.0,171
580,27180,162.0,162
581,27340,159.0,159
582,27500,160.0,160
583,27690,183.0,183
584,27870,181.0,181
585,28040,177.0,177
586,28220,171.0,171
587,28400,187.0,187
588,28560,154.0,154
589,28720,168.0,168
590,28900,180.0,180
591,29080,175.0,175
592,29250,175.0,175
593,29430,175.0,175
594,29590,164.0,164
595,29770,179.0,179
596,29940,167.0,167
597,30120,184.0,184
598,30310,183.0,183
599,30490,179.0,179
600,30650,163.0,163
601,30860,211.0,211
602,31050,193.0,193
603,31250,196.0,196
604,31430,177.0,177
605,31590,169.0,169
606,31770,175.0,175
607,31960,192.0,192
608,32200,239.0,239
609,32400,203.0,203
610,32590,191.0,191
611,32800,201.0,201
612,32970,171.0,171
613,33180,210.0,210
614,33400,223.0,223
615,33580,183.0,183
616,33780,201.0,201
617,33990,205.0,205
618,34190,202.0,202
619,34390,196.0,196
620,34560,171.0,171
621,34730,173.0,173
622,34980,251.0,251
623,35180,199.0,199
624,35390,209.0,209
625,35610,222.0,222
626,35820,207.0,207
627,36030,213.0,213
628,36230,197.0,197
629,36400,168.0,168
630,36570,172.0,172
631,36740,172.0,172
632,37050,306.0,306
633,37300,254.0,254
634,37520,221.0,221
635,37700,182.0,182
636,37890,184.0,184
637,38110,218.0,218
638,38290,185.0,185
639,38490,197.0,197
640,38660,168.0,168
641,38870,216.0,216
642,39050,175.0,175
643,39230,186.0,186
644,39450,217.0,217
645,39650,197.0,197
646,39810,160.0,160
647,39970,166.0,166
648,40180,211.0,211
649,40390,203.0,203
650,40580,197.0,197
651,40780,194.0,194
652,40950,175.0,175
653,41190,237.0,237
654,41380,192.0,192
655,41600,215.0,215
656,41810,215.0,215
657,42010,202.0,202
658,42180,166.0,166
659,42420,242.0,242
660,42620,196.0,196
661,42850,230.0,230
662,43050,201.0,201
663,43390,345.0,345
664,43610,220.0,220
665,43790,175.0,175
666,43990,203.0,203
667,44200,213.0,213
668,44400,194.0,194
669,44590,191.0,191
670,44800,209.0,209
671,44990,194.0,194
672,45170,176.0,176
673,45370,202.0,202
674,45630,262.0,262
675,45830,199.0,199
676,46030,196.0,196
677,46250,222.0,222
678,46450,204.0,204
679,46640,185.0,185
680,46820,180.0,180
681,47010,188.0,188
682,47200,189.0,189
683,47360,166.0,166
684,47540,181.0,181
685,47730,183.0,183
686,47890,169.0,169
687,48070,172.0,172
688,48240,178.0,178
689,48500,256.0,256
690,48750,251.0,251
691,48940,185.0,185
692,49110,177.0,177
693,49330,213.0,213
694,49540,216.0,216
695,49730,183.0,183
696,49900,171.0,171
