episode,ending_environment_step,episode_return,episode_length
0,500,-500.0,500
1,1000,-500.0,500
2,1500,-500.0,500
3,2000,-500.0,500
4,2500,-500.0,500
5,3000,-500.0,500
6,3340,-335.0,336
7,3750,-404.0,405
8,3930,-186.0,187
9,4110,-179.0,180
10,4460,-343.0,344
11,4630,-175.0,176
12,5100,-467.0,468
13,5360,-259.0,260
14,5480,-122.0,123
15,5980,-500.0,500
16,6480,-500.0,500
17,6670,-190.0,191
18,6960,-285.0,286
19,7370,-412.0,413
20,7610,-235.0,236
21,8110,-500.0,500
22,8610,-500.0,500
23,9110,-500.0,500
24,9530,-416.0,417
25,10030,-500.0,500
26,10530,-500.0,500
27,11030,-500.0,500
28,11530,-500.0,500
29,12030,-500.0,500
30,12530,-500.0,500
31,13030,-500.0,500
32,13530,-500.0,500
33,14030,-500.0,500
34,14530,-500.0,500
35,15030,-500.0,500
36,15470,-447.0,448
37,15970,-500.0,500
38,16470,-500.0,500
39,16970,-500.0,500
40,17470,-500.0,500
41,17970,-500.0,500
42,18470,-500.0,500
43,18970,-500.0,500
44,19470,-500.0,500
45,19970,-500.0,500
46,20470,-500.0,500
47,20970,-500.0,500
48,21470,-500.0,500
49,21970,-500.0,500
50,22470,-500.0,500
51,22970,-500.0,500
52,23470,-500.0,500
53,23970,-500.0,500
54,24470,-500.0,500
55,24970,-500.0,500
56,25470,-500.0,500
57,25970,-500.0,500
58,26470,-500.0,500
59,26970,-500.0,500
60,27470,-500.0,500
61,27970,-500.0,500
62,28470,-500.0,500
63,28970,-500.0,500
64,29470,-500.0,500
65,29970,-500.0,500
66,30470,-500.0,500
67,30970,-500.0,500
68,31470,-500.0,500
69,31970,-500.0,500
70,32470,-500.0,500
71,32970,-500.0,500
72,33470,-500.0,500
73,33970,-500.0,500
74,34470,-500.0,500
75,34970,-500.0,500
76,35470,-500.0,500
77,35750,-277.0,278
78,35930,-180.0,181
79,36280,-343.0,344
80,36510,-229.0,230
81,36820,-313.0,314
82,37080,-253.0,254
83,37580,-500.0,500
84,38080,-500.0,500
85,38580,-500.0,500
86,39080,-500.0,500
87,39580,-500.0,500
88,40080,-500.0,500
89,40580,-500.0,500
90,41080,-500.0,500
91,41580,-500.0,500
92,41710,-138.0,139
93,42190,-475.0,476
94,42500,-311.0,312
95,42720,-221.0,222
96,42850,-122.0,123
97,43010,-165.0,166
98,43220,-208.0,209
99,43470,-249.0,250
100,43570,-94.0,95
101,43810,-246.0,247
102,44040,-225.0,226
103,44270,-232.0,233
104,44620,-343.0,344
105,45120,-500.0,500
106,45620,-500.0,500
107,46120,-500.0,500
108,46620,-500.0,500
109,47120,-500.0,500
110,47410,-288.0,289
111,47790,-380.0,381
112,48200,-413.0,414
113,48590,-389.0,390
114,48810,-216.0,217
115,49000,-186.0,187
116,49180,-180.0,181
117,49360,-184.0,185
118,49560,-193.0,194
119,49750,-192.0,193
120,49940,-195.0,196
121,50150,-202.0,203
122,50260,-112.0,113
123,50400,-137.0,138
124,50610,-211.0,212
125,50820,-209.0,210
126,51060,-243.0,244
127,51420,-356.0,357
128,51830,-409.0,410
129,52040,-209.0,210
130,52370,-330.0,331
131,52580,-208.0,209
132,52730,-152.0,153
133,53220,-489.0,490
134,53430,-200.0,201
135,53840,-413.0,414
136,54040,-195.0,196
137,54180,-146.0,147
138,54420,-234.0,235
139,54580,-158.0,159
140,54760,-180.0,181
141,55020,-264.0,265
142,55210,-185.0,186
143,55370,-157.0,158
144,55510,-141.0,142
145,55660,-149.0,150
146,55950,-289.0,290
147,56200,-251.0,252
148,56360,-163.0,164
149,56610,-241.0,242
150,57000,-388.0,389
151,57200,-207.0,208
152,57700,-500.0,500
153,57990,-284.0,285
154,58130,-139.0,140
155,58390,-257.0,258
156,58510,-122.0,123
157,58710,-195.0,196
158,58820,-117.0,118
159,59180,-358.0,359
160,59360,-181.0,182
161,59470,-103.0,104
162,59600,-126.0,127
163,59720,-121.0,122
164,59890,-171.0,172
165,60050,-164.0,165
166,60160,-108.0,109
167,60270,-109.0,110
168,60540,-266.0,267
169,60670,-130.0,131
170,60860,-188.0,189
171,61150,-287.0,288
172,61260,-113.0,114
173,61560,-293.0,294
174,62060,-500.0,500
175,62160,-100.0,101
176,62250,-91.0,92
177,62500,-245.0,246
178,62620,-127.0,128
179,62800,-175.0,176
180,62940,-139.0,140
181,63120,-179.0,180
182,63200,-81.0,82
183,63320,-122.0,123
184,63500,-172.0,173
185,63610,-115.0,116
186,63750,-139.0,140
187,63930,-176.0,177
188,64020,-90.0,91
189,64180,-154.0,155
190,64270,-96.0,97
191,64380,-102.0,103
192,64500,-120.0,121
193,64820,-317.0,318
194,64980,-161.0,162
195,65100,-118.0,119
196,65270,-173.0,174
197,65480,-207.0,208
198,65670,-193.0,194
199,65850,-172.0,173
200,66020,-176.0,177
201,66150,-127.0,128
202,66290,-134.0,135
203,66580,-295.0,296
204,66700,-118.0,119
205,66840,-137.0,138
206,66950,-108.0,109
207,67080,-132.0,133
208,67290,-213.0,214
209,67620,-323.0,324
210,67720,-98.0,99
211,67920,-204.0,205
212,68420,-500.0,500
213,68600,-174.0,175
214,68700,-105.0,106
215,68820,-114.0,115
216,69050,-234.0,235
217,69170,-117.0,118
218,69440,-266.0,267
219,69840,-403.0,404
220,70020,-181.0,182
221,70320,-298.0,299
222,70540,-213.0,214
223,70790,-250.0,251
224,71290,-500.0,500
225,71500,-210.0,211
226,71590,-85.0,86
227,71760,-176.0,177
228,71980,-213.0,214
229,72480,-500.0,500
230,72620,-146.0,147
231,73070,-444.0,445
232,73220,-155.0,156
233,73290,-64.0,65
234,73470,-182.0,183
235,73690,-217.0,218
236,73800,-104.0,105
237,73920,-127.0,128
238,74080,-159.0,160
239,74230,-148.0,149
240,74320,-82.0,83
241,74410,-92.0,93
242,74510,-105.0,106
243,74640,-123.0,124
244,74720,-82.0,83
245,75020,-293.0,294
246,75270,-256.0,257
247,75350,-81.0,82
248,75460,-103.0,104
249,75620,-161.0,162
250,75770,-144.0,145
251,75890,-119.0,120
252,75980,-94.0,95
253,76140,-158.0,159
254,76250,-109.0,110
255,76330,-83.0,84
