environment_step,learning_update,safe_q,risky_q,maximum_noisy_q,safe_signed_error,safe_absolute_error,risky_signed_error,risky_absolute_error,noisy_signed_error,noisy_absolute_error,greedy_risky_choice,training_risky_fraction,noisy_state_visits,action_0_samples,action_1_samples,action_2_samples,action_3_samples,action_4_samples,action_5_samples,action_6_samples,action_7_samples,action_8_samples,action_9_samples
1000,94,0.018349960446357727,0.004546541254967451,-0.05708849057555199,0.018349960446357727,0.018349960446357727,0.10354654125496746,0.10354654125496746,0.04291150942444802,0.04291150942444802,0,0.3869625520110957,279,25,115,2,1,48,39,17,4,1,27
2000,194,0.010947689414024353,-0.06328470259904861,-0.07075390219688416,0.010947689414024353,0.010947689414024353,0.03571529740095139,0.03571529740095139,0.02924609780311585,0.02924609780311585,0,0.40350877192982454,575,87,180,8,8,72,43,19,7,5,146
3000,294,0.005701400339603424,-0.022916868329048157,0.19660766422748566,0.005701400339603424,0.005701400339603424,0.07608313167095185,0.07608313167095185,0.29660766422748563,0.29660766422748563,0,0.28369704749679076,663,90,180,37,8,73,43,20,7,6,199
4000,394,0.0049251988530159,-0.11706940829753876,-0.010514430701732635,0.0049251988530159,0.0049251988530159,-0.018069408297538753,0.018069408297538753,0.08948556929826737,0.08948556929826737,0,0.21469784391132707,707,94,180,38,10,95,43,21,7,7,212
5000,494,0.013985373079776764,-0.10284390300512314,-0.009457435458898544,0.013985373079776764,0.013985373079776764,-0.0038439030051231338,0.0038439030051231338,0.09054256454110146,0.09054256454110146,0,0.17757889778615168,754,95,180,38,11,100,43,21,7,11,248
6000,594,-0.004959717392921448,-0.06150352582335472,-0.08541937172412872,-0.004959717392921448,0.004959717392921448,0.037496474176645284,0.037496474176645284,0.014580628275871282,0.014580628275871282,0,0.15495668912415783,805,96,181,40,12,101,43,22,7,12,291
7000,694,0.011133797466754913,-0.09888393431901932,-0.0928579717874527,0.011133797466754913,0.011133797466754913,0.00011606568098068704,0.00011606568098068704,0.007142028212547308,0.007142028212547308,0,0.13636363636363635,840,96,181,40,13,101,43,22,8,12,324
8000,794,-0.001225687563419342,-0.1130087673664093,-0.07893673330545425,-0.001225687563419342,0.001225687563419342,-0.014008767366409297,0.014008767366409297,0.02106326669454575,0.02106326669454575,0,0.12565076684958493,893,96,210,41,13,102,43,22,8,13,345
9000,894,-0.010122440755367279,-0.1468219757080078,-0.12000944465398788,-0.010122440755367279,0.010122440755367279,-0.04782197570800781,0.04782197570800781,-0.02000944465398788,0.02000944465398788,0,0.11704108228869306,943,96,211,42,13,106,49,22,8,13,383
10000,994,-0.005452297627925873,-0.11902160197496414,-0.12370012700557709,-0.005452297627925873,0.005452297627925873,-0.020021601974964137,0.020021601974964137,-0.023700127005577082,0.023700127005577082,0,0.11061750333185251,996,97,212,43,13,106,80,22,8,13,402
11000,1094,0.003628365695476532,-0.1071300357580185,-0.057431332767009735,0.003628365695476532,0.003628365695476532,-0.008130035758018489,0.008130035758018489,0.04256866723299027,0.04256866723299027,0,0.10353130016051364,1032,99,244,43,13,106,80,22,9,14,402
12000,1194,0.0025709792971611023,-0.13018494844436646,-0.11214802414178848,0.0025709792971611023,0.0025709792971611023,-0.03118494844436645,0.03118494844436645,-0.012148024141788477,0.012148024141788477,0,0.098800476146873,1079,99,283,44,13,106,84,23,9,15,403
13000,1294,-0.0077196210622787476,-0.10809410363435745,-0.1332421898841858,-0.0077196210622787476,0.0077196210622787476,-0.009094103634357448,0.009094103634357448,-0.033242189884185785,0.033242189884185785,0,0.09612141652613827,1140,99,301,45,13,107,106,23,10,15,421
14000,1394,0.0008339136838912964,-0.16567844152450562,-0.08649657666683197,0.0008339136838912964,0.0008339136838912964,-0.06667844152450561,0.06667844152450561,0.013503423333168035,0.013503423333168035,0,0.09340830990315527,1196,99,306,45,14,109,107,23,12,16,465
15000,1494,0.001751914620399475,-0.21323058009147644,-0.08246581256389618,0.001751914620399475,0.001751914620399475,-0.11423058009147644,0.11423058009147644,0.017534187436103826,0.017534187436103826,0,0.09003706126008285,1239,99,323,45,14,109,107,36,12,16,478
16000,1594,0.003903903067111969,-0.22337284684181213,0.005428867414593697,0.003903903067111969,0.003903903067111969,-0.12437284684181213,0.12437284684181213,0.1054288674145937,0.1054288674145937,0,0.08688268460023096,1279,100,323,45,14,109,107,60,12,17,492
17000,1694,0.0004323720932006836,-0.04809700697660446,0.138798788189888,0.0004323720932006836,0.0004323720932006836,0.05090299302339554,0.05090299302339554,0.238798788189888,0.238798788189888,0,0.08494479545599591,1331,100,326,45,15,110,107,107,12,17,492
18000,1794,-0.0004204101860523224,-0.03204410895705223,0.2714672088623047,-0.0004204101860523224,0.0004204101860523224,0.06695589104294777,0.06695589104294777,0.37146720886230467,0.37146720886230467,0,0.08244632870286848,1371,102,327,45,15,110,107,144,12,17,492
19000,1894,0.002078622579574585,-0.008259190246462822,0.16696208715438843,0.002078622579574585,0.002078622579574585,0.09074080975353718,0.09074080975353718,0.2669620871543884,0.2669620871543884,0,0.0913895111723821,1591,103,328,46,18,113,109,346,15,20,493
20000,1994,0.0025102421641349792,-0.007296742405742407,0.001192682422697544,0.0025102421641349792,0.0025102421641349792,0.0917032575942576,0.0917032575942576,0.10119268242269755,0.10119268242269755,0,0.0958904109589041,1750,104,328,50,22,114,112,485,20,22,493
21000,2094,0.004263084381818771,-0.024261049926280975,-0.03501801937818527,0.004263084381818771,0.004263084381818771,0.07473895007371903,0.07473895007371903,0.06498198062181473,0.06498198062181473,0,0.09409190371991247,1806,106,328,50,22,115,113,530,20,22,500
22000,2194,0.0030662044882774353,-0.3809909224510193,-0.0656621903181076,0.0030662044882774353,0.0030662044882774353,-0.2819909224510193,0.2819909224510193,0.0343378096818924,0.0343378096818924,0,0.09202819418246798,1854,106,328,50,45,115,114,553,21,22,500
23000,2294,0.003861885517835617,-0.08193041384220123,0.07542996853590012,0.003861885517835617,0.003861885517835617,0.017069586157798772,0.017069586157798772,0.17542996853590012,0.17542996853590012,0,0.09030147895335609,1905,111,328,51,86,115,115,553,21,22,502
24000,2394,0.0026383288204669952,-0.06398969143629074,-0.041539765894412994,0.0026383288204669952,0.0026383288204669952,0.035010308563709264,0.035010308563709264,0.05846023410558701,0.05846023410558701,0,0.08853410740203194,1952,112,328,52,130,115,115,553,22,22,503
