environment_step,learning_update,safe_q,risky_q,maximum_noisy_q,safe_signed_error,safe_absolute_error,risky_signed_error,risky_absolute_error,noisy_signed_error,noisy_absolute_error,greedy_risky_choice,training_risky_fraction,noisy_state_visits,action_0_samples,action_1_samples
1000,94,-0.0030310600996017456,-0.2109140157699585,0.03475949168205261,-0.0030310600996017456,0.0030310600996017456,-0.11191401576995849,0.11191401576995849,0.13475949168205262,0.13475949168205262,0,0.04275286757038582,41,6,35
2000,194,0.006783187389373779,-0.3122098743915558,-0.12353342026472092,0.006783187389373779,0.006783187389373779,-0.21320987439155578,0.21320987439155578,-0.02353342026472091,0.02353342026472091,0,0.04931794333683106,94,11,83
3000,294,0.0010907091200351715,-0.164509117603302,-0.00678471801802516,0.0010907091200351715,0.0010907091200351715,-0.065509117603302,0.065509117603302,0.09321528198197485,0.09321528198197485,0,0.054481546572934976,155,14,141
4000,394,0.008263569325208664,-0.20773668587207794,-0.21731191873550415,0.008263569325208664,0.008263569325208664,-0.10873668587207794,0.10873668587207794,-0.11731191873550414,0.11731191873550414,0,0.07526881720430108,280,30,250
5000,494,0.0037980303168296814,-0.016541695222258568,-0.17717932164669037,0.0037980303168296814,0.0037980303168296814,0.08245830477774144,0.08245830477774144,-0.07717932164669036,0.07717932164669036,0,0.0734220695577501,342,41,301
6000,594,0.00906340777873993,-0.06366957724094391,-0.10847895592451096,0.00906340777873993,0.00906340777873993,0.035330422759056096,0.035330422759056096,-0.00847895592451095,0.00847895592451095,0,0.06951871657754011,390,53,337
7000,694,0.003926210105419159,-0.0568343922495842,-0.072224460542202,0.003926210105419159,0.003926210105419159,0.04216560775041581,0.04216560775041581,0.02777553945779801,0.02777553945779801,0,0.06707317073170732,440,81,359
8000,794,0.005346640944480896,-0.17355188727378845,-0.21959301829338074,0.005346640944480896,0.005346640944480896,-0.07455188727378845,0.07455188727378845,-0.11959301829338073,0.11959301829338073,0,0.06482097697324637,487,86,401
9000,894,-0.008230313658714294,-0.18308793008327484,-0.2434987872838974,-0.008230313658714294,0.008230313658714294,-0.08408793008327484,0.08408793008327484,-0.1434987872838974,0.1434987872838974,0,0.062448353205052536,529,89,440
10000,994,-0.002231977880001068,-0.05832166224718094,-0.013184631243348122,-0.002231977880001068,0.002231977880001068,0.040678337752819066,0.040678337752819066,0.08681536875665188,0.08681536875665188,0,0.06213489113117366,585,106,479
11000,1094,-0.011000588536262512,-0.07757791131734848,-0.07029040902853012,-0.011000588536262512,0.011000588536262512,0.021422088682651524,0.021422088682651524,0.029709590971469885,0.029709590971469885,0,0.06157112526539278,638,108,530
12000,1194,-0.003474954515695572,-0.08256009221076965,-0.21024633944034576,-0.003474954515695572,0.003474954515695572,0.01643990778923035,0.01643990778923035,-0.11024633944034576,0.11024633944034576,0,0.06279337525462758,709,112,597
13000,1294,0.00176936574280262,-0.12918251752853394,-0.07649724930524826,0.00176936574280262,0.00176936574280262,-0.03018251752853393,0.03018251752853393,0.023502750694751745,0.023502750694751745,0,0.06096466171549825,747,143,604
14000,1394,0.008301237598061562,-0.11441123485565186,-0.10327857732772827,0.008301237598061562,0.008301237598061562,-0.01541123485565185,0.01541123485565185,-0.003278577327728266,0.003278577327728266,0,0.0610079575596817,805,201,604
15000,1494,-0.007493989542126656,-0.09168603271245956,-0.07850170135498047,-0.007493989542126656,0.007493989542126656,0.0073139672875404405,0.0073139672875404405,0.021498298645019537,0.021498298645019537,0,0.059845969052497706,847,241,606
16000,1594,0.0029250700026750565,-0.14189565181732178,-0.12359466403722763,0.0029250700026750565,0.0029250700026750565,-0.04289565181732177,0.04289565181732177,-0.023594664037227625,0.023594664037227625,0,0.05981320792210373,903,272,631
17000,1694,0.009340718388557434,-0.12657514214515686,0.008125023916363716,0.009340718388557434,0.009340718388557434,-0.027575142145156856,0.027575142145156856,0.10812502391636372,0.10812502391636372,0,0.05826693227091633,936,305,631
18000,1794,0.008278373628854752,-0.1377846598625183,-0.03278727829456329,0.008278373628854752,0.008278373628854752,-0.038784659862518306,0.038784659862518306,0.06721272170543671,0.06721272170543671,0,0.05832549388523048,992,360,632
19000,1894,-0.006577149033546448,-0.0714845359325409,-0.09209170937538147,-0.006577149033546448,0.006577149033546448,0.02751546406745911,0.02751546406745911,0.007908290624618536,0.007908290624618536,0,0.05784755859918713,1039,402,637
20000,1994,0.020202428102493286,-0.08547090739011765,-0.0516497939825058,0.020202428102493286,0.020202428102493286,0.01352909260988236,0.01352909260988236,0.04835020601749421,0.04835020601749421,0,0.05758553222991909,1089,448,641
21000,2094,0.008409060537815094,-0.07114579528570175,-0.07169763743877411,0.008409060537815094,0.008409060537815094,0.027854204714298253,0.027854204714298253,0.028302362561225897,0.028302362561225897,0,0.056444310292785994,1122,480,642
22000,2194,-0.008388407528400421,-0.06876219809055328,-0.10247349739074707,-0.008388407528400421,0.008388407528400421,0.03023780190944672,0.03023780190944672,-0.0024734973907470648,0.0024734973907470648,0,0.05576350897398983,1162,517,645
23000,2294,-0.005144480615854263,-0.032853756099939346,-0.049413785338401794,-0.005144480615854263,0.005144480615854263,0.06614624390006066,0.06614624390006066,0.05058621466159821,0.05058621466159821,0,0.054610481911137605,1191,528,663
24000,2394,-0.0004413872957229614,-0.08888836205005646,-0.12346784770488739,-0.0004413872957229614,0.0004413872957229614,0.010111637949943547,0.010111637949943547,-0.023467847704887385,0.023467847704887385,0,0.05434257347449809,1237,557,680
25000,2494,0.009530220180749893,-0.13734471797943115,-0.11737510561943054,0.009530220180749893,0.009530220180749893,-0.03834471797943115,0.03834471797943115,-0.017375105619430536,0.017375105619430536,0,0.05418511490617752,1285,604,681
26000,2594,0.006147831678390503,-0.10564376413822174,-0.10753919929265976,0.006147831678390503,0.006147831678390503,-0.006643764138221736,0.006643764138221736,-0.007539199292659754,0.007539199292659754,0,0.05463838072445544,1347,664,683
27000,2694,0.009549299255013466,-0.07948759198188782,-0.06062532588839531,0.009549299255013466,0.009549299255013466,0.019512408018112187,0.019512408018112187,0.039374674111604696,0.039374674111604696,0,0.05439918772210724,1393,708,685
28000,2794,-0.012697301805019379,-0.07065737247467041,-0.13312509655952454,-0.012697301805019379,0.012697301805019379,0.028342627525329595,0.028342627525329595,-0.03312509655952453,0.03312509655952453,0,0.05425656086449038,1441,740,701
29000,2894,0.005258303135633469,-0.11463585495948792,-0.0960770696401596,0.005258303135633469,0.005258303135633469,-0.01563585495948791,0.01563585495948791,0.003922930359840399,0.003922930359840399,0,0.05377906976744186,1480,765,715
30000,2994,-0.0005830954760313034,-0.11181098222732544,-0.06585100293159485,-0.0005830954760313034,0.0005830954760313034,-0.012810982227325435,0.012810982227325435,0.03414899706840516,0.03414899706840516,0,0.05340777414937322,1521,805,716
31000,3094,0.002133311703801155,-0.10806401818990707,-0.1488969475030899,0.002133311703801155,0.002133311703801155,-0.00906401818990707,0.00906401818990707,-0.0488969475030899,0.0488969475030899,0,0.05356171832517673,1576,855,721
32000,3194,-0.0007501151412725449,-0.10009567439556122,-0.13231301307678223,-0.0007501151412725449,0.0007501151412725449,-0.0010956743955612136,0.0010956743955612136,-0.03231301307678222,0.03231301307678222,0,0.05346326046879115,1624,896,728
33000,3294,-0.004408547654747963,-0.1336236596107483,-0.23989130556583405,-0.004408547654747963,0.004408547654747963,-0.034623659610748286,0.034623659610748286,-0.13989130556583404,0.13989130556583404,0,0.05360620669838128,1679,949,730
34000,3394,0.005508258938789368,-0.12106288224458694,-0.15444093942642212,0.005508258938789368,0.005508258938789368,-0.02206288224458694,0.02206288224458694,-0.054440939426422114,0.054440939426422114,0,0.053446940356312936,1725,992,733
35000,3494,-0.00738977175205946,-0.12034544348716736,-0.18091115355491638,-0.00738977175205946,0.00738977175205946,-0.021345443487167354,0.021345443487167354,-0.08091115355491638,0.08091115355491638,0,0.053613895662121075,1781,1047,734
36000,3594,-0.005866359919309616,-0.1625242829322815,-0.1713644415140152,-0.005866359919309616,0.005866359919309616,-0.06352428293228149,0.06352428293228149,-0.07136444151401519,0.07136444151401519,0,0.05337078651685393,1824,1083,741
37000,3694,-0.00443686731159687,-0.18663112819194794,-0.18602418899536133,-0.00443686731159687,0.00443686731159687,-0.08763112819194793,0.08763112819194793,-0.08602418899536132,0.08602418899536132,0,0.053051001821493624,1864,1123,741
38000,3794,0.003860142081975937,-0.21796396374702454,-0.23691561818122864,0.003860142081975937,0.003860142081975937,-0.11896396374702453,0.11896396374702453,-0.13691561818122863,0.13691561818122863,0,0.053098326127923735,1916,1146,770
39000,3894,0.0021496769040822983,-0.12598899006843567,-0.13669876754283905,0.0021496769040822983,0.0021496769040822983,-0.026988990068435664,0.026988990068435664,-0.036698767542839045,0.036698767542839045,0,0.053114789512056816,1967,1182,785
40000,3994,0.0003896895796060562,-0.15806066989898682,-0.10647532343864441,0.0003896895796060562,0.0003896895796060562,-0.05906066989898681,0.05906066989898681,-0.006475323438644404,0.006475323438644404,0,0.05271468800168434,2003,1185,818
41000,4094,-0.0040537696331739426,-0.1542847603559494,-0.07041789591312408,-0.0040537696331739426,0.0040537696331739426,-0.0552847603559494,0.0552847603559494,0.02958210408687592,0.02958210408687592,0,0.052820789358806464,2057,1187,870
42000,4194,0.002656596712768078,-0.10546503961086273,-0.034123945981264114,0.002656596712768078,0.002656596712768078,-0.006465039610862727,0.006465039610862727,0.06587605401873589,0.06587605401873589,0,0.05278989321702512,2106,1190,916
43000,4294,-0.0007990626618266106,-0.08403557538986206,-0.048519209027290344,-0.0007990626618266106,0.0007990626618266106,0.014964424610137944,0.014964424610137944,0.05148079097270966,0.05148079097270966,0,0.05288932419196866,2160,1196,964
44000,4394,-0.0003351094201207161,-0.08448337018489838,-0.09291595220565796,-0.0003351094201207161,0.0003351094201207161,0.014516629815101628,0.014516629815101628,0.007084047794342047,0.007084047794342047,0,0.05288346494376645,2210,1199,1011
45000,4494,0.0033742724917829037,-0.07435550540685654,-0.06634585559368134,0.0033742724917829037,0.0033742724917829037,0.024644494593143468,0.024644494593143468,0.03365414440631867,0.03365414440631867,0,0.052976413328341444,2264,1201,1063
