evaluation_seed,episode_return,episode_length
20000,-89.0,90
20001,-70.0,71
20002,-81.0,82
20003,-75.0,76
20004,-99.0,100
20005,-83.0,84
20006,-71.0,72
20007,-88.0,89
20008,-82.0,83
20009,-90.0,91
20010,-92.0,93
20011,-72.0,73
20012,-119.0,120
20013,-96.0,97
20014,-96.0,97
20015,-95.0,96
20016,-94.0,95
20017,-96.0,97
20018,-95.0,96
20019,-112.0,113
20020,-79.0,80
20021,-91.0,92
20022,-80.0,81
20023,-93.0,94
20024,-78.0,79
20025,-91.0,92
20026,-79.0,80
20027,-75.0,76
20028,-70.0,71
20029,-103.0,104
20030,-95.0,96
20031,-312.0,313
20032,-99.0,100
20033,-90.0,91
20034,-90.0,91
20035,-89.0,90
20036,-89.0,90
20037,-73.0,74
20038,-79.0,80
20039,-74.0,75
20040,-92.0,93
20041,-101.0,102
20042,-74.0,75
20043,-85.0,86
20044,-78.0,79
20045,-79.0,80
20046,-99.0,100
20047,-100.0,101
20048,-85.0,86
20049,-95.0,96
20050,-115.0,116
20051,-62.0,63
20052,-94.0,95
20053,-91.0,92
20054,-74.0,75
20055,-105.0,106
20056,-87.0,88
20057,-74.0,75
20058,-79.0,80
20059,-94.0,95
20060,-95.0,96
20061,-123.0,124
20062,-82.0,83
20063,-99.0,100
20064,-90.0,91
20065,-78.0,79
20066,-74.0,75
20067,-78.0,79
20068,-92.0,93
20069,-96.0,97
20070,-86.0,87
20071,-102.0,103
20072,-84.0,85
20073,-91.0,92
20074,-72.0,73
20075,-95.0,96
20076,-93.0,94
20077,-90.0,91
20078,-73.0,74
20079,-82.0,83
20080,-74.0,75
20081,-77.0,78
20082,-78.0,79
20083,-71.0,72
20084,-117.0,118
20085,-72.0,73
20086,-93.0,94
20087,-99.0,100
20088,-70.0,71
20089,-78.0,79
20090,-81.0,82
20091,-99.0,100
20092,-94.0,95
20093,-62.0,63
20094,-84.0,85
20095,-90.0,91
20096,-123.0,124
20097,-80.0,81
20098,-73.0,74
20099,-111.0,112
