environment_step,learning_update,safe_q,risky_q,maximum_noisy_q,safe_signed_error,safe_absolute_error,risky_signed_error,risky_absolute_error,noisy_signed_error,noisy_absolute_error,greedy_risky_choice,training_risky_fraction,noisy_state_visits,action_0_samples,action_1_samples,action_2_samples,action_3_samples,action_4_samples,action_5_samples,action_6_samples,action_7_samples,action_8_samples,action_9_samples
1000,94,0.0058159977197647095,0.1797056794166565,0.0012860968708992004,0.0058159977197647095,0.0058159977197647095,0.27870567941665647,0.27870567941665647,0.1012860968708992,0.1012860968708992,1,0.7152658662092625,417,93,15,5,18,209,1,6,3,62,5
2000,194,0.012047644704580307,0.18108753859996796,0.030476491898298264,0.012047644704580307,0.012047644704580307,0.28008753859996793,0.28008753859996793,0.13047649189829827,0.13047649189829827,1,0.8214936247723132,902,197,20,8,173,399,2,13,12,67,11
3000,294,0.01094067096710205,0.17602002620697021,-0.09454412758350372,0.01094067096710205,0.01094067096710205,0.2750200262069702,0.2750200262069702,0.005455872416496282,0.005455872416496282,1,0.8564356435643564,1384,267,24,14,254,560,7,19,21,205,13
4000,394,0.010592419654130936,0.030801836401224136,-0.023725226521492004,0.010592419654130936,0.010592419654130936,0.12980183640122414,0.12980183640122414,0.076274773478508,0.076274773478508,1,0.8527095877721167,1841,406,30,25,257,602,15,27,27,433,19
5000,494,-0.049103107303380966,0.04489398002624512,-0.08591671288013458,-0.049103107303380966,0.049103107303380966,0.14389398002624512,0.14389398002624512,0.014083287119865423,0.014083287119865423,1,0.8570367619754921,2308,567,35,31,326,737,18,32,31,508,22
6000,594,0.0288119837641716,0.04212260991334915,0.02907148376107216,0.0288119837641716,0.0288119837641716,0.14112260991334916,0.14112260991334916,0.12907148376107216,0.12907148376107216,1,0.853877046648131,2764,746,35,35,416,780,21,37,34,634,25
7000,694,0.009968586266040802,-0.07525390386581421,-0.10939624905586243,0.009968586266040802,0.009968586266040802,0.023746096134185796,0.023746096134185796,-0.009396249055862421,0.009396249055862421,0,0.760120693990445,3023,954,39,38,422,794,25,43,36,644,28
8000,794,0.009646248072385788,-0.07139470428228378,-0.02139468304812908,0.009646248072385788,0.009646248072385788,0.02760529571771622,0.02760529571771622,0.07860531695187092,0.07860531695187092,0,0.6210739614994935,3065,954,39,38,425,825,26,43,37,650,28
9000,894,-0.011296901851892471,-0.08215197175741196,-0.09881714731454849,-0.011296901851892471,0.011296901851892471,0.016848028242588048,0.016848028242588048,0.0011828526854515131,0.0011828526854515131,0,0.5267175572519084,3105,970,39,39,425,844,26,45,38,650,29
10000,994,0.004513062536716461,-0.018052823841571808,0.04868277162313461,0.004513062536716461,0.004513062536716461,0.0809471761584282,0.0809471761584282,0.14868277162313462,0.14868277162313462,0,0.4604936468526362,3153,972,39,39,425,858,27,46,38,680,29
11000,1094,0.010733123868703842,-0.016659200191497803,-0.03659821301698685,0.010733123868703842,0.010733123868703842,0.0823407998085022,0.0823407998085022,0.06340178698301316,0.06340178698301316,0,0.40827038791447956,3189,977,39,39,425,858,28,46,45,703,29
12000,1194,-0.01245221495628357,-0.028805788606405258,0.042848002165555954,-0.01245221495628357,0.01245221495628357,0.07019421139359475,0.07019421139359475,0.14284800216555596,0.14284800216555596,0,0.3709585285045127,3247,978,39,40,427,859,29,48,90,708,29
13000,1294,-0.0007622092962265015,0.0003398079425096512,-0.02431749366223812,-0.0007622092962265015,0.0007622092962265015,0.09933980794250966,0.09933980794250966,0.07568250633776188,0.07568250633776188,1,0.3388259526261586,3290,978,39,41,427,859,31,48,124,711,32
14000,1394,0.0012633167207241058,-0.008943326771259308,-0.0015244632959365845,0.0012633167207241058,0.0012633167207241058,0.0900566732287407,0.0900566732287407,0.09847553670406342,0.09847553670406342,0,0.3383041774208967,3539,979,45,42,431,914,32,49,263,747,37
15000,1494,0.0015205666422843933,-0.005957294255495071,-0.12044106423854828,0.0015205666422843933,0.0015205666422843933,0.09304270574450493,0.09304270574450493,-0.020441064238548273,0.020441064238548273,0,0.323685139428168,3668,980,45,43,432,940,33,50,354,753,38
16000,1594,0.006490109488368034,-0.014911377802491188,-0.03789513558149338,0.006490109488368034,0.006490109488368034,0.08408862219750882,0.08408862219750882,0.06210486441850663,0.06210486441850663,0,0.3024013024013024,3715,981,46,44,433,961,33,51,375,753,38
17000,1694,0.006713811308145523,-0.05024714022874832,-0.08103203028440475,0.006713811308145523,0.006713811308145523,0.04875285977125168,0.04875285977125168,0.01896796971559525,0.01896796971559525,0,0.28330942854986035,3753,981,46,44,434,986,33,51,383,757,38
18000,1794,-0.002482820302248001,-0.04936075210571289,-0.0885867327451706,-0.002482820302248001,0.002482820302248001,0.049639247894287114,0.049639247894287114,0.011413267254829412,0.011413267254829412,0,0.26776533558701315,3802,981,47,44,435,986,33,51,391,795,38
19000,1894,-0.004012677818536758,-0.050213780254125595,-0.06922245770692825,-0.004012677818536758,0.004012677818536758,0.04878621974587441,0.04878621974587441,0.030777542293071752,0.030777542293071752,0,0.253628925837952,3844,981,48,45,435,986,33,51,396,831,38
20000,1994,-0.0036931484937667847,-0.049003828316926956,0.014529954642057419,-0.0036931484937667847,0.0036931484937667847,0.04999617168307305,0.04999617168307305,0.11452995464205742,0.11452995464205742,0,0.2409257305950239,3883,981,48,45,435,986,33,51,396,868,40
21000,2094,0.0012123137712478638,-0.04717646539211273,-0.026759997010231018,0.0012123137712478638,0.0012123137712478638,0.05182353460788727,0.05182353460788727,0.07324000298976899,0.07324000298976899,0,0.2297962052002811,3924,982,48,45,436,986,34,51,396,905,41
22000,2194,-0.0008287224918603897,-0.048958003520965576,-0.040815550833940506,-0.0008287224918603897,0.0008287224918603897,0.05004199647903443,0.05004199647903443,0.0591844491660595,0.0591844491660595,0,0.2193770092007538,3958,982,48,45,437,986,35,51,397,935,42
23000,2294,-0.005830409005284309,-0.09156583249568939,-0.04052181914448738,-0.005830409005284309,0.005830409005284309,0.007434167504310613,0.007434167504310613,0.059478180855512625,0.059478180855512625,0,0.2107812170983365,4004,982,48,45,437,986,35,63,422,943,43
24000,2394,0.0011987723410129547,-0.08120956271886826,0.0008057095110416412,0.0011987723410129547,0.0011987723410129547,0.01779043728113175,0.01779043728113175,0.10080570951104165,0.10080570951104165,0,0.2029472206906922,4049,982,49,45,437,986,35,84,444,943,44
25000,2494,0.0014960505068302155,-0.08858277648687363,0.01393038034439087,0.0014960505068302155,0.0014960505068302155,0.010417223513126378,0.010417223513126378,0.11393038034439087,0.11393038034439087,0,0.1959433601224646,4096,984,50,45,437,987,35,91,476,947,44
26000,2594,-0.004095589742064476,0.05109567940235138,-0.008426424115896225,-0.004095589742064476,0.004095589742064476,0.15009567940235138,0.15009567940235138,0.09157357588410378,0.09157357588410378,1,0.193801652892562,4221,987,50,47,437,988,35,155,528,947,46
27000,2694,3.791786730289459e-05,0.02606654167175293,0.08197275549173355,3.791786730289459e-05,3.791786730289459e-05,0.12506654167175293,0.12506654167175293,0.18197275549173356,0.18197275549173356,1,0.2111873682321805,4708,991,53,52,441,995,39,273,534,1277,52
28000,2794,-1.574307680130005e-05,0.028026383370161057,0.02447250485420227,-1.574307680130005e-05,1.574307680130005e-05,0.12702638337016106,0.12702638337016106,0.12447250485420228,0.12447250485420228,1,0.22757562472599738,5191,994,60,60,447,1003,41,389,538,1602,56
29000,2894,0.0010550562292337418,0.022987548261880875,0.049010809510946274,0.0010550562292337418,0.0010550562292337418,0.12198754826188088,0.12198754826188088,0.14901080951094628,0.14901080951094628,1,0.24340779488058997,5677,999,62,63,450,1006,49,655,653,1680,60
30000,2994,-9.806826710700989e-06,0.01701803132891655,-0.03740449622273445,-9.806826710700989e-06,9.806826710700989e-06,0.11601803132891655,0.11601803132891655,0.06259550377726555,0.06259550377726555,1,0.2584948401711553,6162,1004,71,67,456,1010,51,798,833,1804,68
31000,3094,0.0007429681718349457,0.017192672938108444,-0.028647195547819138,0.0007429681718349457,0.0007429681718349457,0.11619267293810845,0.11619267293810845,0.07135280445218087,0.07135280445218087,1,0.2728915167939558,6646,1008,77,69,508,1013,57,948,1085,1809,72
32000,3194,8.544884622097015e-05,0.01807263121008873,-0.027869515120983124,8.544884622097015e-05,8.544884622097015e-05,0.11707263121008873,0.11707263121008873,0.07213048487901688,0.07213048487901688,1,0.28698974462095317,7136,1012,80,76,661,1018,61,1250,1089,1814,74
33000,3294,-0.0006383322179317474,-0.00609971396625042,-0.015202168375253677,-0.0006383322179317474,0.0006383322179317474,0.09290028603374959,0.09290028603374959,0.08479783162474633,0.08479783162474633,0,0.2816529439179742,7252,1013,80,79,698,1020,65,1315,1090,1817,75
