evaluation_seed,episode_return,episode_length
20000,-72.0,73
20001,-73.0,74
20002,-84.0,85
20003,-82.0,83
20004,-73.0,74
20005,-75.0,76
20006,-74.0,75
20007,-70.0,71
20008,-98.0,99
20009,-87.0,88
20010,-93.0,94
20011,-92.0,93
20012,-74.0,75
20013,-80.0,81
20014,-69.0,70
20015,-72.0,73
20016,-78.0,79
20017,-88.0,89
20018,-86.0,87
20019,-74.0,75
20020,-77.0,78
20021,-74.0,75
20022,-77.0,78
20023,-62.0,63
20024,-88.0,89
20025,-84.0,85
20026,-90.0,91
20027,-76.0,77
20028,-74.0,75
20029,-75.0,76
20030,-101.0,102
20031,-62.0,63
20032,-83.0,84
20033,-92.0,93
20034,-74.0,75
20035,-89.0,90
20036,-87.0,88
20037,-70.0,71
20038,-84.0,85
20039,-74.0,75
20040,-74.0,75
20041,-94.0,95
20042,-83.0,84
20043,-88.0,89
20044,-75.0,76
20045,-74.0,75
20046,-74.0,75
20047,-69.0,70
20048,-110.0,111
20049,-114.0,115
20050,-83.0,84
20051,-74.0,75
20052,-71.0,72
20053,-75.0,76
20054,-74.0,75
20055,-110.0,111
20056,-99.0,100
20057,-74.0,75
20058,-73.0,74
20059,-75.0,76
20060,-73.0,74
20061,-81.0,82
20062,-76.0,77
20063,-88.0,89
20064,-78.0,79
20065,-73.0,74
20066,-92.0,93
20067,-106.0,107
20068,-80.0,81
20069,-85.0,86
20070,-94.0,95
20071,-69.0,70
20072,-88.0,89
20073,-131.0,132
20074,-80.0,81
20075,-104.0,105
20076,-75.0,76
20077,-102.0,103
20078,-71.0,72
20079,-96.0,97
20080,-74.0,75
20081,-93.0,94
20082,-74.0,75
20083,-81.0,82
20084,-75.0,76
20085,-74.0,75
20086,-78.0,79
20087,-78.0,79
20088,-73.0,74
20089,-87.0,88
20090,-74.0,75
20091,-96.0,97
20092,-93.0,94
20093,-75.0,76
20094,-74.0,75
20095,-88.0,89
20096,-96.0,97
20097,-87.0,88
20098,-83.0,84
20099,-141.0,142
