environment_step,learning_update,safe_q,risky_q,maximum_noisy_q,safe_signed_error,safe_absolute_error,risky_signed_error,risky_absolute_error,noisy_signed_error,noisy_absolute_error,greedy_risky_choice,training_risky_fraction,noisy_state_visits,action_0_samples,action_1_samples,action_2_samples,action_3_samples,action_4_samples,action_5_samples,action_6_samples,action_7_samples,action_8_samples,action_9_samples
1000,94,-0.0032078325748443604,0.13630037009716034,-0.0024310890585184097,-0.0032078325748443604,0.0032078325748443604,0.23530037009716034,0.23530037009716034,0.0975689109414816,0.0975689109414816,1,0.955078125,489,4,44,46,1,98,106,24,70,60,35
2000,194,-0.002739168703556061,0.1337803304195404,0.10788828134536743,-0.002739168703556061,0.002739168703556061,0.2327803304195404,0.2327803304195404,0.20788828134536744,0.20788828134536744,1,0.9560117302052786,978,84,48,99,2,210,114,28,287,64,41
3000,294,0.024170387536287308,0.1390289068222046,0.09971503913402557,0.024170387536287308,0.024170387536287308,0.2380289068222046,0.2380289068222046,0.19971503913402558,0.19971503913402558,1,0.9543973941368078,1465,218,55,146,97,213,121,116,291,68,140
4000,394,0.0016093999147415161,0.11308185756206512,-0.016454018652439117,0.0016093999147415161,0.0016093999147415161,0.21208185756206513,0.21208185756206513,0.08354598134756089,0.08354598134756089,1,0.9488553336580614,1948,255,60,152,175,297,126,118,297,75,392
5000,494,0.0037767738103866577,0.11443743854761124,0.02717483602464199,0.0037767738103866577,0.0037767738103866577,0.21343743854761124,0.21343743854761124,0.127174836024642,0.127174836024642,1,0.9455252918287937,2430,340,63,159,314,305,129,124,443,78,475
6000,594,-0.004005651921033859,0.11539563536643982,-0.01810643821954727,-0.004005651921033859,0.004005651921033859,0.21439563536643982,0.21439563536643982,0.08189356178045273,0.08189356178045273,1,0.9458495460440985,2917,347,68,168,339,309,135,128,444,82,896
7000,694,-0.00887129083275795,-0.031727250665426254,-0.014238202944397926,-0.00887129083275795,0.00887129083275795,0.06727274933457375,0.06727274933457375,0.08576179705560208,0.08576179705560208,0,0.8363064008394544,3188,350,69,171,528,335,135,129,489,83,899
8000,794,-0.002732217311859131,-0.03253748267889023,-0.037182390689849854,-0.002732217311859131,0.002732217311859131,0.06646251732110978,0.06646251732110978,0.06281760931015015,0.06281760931015015,0,0.6782043213761275,3233,350,86,172,528,335,137,129,514,83,899
9000,894,-0.006128869950771332,-0.03440024331212044,-0.047222383320331573,-0.006128869950771332,0.006128869950771332,0.06459975668787957,0.06459975668787957,0.05277761667966843,0.05277761667966843,0,0.5759061460339695,3289,350,89,172,547,335,139,131,537,83,906
10000,994,0.0010555833578109741,-0.0008308477699756622,-0.018164826557040215,0.0010555833578109741,0.0010555833578109741,0.09816915223002434,0.09816915223002434,0.08183517344295979,0.08183517344295979,0,0.5030813166992334,3347,351,102,172,564,335,139,132,563,83,906
11000,1094,0.0008583292365074158,-0.007809516042470932,-0.0032760482281446457,0.0008583292365074158,0.0008583292365074158,0.09119048395752907,0.09119048395752907,0.09672395177185536,0.09672395177185536,0,0.44508670520231214,3388,351,102,172,565,335,139,132,602,84,906
12000,1194,0.0009197518229484558,-0.0035919174551963806,-0.018523748964071274,0.0009197518229484558,0.0009197518229484558,0.09540808254480362,0.09540808254480362,0.08147625103592873,0.08147625103592873,0,0.4031805425631431,3448,353,102,220,565,336,139,132,608,86,907
13000,1294,-0.005502201616764069,-0.02219129540026188,-0.031798847019672394,-0.005502201616764069,0.005502201616764069,0.07680870459973813,0.07680870459973813,0.06820115298032761,0.06820115298032761,0,0.37130801687763715,3520,354,105,273,566,336,140,142,609,88,907
14000,1394,0.0012964755296707153,-0.03364237770438194,-0.049515217542648315,0.0012964755296707153,0.0012964755296707153,0.06535762229561806,0.06535762229561806,0.05048478245735169,0.05048478245735169,0,0.34263521288837745,3573,355,105,314,568,336,141,148,609,89,907
15000,1494,-5.500391125679016e-05,-0.0384003147482872,-0.012677385471761227,-5.500391125679016e-05,5.500391125679016e-05,0.060599685251712804,0.060599685251712804,0.08732261452823878,0.08732261452823878,0,0.3169446883230904,3610,355,105,314,570,337,141,172,618,91,907
16000,1594,-0.001208968460559845,-0.02695630118250847,-0.012109536677598953,-0.001208968460559845,0.001208968460559845,0.07204369881749154,0.07204369881749154,0.08789046332240105,0.08789046332240105,0,0.29554655870445345,3650,355,106,314,594,337,141,185,619,92,907
