action,sample_count
0,25
1,322
2,349
3,60
4,529
5,265
6,23
7,646
8,51
9,589
10,451
11,48
12,33
13,117
14,442
15,162
16,40
17,26
18,29
19,157
20,459
21,318
22,62
23,30
24,614
25,548
26,275
27,111
28,287
29,222
30,46
31,32
32,21
33,514
34,1045
35,25
36,514
37,148
38,307
39,38
40,16
41,25
42,208
43,1132
44,141
45,67
46,26
47,68
48,658
49,447
