environment_step,learning_update,safe_q,risky_q,maximum_noisy_q,safe_signed_error,safe_absolute_error,risky_signed_error,risky_absolute_error,noisy_signed_error,noisy_absolute_error,greedy_risky_choice,training_risky_fraction,noisy_state_visits,action_0_samples,action_1_samples,action_2_samples,action_3_samples,action_4_samples,action_5_samples,action_6_samples,action_7_samples,action_8_samples,action_9_samples,action_10_samples,action_11_samples,action_12_samples,action_13_samples,action_14_samples,action_15_samples,action_16_samples,action_17_samples,action_18_samples,action_19_samples,action_20_samples,action_21_samples,action_22_samples,action_23_samples,action_24_samples,action_25_samples,action_26_samples,action_27_samples,action_28_samples,action_29_samples,action_30_samples,action_31_samples,action_32_samples,action_33_samples,action_34_samples,action_35_samples,action_36_samples,action_37_samples,action_38_samples,action_39_samples,action_40_samples,action_41_samples,action_42_samples,action_43_samples,action_44_samples,action_45_samples,action_46_samples,action_47_samples,action_48_samples,action_49_samples
1000,94,0.014831742271780968,-0.02928473986685276,0.2522572875022888,0.014831742271780968,0.014831742271780968,0.06971526013314724,0.06971526013314724,0.3522572875022888,0.3522572875022888,0,0.4662756598240469,318,0,0,0,32,0,1,2,15,0,1,48,20,0,0,0,1,0,1,0,2,20,0,2,0,28,0,18,0,0,44,3,14,2,0,0,2,0,1,30,5,0,1,16,1,1,2,2,1,0,2
2000,194,-0.0005303714424371719,-0.13637661933898926,0.4892386794090271,-0.0005303714424371719,0.0005303714424371719,-0.03737661933898925,0.03737661933898925,0.5892386794090271,0.5892386794090271,0,0.2376237623762376,384,0,0,0,32,0,6,2,45,0,1,48,20,0,0,1,1,0,1,0,10,20,0,18,0,28,0,19,0,0,44,3,14,2,0,1,2,0,1,30,6,0,2,16,2,1,2,2,1,0,3
3000,294,0.0014484748244285583,-0.06138508766889572,0.48789045214653015,0.0014484748244285583,0.0014484748244285583,0.03761491233110428,0.03761491233110428,0.5878904521465301,0.5878904521465301,0,0.1714174150722374,439,0,0,0,32,0,27,2,45,0,1,48,20,0,0,1,1,0,1,0,26,20,0,18,0,28,0,19,0,0,44,3,14,2,0,1,2,0,17,30,6,0,2,16,2,1,3,2,2,0,3
4000,394,0.003349076025187969,0.1577584147453308,0.1536363661289215,0.003349076025187969,0.003349076025187969,0.2567584147453308,0.2567584147453308,0.2536363661289215,0.2536363661289215,1,0.24688279301745636,792,0,29,0,34,66,27,2,47,1,53,49,22,1,0,1,3,12,2,0,26,21,1,18,0,28,2,95,0,0,45,3,14,3,2,1,3,0,104,31,6,0,2,16,3,2,5,2,4,2,4
5000,494,0.004110158421099186,-0.03833530843257904,0.039565108716487885,0.004110158421099186,0.004110158421099186,0.060664691567420964,0.060664691567420964,0.1395651087164879,0.1395651087164879,0,0.2588116817724068,1028,0,115,0,34,66,27,2,47,32,53,49,23,2,0,1,4,12,2,1,26,21,2,24,5,28,2,115,37,3,49,4,14,3,2,1,5,0,104,31,6,0,3,17,3,2,6,2,4,2,37
6000,594,-0.002470665145665407,0.015393247827887535,0.08903425931930542,-0.002470665145665407,0.002470665145665407,0.11439324782788754,0.11439324782788754,0.18903425931930543,0.18903425931930543,1,0.32129486897159215,1459,1,115,1,35,94,27,2,48,33,53,50,25,3,0,2,5,13,3,6,27,21,2,24,5,29,2,255,39,77,50,6,14,4,2,1,6,1,104,31,7,0,3,17,4,3,7,3,4,157,38
7000,694,-0.010955402627587318,0.007547352463006973,0.12762317061424255,-0.010955402627587318,0.010955402627587318,0.10654735246300698,0.10654735246300698,0.22762317061424256,0.22762317061424256,1,0.3744354997054781,1907,1,116,1,36,238,28,4,48,33,53,50,25,4,1,2,7,13,4,6,27,22,2,26,6,31,5,255,39,78,164,6,15,4,2,3,7,2,104,35,8,1,5,49,7,3,54,3,5,230,39
8000,794,-0.0037907203659415245,0.01876152865588665,0.08225005865097046,-0.0037907203659415245,0.0037907203659415245,0.11776152865588665,0.11776152865588665,0.18225005865097046,0.18225005865097046,1,0.3686911890504705,2155,1,117,1,36,238,29,4,49,34,54,50,26,4,2,3,8,14,5,6,27,23,4,30,9,31,6,255,39,80,200,7,17,4,2,4,7,2,106,35,8,2,5,190,7,8,55,4,5,263,39
9000,894,0.0011547654867172241,-0.1630801260471344,0.08827675879001617,0.0011547654867172241,0.0011547654867172241,-0.0640801260471344,0.0640801260471344,0.18827675879001618,0.18827675879001618,0,0.33432171979243885,2255,1,117,22,36,238,29,4,49,34,54,50,27,5,2,3,9,15,5,6,27,23,4,30,9,31,6,255,39,107,200,7,18,4,2,4,7,2,106,36,8,2,6,190,7,8,55,4,5,308,39
10000,994,0.00035528093576431274,-0.025240853428840637,0.16671250760555267,0.00035528093576431274,0.00035528093576431274,0.07375914657115937,0.07375914657115937,0.26671250760555265,0.26671250760555265,0,0.2987012987012987,2300,1,117,48,36,238,30,4,49,34,54,50,27,6,3,3,9,15,5,6,27,23,4,31,9,31,6,255,39,112,201,7,18,4,2,4,7,3,114,36,8,2,6,190,7,8,55,4,5,308,39
11000,1094,0.002689830958843231,0.019761022180318832,0.04561715945601463,0.002689830958843231,0.002689830958843231,0.11876102218031884,0.11876102218031884,0.14561715945601464,0.14561715945601464,1,0.3249819320645628,2698,1,203,329,38,238,32,5,50,35,54,51,27,7,3,4,9,16,6,7,28,23,4,32,10,32,6,256,40,112,201,8,18,4,3,7,8,6,115,36,8,2,6,190,7,8,55,4,5,309,40
12000,1194,0.003384137526154518,-0.009573030285537243,0.04123682901263237,0.003384137526154518,0.003384137526154518,0.08942696971446276,0.08942696971446276,0.14123682901263238,0.14123682901263238,0,0.3101867016049787,2841,1,305,329,38,238,32,5,50,35,55,51,27,7,4,4,20,16,6,8,28,25,4,47,10,32,8,256,40,112,201,8,18,4,3,7,9,7,115,36,8,2,6,190,7,8,55,4,5,315,40
13000,1294,-0.005356334149837494,-0.004305933602154255,0.050946030765771866,-0.005356334149837494,0.005356334149837494,0.09469406639784575,0.09469406639784575,0.15094603076577187,0.15094603076577187,1,0.28560126582278483,2888,1,305,329,38,240,32,6,50,35,55,51,27,7,4,4,20,16,6,8,28,34,4,47,10,32,8,256,40,112,201,8,18,4,3,7,9,7,115,36,8,2,6,190,8,8,55,4,34,320,40
14000,1394,-0.00174049474298954,-0.013841084204614162,-0.03848163038492203,-0.00174049474298954,0.00174049474298954,0.08515891579538584,0.08515891579538584,0.06151836961507798,0.06151836961507798,0,0.30378096479791394,3262,3,305,329,40,336,35,6,52,36,55,51,28,7,4,5,20,18,6,8,28,37,6,47,10,34,43,256,40,112,201,8,19,6,4,7,9,9,120,36,8,3,7,190,8,8,56,6,47,513,40
15000,1494,0.00041742250323295593,-0.17185626924037933,0.09093554317951202,0.00041742250323295593,0.00041742250323295593,-0.07285626924037933,0.07285626924037933,0.19093554317951203,0.19093554317951203,0,0.2838069154399178,3316,3,306,329,40,336,36,6,57,36,55,51,28,7,9,5,20,18,6,9,28,37,6,47,11,34,43,257,40,151,201,8,19,6,4,7,9,9,120,36,8,3,7,190,8,8,56,6,47,513,40
