environment_step,learning_update,safe_q,risky_q,maximum_noisy_q,safe_signed_error,safe_absolute_error,risky_signed_error,risky_absolute_error,noisy_signed_error,noisy_absolute_error,greedy_risky_choice,training_risky_fraction,noisy_state_visits,action_0_samples,action_1_samples,action_2_samples,action_3_samples,action_4_samples,action_5_samples,action_6_samples,action_7_samples,action_8_samples,action_9_samples
1000,94,0.0014024600386619568,-0.01675000973045826,0.13322746753692627,0.0014024600386619568,0.0014024600386619568,0.08224999026954175,0.08224999026954175,0.23322746753692628,0.23322746753692628,0,0.20048019207683074,167,12,5,6,3,25,1,3,108,1,3
2000,194,-0.019879192113876343,-0.010007512755692005,0.05662136524915695,-0.019879192113876343,0.019879192113876343,0.088992487244308,0.088992487244308,0.15662136524915696,0.15662136524915696,1,0.16822429906542055,288,13,38,29,4,27,1,3,156,1,16
3000,294,-0.0009275488555431366,-0.07922486215829849,0.06632257997989655,-0.0009275488555431366,0.0009275488555431366,0.019775137841701512,0.019775137841701512,0.16632257997989655,0.16632257997989655,0,0.14854517611026033,388,14,70,32,5,27,26,5,167,1,41
4000,394,0.0026842020452022552,-0.037098921835422516,-0.03878166526556015,0.0026842020452022552,0.0026842020452022552,0.06190107816457749,0.06190107816457749,0.061218334734439855,0.061218334734439855,0,0.12707805015497323,451,14,91,34,6,40,49,6,169,1,41
5000,494,-0.005378946661949158,-0.02007530815899372,0.03861425817012787,-0.005378946661949158,0.005378946661949158,0.07892469184100628,0.07892469184100628,0.13861425817012787,0.13861425817012787,0,0.14051094890510948,616,15,94,34,8,97,147,6,171,2,42
6000,594,0.003929033875465393,-0.04700176417827606,-0.0407828614115715,0.003929033875465393,0.003929033875465393,0.05199823582172394,0.05199823582172394,0.0592171385884285,0.0592171385884285,0,0.1219147344801795,652,15,101,34,8,124,147,7,171,3,42
7000,694,-0.0011462494730949402,-0.05029890313744545,-0.015371419489383698,-0.0011462494730949402,0.0011462494730949402,0.048701096862554555,0.048701096862554555,0.08462858051061631,0.08462858051061631,0,0.11234705228031146,707,15,101,35,8,146,147,9,198,4,44
8000,794,0.0073104798793792725,-0.12177449464797974,-0.05913165584206581,0.0073104798793792725,0.0073104798793792725,-0.02277449464797973,0.02277449464797973,0.040868344157934194,0.040868344157934194,0,0.10329609709005655,749,15,113,35,11,152,148,9,218,4,44
9000,894,0.005662411451339722,-0.1818777173757553,0.040826067328453064,0.005662411451339722,0.005662411451339722,-0.0828777173757553,0.0828777173757553,0.14082606732845307,0.14082606732845307,0,0.09609061015710632,789,15,113,36,43,155,148,11,219,4,45
10000,994,0.000519879162311554,-0.04319896548986435,-0.0002718660980463028,0.000519879162311554,0.000519879162311554,0.055801034510135655,0.055801034510135655,0.0997281339019537,0.0997281339019537,0,0.09134562916075521,837,16,113,36,77,155,149,12,229,5,45
