environment_step,learning_update,td_loss
70,1,0.02227088436484337
80,2,0.002229119651019573
90,3,0.004541069734841585
100,4,0.00806382019072771
110,5,0.004923446569591761
120,6,0.002123750513419509
130,7,0.001133987563662231
140,8,0.002135113812983036
150,9,0.009728502482175827
160,10,0.005776784382760525
170,11,0.0008998201228678226
180,12,0.028958134353160858
190,13,0.032580796629190445
200,14,0.07270488142967224
210,15,0.022381041198968887
220,16,0.042412180453538895
230,17,0.047878336161375046
240,18,0.11630501598119736
250,19,0.08831873536109924
260,20,0.08752962946891785
270,21,0.13665512204170227
280,22,0.10582804679870605
290,23,0.14105086028575897
300,24,0.15424604713916779
310,25,0.12109412252902985
320,26,0.1300312727689743
330,27,0.09176269918680191
340,28,0.19377188384532928
350,29,0.10859929025173187
360,30,0.05865949019789696
370,31,0.03713749349117279
380,32,0.069396011531353
390,33,0.11313231289386749
400,34,0.1339610069990158
410,35,0.2502308487892151
420,36,0.06146615743637085
430,37,0.31639206409454346
440,38,0.273078054189682
450,39,0.29171425104141235
460,40,0.32107800245285034
470,41,0.24102537333965302
480,42,0.36396583914756775
490,43,0.3078837990760803
500,44,0.23076015710830688
510,45,0.17545941472053528
520,46,0.1821666657924652
530,47,0.3820984959602356
540,48,0.2569099962711334
550,49,0.2702367305755615
560,50,0.4001411199569702
570,51,0.20856371521949768
580,52,0.12668411433696747
590,53,0.16792547702789307
600,54,0.07797577232122421
610,55,0.2623850703239441
620,56,0.06478649377822876
630,57,0.21894457936286926
640,58,0.2504069209098816
650,59,0.21451249718666077
660,60,0.26174458861351013
670,61,0.270218163728714
680,62,0.1827768236398697
690,63,0.15369585156440735
700,64,0.15755262970924377
710,65,0.2603973150253296
720,66,0.1345052868127823
730,67,0.10790149122476578
740,68,0.1278451830148697
750,69,0.0926089808344841
760,70,0.11558230221271515
770,71,0.15049831569194794
780,72,0.25461694598197937
790,73,0.1178557425737381
800,74,0.10413356870412827
810,75,0.1625797599554062
820,76,0.22954905033111572
830,77,0.07149967551231384
840,78,0.09268507361412048
850,79,0.2611697018146515
860,80,0.18539667129516602
870,81,0.1183013916015625
880,82,0.0498177632689476
890,83,0.2710752487182617
900,84,0.2184666097164154
910,85,0.2360919564962387
920,86,0.09294861555099487
930,87,0.09414474666118622
940,88,0.05975276976823807
950,89,0.1915336549282074
960,90,0.222513347864151
970,91,0.20627039670944214
980,92,0.03815808892250061
990,93,0.14080704748630524
1000,94,0.18263843655586243
1010,95,0.17573857307434082
1020,96,0.2254893183708191
1030,97,0.1034775897860527
1040,98,0.07675603777170181
1050,99,0.058867473155260086
1060,100,0.13925288617610931
1070,101,0.19008611142635345
1080,102,0.10491587221622467
1090,103,0.04403272271156311
1100,104,0.08712185174226761
1110,105,0.17735010385513306
1120,106,0.06044948101043701
1130,107,0.11712896078824997
1140,108,0.255924254655838
1150,109,0.21694780886173248
1160,110,0.027811525389552116
1170,111,0.21031464636325836
1180,112,0.30072060227394104
1190,113,0.14353102445602417
1200,114,0.20123572647571564
1210,115,0.10989455878734589
1220,116,0.14453138411045074
1230,117,0.07136024534702301
1240,118,0.15408307313919067
1250,119,0.12036406993865967
1260,120,0.03754914924502373
1270,121,0.15675897896289825
1280,122,0.2745741307735443
1290,123,0.05887690186500549
1300,124,0.2317921668291092
1310,125,0.10033303499221802
1320,126,0.25672370195388794
1330,127,0.20795154571533203
1340,128,0.1461593359708786
1350,129,0.17510512471199036
1360,130,0.17366349697113037
1370,131,0.16007095575332642
1380,132,0.23851215839385986
1390,133,0.2971654534339905
1400,134,0.34842780232429504
1410,135,0.3089649975299835
1420,136,0.11318200081586838
1430,137,0.07815822213888168
1440,138,0.049081530421972275
1450,139,0.2626343071460724
1460,140,0.06689287722110748
1470,141,0.22714458405971527
1480,142,0.14219294488430023
1490,143,0.151540607213974
1500,144,0.19396451115608215
1510,145,0.32482054829597473
1520,146,0.3747243583202362
1530,147,0.18909209966659546
1540,148,0.09578409045934677
1550,149,0.30755147337913513
1560,150,0.04798893630504608
1570,151,0.44635170698165894
1580,152,0.19961875677108765
1590,153,0.22492782771587372
1600,154,0.174516499042511
1610,155,0.20968344807624817
1620,156,0.11579317599534988
1630,157,0.08197325468063354
1640,158,0.1172104924917221
1650,159,0.18422415852546692
1660,160,0.11381642520427704
1670,161,0.10900194197893143
1680,162,0.21916267275810242
1690,163,0.1270863115787506
1700,164,0.2859930396080017
1710,165,0.11264532059431076
1720,166,0.15824323892593384
1730,167,0.1571725755929947
1740,168,0.22809402644634247
1750,169,0.15407320857048035
1760,170,0.2123170793056488
1770,171,0.07571084052324295
1780,172,0.13275378942489624
1790,173,0.06026138737797737
1800,174,0.08929966390132904
1810,175,0.10229340195655823
1820,176,0.08968093246221542
1830,177,0.34491047263145447
1840,178,0.15457579493522644
1850,179,0.08236473053693771
1860,180,0.10185939073562622
1870,181,0.1705777794122696
1880,182,0.20795994997024536
1890,183,0.13653135299682617
1900,184,0.11778285354375839
1910,185,0.16671735048294067
1920,186,0.10532858967781067
1930,187,0.0635196715593338
1940,188,0.24537084996700287
1950,189,0.17288556694984436
1960,190,0.15888284146785736
1970,191,0.23357731103897095
1980,192,0.1760384738445282
1990,193,0.16912637650966644
2000,194,0.08232653886079788
2010,195,0.07512044906616211
2020,196,0.18336352705955505
2030,197,0.16212385892868042
2040,198,0.17075705528259277
2050,199,0.1180306151509285
2060,200,0.1329813450574875
2070,201,0.1198037639260292
2080,202,0.15482409298419952
2090,203,0.13901816308498383
2100,204,0.31830644607543945
2110,205,0.043141063302755356
2120,206,0.22166620194911957
2130,207,0.12787790596485138
2140,208,0.2581852376461029
2150,209,0.183867946267128
2160,210,0.08553782850503922
2170,211,0.20032870769500732
2180,212,0.2170230895280838
2190,213,0.41421324014663696
2200,214,0.21047483384609222
2210,215,0.24172088503837585
2220,216,0.07043494284152985
2230,217,0.171912282705307
2240,218,0.07353642582893372
2250,219,0.14374521374702454
2260,220,0.13570839166641235
2270,221,0.2434089034795761
