environment_step,learning_update,safe_q,risky_q,maximum_noisy_q,safe_signed_error,safe_absolute_error,risky_signed_error,risky_absolute_error,noisy_signed_error,noisy_absolute_error,greedy_risky_choice,training_risky_fraction,noisy_state_visits,action_0_samples,action_1_samples,action_2_samples,action_3_samples,action_4_samples,action_5_samples,action_6_samples,action_7_samples,action_8_samples,action_9_samples
1000,94,-0.010714091360569,-0.04962687939405441,0.03920014575123787,-0.010714091360569,0.010714091360569,0.04937312060594559,0.04937312060594559,0.13920014575123787,0.13920014575123787,0,0.2531328320802005,202,25,12,3,35,52,22,6,4,34,9
2000,194,-0.005608364939689636,-0.09152572602033615,0.11088898777961731,-0.005608364939689636,0.005608364939689636,0.0074742739796638535,0.0074742739796638535,0.21088898777961732,0.21088898777961732,0,0.29282482223658696,453,67,16,36,40,122,45,10,55,44,18
3000,294,0.020855430513620377,-0.12392690777778625,-0.005811233073472977,0.020855430513620377,0.020855430513620377,-0.02492690777778625,0.02492690777778625,0.09418876692652703,0.09418876692652703,0,0.24378109452736318,588,72,19,42,45,141,49,12,142,46,20
4000,394,-0.0024346187710762024,-0.016828354448080063,-0.027516530826687813,-0.0024346187710762024,0.0024346187710762024,0.08217164555191994,0.08217164555191994,0.07248346917331219,0.07248346917331219,0,0.20772946859903382,688,73,20,64,49,142,52,16,203,48,21
5000,494,0.0007685795426368713,-0.19834381341934204,0.021762700751423836,0.0007685795426368713,0.0007685795426368713,-0.09934381341934204,0.09934381341934204,0.12176270075142384,0.12176270075142384,0,0.1848341232227488,780,77,22,110,76,151,52,18,203,50,21
6000,594,-0.016440190374851227,-0.04721368849277496,-0.01182568073272705,-0.016440190374851227,0.016440190374851227,0.05178631150722504,0.05178631150722504,0.08817431926727295,0.08817431926727295,0,0.16981867810489373,871,79,26,137,80,193,54,21,204,52,25
7000,694,0.0008099600672721863,-0.006194113753736019,-0.001746099442243576,0.0008099600672721863,0.0008099600672721863,0.09280588624626399,0.09280588624626399,0.09825390055775643,0.09825390055775643,0,0.1572160687716978,951,82,26,188,82,196,62,22,207,54,32
8000,794,0.003422830253839493,-0.06894583255052567,-0.049814168363809586,0.003422830253839493,0.003422830253839493,0.03005416744947434,0.03005416744947434,0.05018583163619042,0.05018583163619042,0,0.1510791366906475,1050,85,29,244,83,198,62,24,208,59,58
9000,894,-0.0034543387591838837,-0.07986269146203995,0.05000752583146095,-0.0034543387591838837,0.0034543387591838837,0.019137308537960057,0.019137308537960057,0.15000752583146096,0.15000752583146096,0,0.14635078333970195,1149,87,30,246,84,201,62,25,209,60,145
10000,994,0.0009765215218067169,0.03028317727148533,0.12389230728149414,0.0009765215218067169,0.0009765215218067169,0.12928317727148533,0.12928317727148533,0.22389230728149415,0.22389230728149415,1,0.1466574934067194,1279,92,31,250,86,205,65,25,210,60,255
11000,1094,0.0017138570547103882,-0.07575148344039917,-0.08543680608272552,0.0017138570547103882,0.0017138570547103882,0.023248516559600835,0.023248516559600835,0.01456319391727448,0.01456319391727448,0,0.17483712485314537,1637,100,52,253,157,225,71,38,220,72,449
12000,1194,-0.001995239406824112,-0.11371835321187973,0.0006813062354922295,-0.001995239406824112,0.001995239406824112,-0.014718353211879726,0.014718353211879726,0.10068130623549224,0.10068130623549224,0,0.1675423234092236,1722,100,53,307,173,228,74,39,222,76,450
13000,1294,0.0054026395082473755,-0.11147375404834747,0.010600240901112556,0.0054026395082473755,0.0054026395082473755,-0.012473754048347468,0.012473754048347468,0.11060024090111256,0.11060024090111256,0,0.16206310896576384,1813,101,55,311,218,231,106,40,223,77,451
14000,1394,0.001495175063610077,-0.015191540122032166,0.060920845717191696,0.001495175063610077,0.001495175063610077,0.08380845987796784,0.08380845987796784,0.1609208457171917,0.1609208457171917,0,0.15846090194455936,1915,103,55,312,222,234,188,41,226,80,454
15000,1494,-0.0043827928602695465,-0.017354559153318405,0.0756772980093956,-0.0043827928602695465,0.0043827928602695465,0.0816454408466816,0.0816454408466816,0.1756772980093956,0.1756772980093956,0,0.15436706425548288,2006,105,56,312,226,236,263,44,226,82,455
16000,1594,-0.0026361793279647827,-0.024346616119146347,0.04171963781118393,-0.0026361793279647827,0.0026361793279647827,0.07465338388085366,0.07465338388085366,0.14171963781118393,0.14171963781118393,0,0.14983830398850162,2085,106,56,312,227,237,321,53,227,86,460
17000,1694,-0.007011398673057556,0.022203318774700165,0.014209026470780373,-0.007011398673057556,0.007011398673057556,0.12120331877470017,0.12120331877470017,0.11420902647078038,0.11420902647078038,1,0.16238205934636948,2375,108,63,319,236,243,404,211,236,89,465
18000,1794,-0.000205211341381073,0.020538967102766037,0.010221632197499275,-0.000205211341381073,0.000205211341381073,0.11953896710276604,0.11953896710276604,0.11022163219749928,0.11022163219749928,1,0.18740105540897098,2841,115,142,330,244,260,677,256,247,96,473
19000,1894,0.00024914368987083435,-0.027483660727739334,-0.005861172452569008,0.00024914368987083435,0.00024914368987083435,0.07151633927226067,0.07151633927226067,0.094138827547431,0.094138827547431,0,0.19964642000252558,3162,117,152,462,246,264,686,396,257,103,479
20000,1994,-0.004480406641960144,-0.05522121116518974,-0.0992245227098465,-0.004480406641960144,0.004480406641960144,0.04377878883481026,0.04377878883481026,0.000775477290153509,0.000775477290153509,0,0.1946004061641381,3258,118,155,526,248,265,687,398,261,104,496
21000,2094,0.0029689930379390717,-0.03819415345788002,-0.08478104323148727,0.0029689930379390717,0.0029689930379390717,0.060805846542119985,0.060805846542119985,0.015218956768512731,0.015218956768512731,0,0.19013884953244545,3355,121,157,556,249,266,720,398,264,106,518
22000,2194,0.0037576723843812943,-0.02775086648762226,-0.024678761139512062,0.0037576723843812943,0.0037576723843812943,0.07124913351237774,0.07124913351237774,0.07532123886048794,0.07532123886048794,0,0.18611171015742936,3452,123,157,619,251,271,722,412,265,110,522
23000,2294,-0.0008182227611541748,-0.05091383308172226,-0.07877219468355179,-0.0008182227611541748,0.0008182227611541748,0.048086166918277745,0.048086166918277745,0.021227805316448217,0.021227805316448217,0,0.18226676946800308,3546,123,159,634,253,272,743,455,267,112,527
24000,2394,0.0033378973603248596,-0.0646861344575882,0.014384696260094643,0.0033378973603248596,0.0033378973603248596,0.03431386554241181,0.03431386554241181,0.11438469626009465,0.11438469626009465,0,0.17831893165750196,3632,125,161,637,253,273,801,455,269,115,543
