environment_step,episode_id,evaluation_seed,episode_return,episode_length
0,0,10000,17.0,17
0,1,10001,10.0,10
0,2,10002,9.0,9
0,3,10003,14.0,14
0,4,10004,10.0,10
0,5,10005,14.0,14
0,6,10006,18.0,18
0,7,10007,10.0,10
0,8,10008,16.0,16
0,9,10009,9.0,9
5000,0,10000,97.0,97
5000,1,10001,60.0,60
5000,2,10002,114.0,114
5000,3,10003,31.0,31
5000,4,10004,122.0,122
5000,5,10005,41.0,41
5000,6,10006,44.0,44
5000,7,10007,44.0,44
5000,8,10008,109.0,109
5000,9,10009,48.0,48
10000,0,10000,208.0,208
10000,1,10001,207.0,207
10000,2,10002,220.0,220
10000,3,10003,249.0,249
10000,4,10004,214.0,214
10000,5,10005,212.0,212
10000,6,10006,189.0,189
10000,7,10007,210.0,210
10000,8,10008,216.0,216
10000,9,10009,213.0,213
15000,0,10000,209.0,209
15000,1,10001,211.0,211
15000,2,10002,210.0,210
15000,3,10003,243.0,243
15000,4,10004,218.0,218
15000,5,10005,217.0,217
15000,6,10006,194.0,194
15000,7,10007,214.0,214
15000,8,10008,218.0,218
15000,9,10009,212.0,212
20000,0,10000,194.0,194
20000,1,10001,196.0,196
20000,2,10002,195.0,195
20000,3,10003,228.0,228
20000,4,10004,204.0,204
20000,5,10005,203.0,203
20000,6,10006,180.0,180
20000,7,10007,200.0,200
20000,8,10008,202.0,202
20000,9,10009,199.0,199
25000,0,10000,236.0,236
25000,1,10001,241.0,241
25000,2,10002,238.0,238
25000,3,10003,318.0,318
25000,4,10004,255.0,255
25000,5,10005,247.0,247
25000,6,10006,214.0,214
25000,7,10007,250.0,250
25000,8,10008,254.0,254
25000,9,10009,243.0,243
30000,0,10000,242.0,242
30000,1,10001,252.0,252
30000,2,10002,244.0,244
30000,3,10003,424.0,424
30000,4,10004,269.0,269
30000,5,10005,258.0,258
30000,6,10006,215.0,215
30000,7,10007,256.0,256
30000,8,10008,269.0,269
30000,9,10009,253.0,253
35000,0,10000,216.0,216
35000,1,10001,220.0,220
35000,2,10002,215.0,215
35000,3,10003,276.0,276
35000,4,10004,230.0,230
35000,5,10005,224.0,224
35000,6,10006,195.0,195
35000,7,10007,224.0,224
35000,8,10008,232.0,232
35000,9,10009,224.0,224
40000,0,10000,207.0,207
40000,1,10001,212.0,212
40000,2,10002,208.0,208
40000,3,10003,273.0,273
40000,4,10004,222.0,222
40000,5,10005,219.0,219
40000,6,10006,191.0,191
40000,7,10007,217.0,217
40000,8,10008,224.0,224
40000,9,10009,216.0,216
45000,0,10000,191.0,191
45000,1,10001,191.0,191
45000,2,10002,190.0,190
45000,3,10003,225.0,225
45000,4,10004,199.0,199
45000,5,10005,200.0,200
45000,6,10006,176.0,176
45000,7,10007,195.0,195
45000,8,10008,202.0,202
45000,9,10009,195.0,195
50000,0,10000,206.0,206
50000,1,10001,208.0,208
50000,2,10002,203.0,203
50000,3,10003,255.0,255
50000,4,10004,217.0,217
50000,5,10005,214.0,214
50000,6,10006,189.0,189
50000,7,10007,212.0,212
50000,8,10008,220.0,220
50000,9,10009,210.0,210
