episode,ending_environment_step,episode_return,episode_length
0,30,30.0,30
1,50,20.0,20
2,70,20.0,20
3,100,22.0,22
4,120,26.0,26
5,160,34.0,34
6,190,34.0,34
7,200,13.0,13
8,250,49.0,49
9,270,16.0,16
10,290,22.0,22
11,330,35.0,35
12,360,33.0,33
13,380,17.0,17
14,410,33.0,33
15,420,12.0,12
16,440,17.0,17
17,450,16.0,16
18,480,22.0,22
19,510,30.0,30
20,530,20.0,20
21,540,16.0,16
22,600,62.0,62
23,610,10.0,10
24,640,26.0,26
25,660,16.0,16
26,670,14.0,14
27,680,10.0,10
28,690,11.0,11
29,710,18.0,18
30,730,18.0,18
31,750,20.0,20
32,790,40.0,40
33,800,15.0,15
34,810,13.0,13
35,850,31.0,31
36,870,27.0,27
37,880,9.0,9
38,900,17.0,17
39,920,26.0,26
40,950,22.0,22
41,960,14.0,14
42,980,24.0,24
43,990,8.0,8
44,1010,20.0,20
45,1030,21.0,21
46,1050,16.0,16
47,1060,8.0,8
48,1070,12.0,12
49,1080,12.0,12
50,1090,10.0,10
51,1100,10.0,10
52,1110,10.0,10
53,1120,9.0,9
54,1130,8.0,8
55,1140,9.0,9
56,1150,10.0,10
57,1160,10.0,10
58,1170,8.0,8
59,1180,13.0,13
60,1190,10.0,10
61,1200,9.0,9
62,1210,9.0,9
63,1220,10.0,10
64,1230,11.0,11
65,1240,11.0,11
66,1250,9.0,9
67,1260,8.0,8
68,1270,10.0,10
69,1280,10.0,10
70,1280,9.0,9
71,1300,13.0,13
72,1310,12.0,12
73,1320,14.0,14
74,1350,22.0,22
75,1370,28.0,28
76,1410,41.0,41
77,1440,29.0,29
78,1470,26.0,26
79,1490,24.0,24
80,1520,23.0,23
81,1530,18.0,18
82,1550,19.0,19
83,1580,27.0,27
84,1610,29.0,29
85,1630,19.0,19
86,1640,12.0,12
87,1650,11.0,11
88,1660,10.0,10
89,1670,10.0,10
90,1680,9.0,9
91,1690,11.0,11
92,1710,20.0,20
93,1730,20.0,20
94,1740,13.0,13
95,1760,11.0,11
96,1770,10.0,10
97,1780,13.0,13
98,1790,14.0,14
99,1800,10.0,10
100,1810,10.0,10
101,1820,10.0,10
102,1830,10.0,10
103,1850,13.0,13
104,1860,12.0,12
105,1870,17.0,17
106,1940,70.0,70
107,1960,11.0,11
108,1960,8.0,8
109,1970,11.0,11
110,1990,11.0,11
111,2000,10.0,10
112,2010,14.0,14
113,2020,12.0,12
114,2030,10.0,10
115,2040,8.0,8
116,2050,9.0,9
117,2060,10.0,10
118,2070,11.0,11
119,2080,9.0,9
120,2090,11.0,11
121,2100,10.0,10
122,2110,12.0,12
123,2120,9.0,9
124,2130,10.0,10
125,2150,18.0,18
126,2170,17.0,17
127,2180,12.0,12
128,2190,13.0,13
129,2200,12.0,12
130,2210,9.0,9
131,2220,13.0,13
132,2240,14.0,14
133,2250,10.0,10
134,2260,10.0,10
135,2280,17.0,17
136,2300,26.0,26
137,2320,22.0,22
138,2340,19.0,19
139,2350,11.0,11
140,2360,9.0,9
141,2370,9.0,9
142,2380,10.0,10
143,2390,9.0,9
144,2400,9.0,9
145,2410,11.0,11
146,2420,10.0,10
147,2430,10.0,10
148,2440,11.0,11
149,2450,10.0,10
150,2460,10.0,10
151,2470,11.0,11
152,2490,14.0,14
153,2500,10.0,10
154,2500,8.0,8
155,2520,14.0,14
156,2530,10.0,10
157,2540,11.0,11
158,2550,10.0,10
159,2560,11.0,11
160,2570,8.0,8
161,2580,9.0,9
162,2590,11.0,11
163,2600,13.0,13
164,2610,9.0,9
165,2620,10.0,10
166,2630,8.0,8
167,2640,10.0,10
168,2650,9.0,9
169,2660,10.0,10
170,2670,11.0,11
171,2680,9.0,9
172,2690,10.0,10
173,2700,8.0,8
174,2700,9.0,9
175,2710,10.0,10
176,2720,9.0,9
177,2730,9.0,9
178,2740,9.0,9
179,2750,10.0,10
180,2760,10.0,10
181,2770,9.0,9
182,2780,9.0,9
183,2810,27.0,27
184,2830,24.0,24
185,2840,13.0,13
186,2850,11.0,11
187,2870,11.0,11
188,2880,12.0,12
189,2900,23.0,23
190,2910,8.0,8
191,2920,10.0,10
192,2960,46.0,46
193,2980,11.0,11
194,2990,10.0,10
195,3010,22.0,22
196,3020,9.0,9
197,3030,10.0,10
198,3040,12.0,12
199,3050,9.0,9
200,3060,8.0,8
201,3060,9.0,9
202,3080,11.0,11
203,3090,10.0,10
204,3090,9.0,9
205,3100,10.0,10
206,3110,9.0,9
207,3120,10.0,10
208,3130,9.0,9
209,3140,11.0,11
210,3150,9.0,9
211,3160,10.0,10
212,3180,18.0,18
213,3210,27.0,27
214,3230,20.0,20
215,3250,24.0,24
216,3280,26.0,26
217,3300,20.0,20
218,3320,26.0,26
219,3360,36.0,36
220,3390,26.0,26
221,3400,14.0,14
222,3410,13.0,13
223,3430,16.0,16
224,3440,10.0,10
225,3450,9.0,9
226,3460,11.0,11
227,3470,13.0,13
228,3480,8.0,8
229,3490,10.0,10
230,3500,9.0,9
231,3510,9.0,9
