evaluation_seed,episode_return,episode_length
20000,-73.0,74
20001,-87.0,88
20002,-85.0,86
20003,-92.0,93
20004,-124.0,125
20005,-88.0,89
20006,-77.0,78
20007,-100.0,101
20008,-88.0,89
20009,-84.0,85
20010,-64.0,65
20011,-83.0,84
20012,-156.0,157
20013,-101.0,102
20014,-88.0,89
20015,-74.0,75
20016,-78.0,79
20017,-104.0,105
20018,-94.0,95
20019,-93.0,94
20020,-77.0,78
20021,-81.0,82
20022,-97.0,98
20023,-74.0,75
20024,-87.0,88
20025,-84.0,85
20026,-73.0,74
20027,-95.0,96
20028,-77.0,78
20029,-76.0,77
20030,-89.0,90
20031,-74.0,75
20032,-78.0,79
20033,-82.0,83
20034,-85.0,86
20035,-80.0,81
20036,-90.0,91
20037,-73.0,74
20038,-64.0,65
20039,-75.0,76
20040,-92.0,93
20041,-88.0,89
20042,-75.0,76
20043,-131.0,132
20044,-88.0,89
20045,-77.0,78
20046,-92.0,93
20047,-88.0,89
20048,-104.0,105
20049,-96.0,97
20050,-71.0,72
20051,-76.0,77
20052,-88.0,89
20053,-73.0,74
20054,-72.0,73
20055,-95.0,96
20056,-77.0,78
20057,-75.0,76
20058,-169.0,170
20059,-102.0,103
20060,-146.0,147
20061,-83.0,84
20062,-86.0,87
20063,-64.0,65
20064,-78.0,79
20065,-73.0,74
20066,-79.0,80
20067,-78.0,79
20068,-83.0,84
20069,-77.0,78
20070,-88.0,89
20071,-87.0,88
20072,-96.0,97
20073,-90.0,91
20074,-91.0,92
20075,-83.0,84
20076,-86.0,87
20077,-78.0,79
20078,-94.0,95
20079,-101.0,102
20080,-64.0,65
20081,-75.0,76
20082,-88.0,89
20083,-81.0,82
20084,-64.0,65
20085,-83.0,84
20086,-167.0,168
20087,-85.0,86
20088,-83.0,84
20089,-83.0,84
20090,-77.0,78
20091,-74.0,75
20092,-126.0,127
20093,-76.0,77
20094,-92.0,93
20095,-91.0,92
20096,-77.0,78
20097,-94.0,95
20098,-64.0,65
20099,-78.0,79
