evaluation_seed,episode_return,episode_length
20000,-93.0,94
20001,-122.0,123
20002,-72.0,73
20003,-81.0,82
20004,-87.0,88
20005,-81.0,82
20006,-87.0,88
20007,-86.0,87
20008,-85.0,86
20009,-78.0,79
20010,-99.0,100
20011,-79.0,80
20012,-62.0,63
20013,-92.0,93
20014,-76.0,77
20015,-85.0,86
20016,-83.0,84
20017,-89.0,90
20018,-106.0,107
20019,-63.0,64
20020,-82.0,83
20021,-62.0,63
20022,-143.0,144
20023,-73.0,74
20024,-63.0,64
20025,-85.0,86
20026,-82.0,83
20027,-71.0,72
20028,-108.0,109
20029,-88.0,89
20030,-105.0,106
20031,-73.0,74
20032,-62.0,63
20033,-73.0,74
20034,-62.0,63
20035,-87.0,88
20036,-73.0,74
20037,-76.0,77
20038,-95.0,96
20039,-73.0,74
20040,-73.0,74
20041,-91.0,92
20042,-103.0,104
20043,-91.0,92
20044,-86.0,87
20045,-62.0,63
20046,-91.0,92
20047,-62.0,63
20048,-81.0,82
20049,-74.0,75
20050,-73.0,74
20051,-81.0,82
20052,-73.0,74
20053,-90.0,91
20054,-76.0,77
20055,-62.0,63
20056,-82.0,83
20057,-73.0,74
20058,-118.0,119
20059,-62.0,63
20060,-82.0,83
20061,-93.0,94
20062,-110.0,111
20063,-73.0,74
20064,-86.0,87
20065,-74.0,75
20066,-73.0,74
20067,-62.0,63
20068,-86.0,87
20069,-83.0,84
20070,-91.0,92
20071,-83.0,84
20072,-73.0,74
20073,-63.0,64
20074,-62.0,63
20075,-71.0,72
20076,-62.0,63
20077,-126.0,127
20078,-85.0,86
20079,-131.0,132
20080,-81.0,82
20081,-94.0,95
20082,-73.0,74
20083,-62.0,63
20084,-69.0,70
20085,-81.0,82
20086,-72.0,73
20087,-72.0,73
20088,-93.0,94
20089,-74.0,75
20090,-62.0,63
20091,-96.0,97
20092,-82.0,83
20093,-74.0,75
20094,-62.0,63
20095,-96.0,97
20096,-105.0,106
20097,-63.0,64
20098,-91.0,92
20099,-104.0,105
