environment_step,learning_update,safe_q,risky_q,maximum_noisy_q,safe_signed_error,safe_absolute_error,risky_signed_error,risky_absolute_error,noisy_signed_error,noisy_absolute_error,greedy_risky_choice,training_risky_fraction,noisy_state_visits,action_0_samples,action_1_samples,action_2_samples,action_3_samples,action_4_samples,action_5_samples,action_6_samples,action_7_samples,action_8_samples,action_9_samples,action_10_samples,action_11_samples,action_12_samples,action_13_samples,action_14_samples,action_15_samples,action_16_samples,action_17_samples,action_18_samples,action_19_samples,action_20_samples,action_21_samples,action_22_samples,action_23_samples,action_24_samples,action_25_samples,action_26_samples,action_27_samples,action_28_samples,action_29_samples,action_30_samples,action_31_samples,action_32_samples,action_33_samples,action_34_samples,action_35_samples,action_36_samples,action_37_samples,action_38_samples,action_39_samples,action_40_samples,action_41_samples,action_42_samples,action_43_samples,action_44_samples,action_45_samples,action_46_samples,action_47_samples,action_48_samples,action_49_samples
1000,94,0.004955292213708162,0.1715662181377411,0.20026840269565582,0.004955292213708162,0.004955292213708162,0.27056621813774107,0.27056621813774107,0.3002684026956558,0.3002684026956558,1,0.7793594306049823,438,0,0,0,18,0,1,2,29,0,49,42,15,0,0,0,1,0,1,0,1,20,0,2,0,31,0,0,0,1,93,4,14,2,0,0,4,1,2,42,24,1,1,29,0,1,2,2,1,0,2
2000,194,0.0033720009960234165,0.16878755390644073,0.22601895034313202,0.0033720009960234165,0.0033720009960234165,0.2677875539064407,0.2677875539064407,0.326018950343132,0.326018950343132,1,0.8648648648648649,928,0,1,0,18,47,80,2,31,0,49,42,16,1,27,3,4,0,4,41,36,21,1,102,1,31,0,57,1,1,108,4,15,2,0,4,4,2,21,44,25,1,2,32,2,1,3,4,30,1,5
3000,294,-0.011954190209507942,0.17571032047271729,0.14370033144950867,-0.011954190209507942,0.011954190209507942,0.27471032047271726,0.27471032047271726,0.24370033144950867,0.24370033144950867,1,0.8945707070707071,1417,2,2,3,19,47,80,3,31,161,49,43,17,21,29,4,5,3,4,103,37,21,1,103,2,32,1,58,2,1,111,4,15,2,0,6,4,3,23,47,28,1,3,33,2,159,3,5,31,46,6
4000,394,-0.00403745099902153,0.09911391884088516,0.11919241398572922,-0.00403745099902153,0.00403745099902153,0.19811391884088517,0.19811391884088517,0.21919241398572922,0.21919241398572922,1,0.9065776930409915,1902,71,2,3,21,48,81,4,133,288,49,45,20,22,29,32,8,6,4,103,37,22,2,103,2,32,4,59,3,1,165,5,15,4,2,7,5,3,23,48,28,38,3,33,3,159,5,6,32,77,7
5000,494,-0.019370274618268013,0.09385503828525543,0.05122099071741104,-0.019370274618268013,0.019370274618268013,0.19285503828525544,0.19285503828525544,0.15122099071741105,0.15122099071741105,1,0.9164430816404753,2391,161,3,4,22,48,243,4,133,288,49,46,21,23,29,34,9,8,4,104,47,22,3,104,2,33,4,61,6,3,167,7,15,47,2,7,8,4,24,49,28,38,5,174,4,159,8,8,33,77,9
6000,594,-0.02271101251244545,0.08911138772964478,0.07221140712499619,-0.02271101251244545,0.02271101251244545,0.18811138772964478,0.18811138772964478,0.1722114071249962,0.1722114071249962,1,0.9230769230769231,2880,162,3,5,23,48,243,4,321,289,155,47,23,24,29,35,10,9,5,106,190,22,3,104,2,34,4,62,8,7,182,9,15,48,2,7,9,5,26,49,30,38,5,174,5,160,9,9,34,77,10
7000,694,-0.011975359171628952,0.05785435438156128,0.028545990586280823,-0.011975359171628952,0.011975359171628952,0.15685435438156128,0.15685435438156128,0.12854599058628083,0.12854599058628083,1,0.9262520638414969,3366,162,4,47,24,48,244,6,321,289,227,48,23,25,30,35,12,9,6,106,190,23,275,106,4,36,7,62,8,8,183,9,16,48,56,9,11,7,26,53,31,39,7,174,9,160,11,9,35,78,10
8000,794,-0.010583413764834404,0.058475445955991745,0.03897092863917351,-0.010583413764834404,0.010583413764834404,0.15747544595599175,0.15747544595599175,0.1389709286391735,0.1389709286391735,1,0.9309678976587015,3857,162,7,47,24,48,245,6,323,291,228,48,25,25,31,37,13,10,10,106,191,27,430,108,8,37,9,62,8,10,239,10,18,72,179,10,12,7,28,54,31,41,7,254,9,160,12,13,35,79,11
9000,894,-0.0033650975674390793,0.05684185028076172,0.10456529259681702,-0.0033650975674390793,0.0033650975674390793,0.15584185028076172,0.15584185028076172,0.20456529259681702,0.20456529259681702,1,0.9354838709677419,4350,163,7,49,24,48,542,9,323,291,228,49,27,28,32,39,15,11,11,108,193,27,545,108,8,39,10,63,8,11,240,10,25,75,206,11,14,8,28,55,33,43,8,254,10,162,12,14,36,79,11
10000,994,-0.0022666174918413162,0.032022085040807724,0.044039271771907806,-0.0022666174918413162,0.0022666174918413162,0.13102208504080773,0.13102208504080773,0.1440392717719078,0.1440392717719078,1,0.936108422071636,4835,166,7,146,24,49,544,11,324,476,229,49,27,28,33,39,17,11,12,108,193,27,651,109,8,41,11,65,8,12,240,12,28,75,266,12,15,10,29,55,33,43,10,255,10,162,13,15,37,79,11
