action,sample_count
0,260
1,1076
2,997
3,58
4,77
5,607
6,765
7,367
8,2372
9,260
10,386
11,53
12,620
13,66
14,735
15,48
16,853
17,58
18,160
19,217
20,285
21,981
22,177
23,915
24,74
25,50
26,268
27,801
28,33
29,443
30,48
31,496
32,985
33,1018
34,290
35,54
36,89
37,75
38,309
39,137
40,68
41,848
42,286
43,694
44,374
45,37
46,52
47,778
48,159
49,119
