environment_step,learning_update,safe_q,risky_q,maximum_noisy_q,safe_signed_error,safe_absolute_error,risky_signed_error,risky_absolute_error,noisy_signed_error,noisy_absolute_error,greedy_risky_choice,training_risky_fraction,noisy_state_visits,action_0_samples,action_1_samples,action_2_samples,action_3_samples,action_4_samples,action_5_samples,action_6_samples,action_7_samples,action_8_samples,action_9_samples
1000,94,-0.019907072186470032,0.15690897405147552,0.039763905107975006,-0.019907072186470032,0.019907072186470032,0.2559089740514755,0.2559089740514755,0.139763905107975,0.139763905107975,1,0.7378472222222222,425,62,92,6,2,19,102,74,4,6,57
2000,194,-0.020068705081939697,0.12410809099674225,-0.07230326533317566,-0.020068705081939697,0.020068705081939697,0.22310809099674225,0.22310809099674225,0.027696734666824346,0.027696734666824346,1,0.8324175824175825,909,149,94,12,136,24,109,76,7,10,291
3000,294,-0.01314634084701538,0.11817815899848938,-0.017760545015335083,-0.01314634084701538,0.01314634084701538,0.21717815899848938,0.21717815899848938,0.08223945498466492,0.08223945498466492,1,0.8703241895261845,1396,338,137,19,277,32,159,81,9,11,333
4000,394,0.030312713235616684,0.11410783231258392,-0.02650976926088333,0.030312713235616684,0.030312713235616684,0.21310783231258393,0.21310783231258393,0.07349023073911667,0.07349023073911667,1,0.8845972680169572,1878,482,142,176,284,40,163,87,11,13,479
5000,494,-0.010191187262535095,0.12879341840744019,-0.046439483761787415,-0.010191187262535095,0.010191187262535095,0.2277934184074402,0.2277934184074402,0.05356051623821259,0.05356051623821259,1,0.8968133535660091,2364,490,151,180,287,42,166,96,15,15,922
6000,594,-0.008320651948451996,0.12488701939582825,-0.059540845453739166,-0.008320651948451996,0.008320651948451996,0.22388701939582825,0.22388701939582825,0.04045915454626084,0.04045915454626084,1,0.9071837253655436,2854,543,158,438,291,45,170,99,21,21,1068
7000,694,-0.013114266097545624,0.1239134818315506,-0.024051904678344727,-0.013114266097545624,0.013114266097545624,0.2229134818315506,0.2229134818315506,0.07594809532165528,0.07594809532165528,1,0.9123190385140671,3340,545,160,889,295,51,172,102,25,28,1072
8000,794,0.0025872960686683655,0.11872856318950653,-0.03667611628770828,0.0025872960686683655,0.0025872960686683655,0.21772856318950654,0.21772856318950654,0.06332388371229172,0.06332388371229172,1,0.9161676646706587,3825,629,165,1255,301,55,173,108,31,31,1077
9000,894,-0.017003796994686127,0.12454520165920258,-0.0039126016199588776,-0.017003796994686127,0.017003796994686127,0.22354520165920258,0.22354520165920258,0.09608739838004113,0.09608739838004113,1,0.9202048218476637,4313,842,184,1372,302,61,176,115,35,38,1188
10000,994,0.005922988057136536,0.12039919942617416,-0.033702410757541656,0.005922988057136536,0.005922988057136536,0.21939919942617417,0.21939919942617417,0.06629758924245835,0.06629758924245835,1,0.9217909300538047,4797,848,190,1378,305,66,182,115,300,46,1366
11000,1094,-0.018718913197517395,-0.04395191743969917,-0.06672610342502594,-0.018718913197517395,0.018718913197517395,0.05504808256030083,0.05504808256030083,0.033273896574974066,0.033273896574974066,0,0.8006220330659682,4891,849,190,1383,308,72,183,117,356,50,1383
12000,1194,0.0012596696615219116,-0.033542800694704056,-0.06535468995571136,0.0012596696615219116,0.0012596696615219116,0.06545719930529595,0.06545719930529595,0.03464531004428864,0.03464531004428864,0,0.6992353440951572,4938,849,191,1393,308,75,184,118,356,51,1413
