environment_step,learning_update,safe_q,risky_q,maximum_noisy_q,safe_signed_error,safe_absolute_error,risky_signed_error,risky_absolute_error,noisy_signed_error,noisy_absolute_error,greedy_risky_choice,training_risky_fraction,noisy_state_visits,action_0_samples,action_1_samples
1000,94,0.002800397574901581,0.01566162146627903,-0.057435184717178345,0.002800397574901581,0.002800397574901581,0.11466162146627903,0.11466162146627903,0.04256481528282166,0.04256481528282166,1,0.5797788309636651,367,29,338
2000,194,-0.011324640363454819,0.003010646440088749,-0.12382380664348602,-0.011324640363454819,0.011324640363454819,0.10201064644008875,0.10201064644008875,-0.023823806643486017,0.023823806643486017,1,0.6914623837700761,818,55,762
3000,294,0.022899849340319633,0.07172151654958725,-0.15622693300247192,0.022899849340319633,0.022899849340319633,0.17072151654958725,0.17072151654958725,-0.05622693300247192,0.05622693300247192,1,0.7138777841233581,1250,68,1181
4000,394,0.0009822063148021698,-0.23015736043453217,-0.15643461048603058,0.0009822063148021698,0.0009822063148021698,-0.13115736043453216,0.13115736043453216,-0.05643461048603057,0.05643461048603057,0,0.5284677111196026,1383,71,1312
5000,494,-0.010000105947256088,-0.2272850126028061,-0.1896619349718094,-0.010000105947256088,0.010000105947256088,-0.1282850126028061,0.1282850126028061,-0.08966193497180938,0.08966193497180938,0,0.4013452914798206,1432,71,1361
6000,594,0.013684406876564026,-0.21472755074501038,-0.08858346939086914,0.013684406876564026,0.013684406876564026,-0.11572755074501037,0.11572755074501037,0.011416530609130865,0.011416530609130865,0,0.3274336283185841,1480,73,1407
7000,694,-0.008567694574594498,-0.23417234420776367,-0.13480974733829498,-0.008567694574594498,0.008567694574594498,-0.13517234420776367,0.13517234420776367,-0.03480974733829498,0.03480974733829498,0,0.2797074954296161,1530,75,1455
8000,794,-0.006176788359880447,-0.2185146063566208,-0.25441789627075195,-0.006176788359880447,0.006176788359880447,-0.11951460635662078,0.11951460635662078,-0.15441789627075195,0.15441789627075195,0,0.24552389848980227,1577,80,1497
9000,894,-0.008764810860157013,-0.21181295812129974,-0.1850622296333313,-0.008764810860157013,0.008764810860157013,-0.11281295812129974,0.11281295812129974,-0.0850622296333313,0.0850622296333313,0,0.21934697195501965,1619,89,1530
10000,994,0.003049243241548538,-0.11707101762294769,-0.1395692080259323,0.003049243241548538,0.003049243241548538,-0.018071017622947688,0.018071017622947688,-0.039569208025932306,0.039569208025932306,0,0.2012012012012012,1675,92,1583
11000,1094,-0.0010942518711090088,-0.11802107095718384,-0.10683276504278183,-0.0010942518711090088,0.0010942518711090088,-0.019021070957183833,0.019021070957183833,-0.006832765042781824,0.006832765042781824,0,0.18636755823986195,1728,94,1634
12000,1194,-0.0023103095591068268,-0.1016547679901123,-0.1644471287727356,-0.0023103095591068268,0.0023103095591068268,-0.0026547679901123,0.0026547679901123,-0.06444712877273559,0.06444712877273559,0,0.17416829745596868,1780,99,1681
13000,1294,0.0027637705206871033,-0.09982731193304062,-0.07088804244995117,0.0027637705206871033,0.0027637705206871033,-0.0008273119330406142,0.0008273119330406142,0.029111957550048834,0.029111957550048834,0,0.16258272223215883,1818,116,1702
14000,1394,-0.005972184240818024,-0.08272618055343628,-0.15465915203094482,-0.005972184240818024,0.005972184240818024,0.016273819446563725,0.016273819446563725,-0.05465915203094482,0.05465915203094482,0,0.15473441108545036,1876,165,1711
15000,1494,0.007536217570304871,-0.05971568822860718,-0.10686221718788147,0.007536217570304871,0.007536217570304871,0.03928431177139283,0.03928431177139283,-0.006862217187881464,0.006862217187881464,0,0.1466136676349182,1918,175,1743
16000,1594,0.006787113845348358,-0.07782944291830063,-0.13543516397476196,0.006787113845348358,0.006787113845348358,0.021170557081699376,0.021170557081699376,-0.03543516397476196,0.03543516397476196,0,0.1407386282617995,1974,206,1768
17000,1694,-0.004863951355218887,-0.15327128767967224,-0.28022629022598267,-0.004863951355218887,0.004863951355218887,-0.05427128767967224,0.05427128767967224,-0.18022629022598266,0.18022629022598266,0,0.13386246915227107,2007,239,1768
18000,1794,-0.0050458647310733795,-0.10460878908634186,-0.10961288213729858,-0.0050458647310733795,0.0050458647310733795,-0.005608789086341853,0.005608789086341853,-0.009612882137298578,0.009612882137298578,0,0.12944719834347745,2063,294,1769
19000,1894,-0.005673684179782867,-0.1225237101316452,-0.126353919506073,-0.005673684179782867,0.005673684179782867,-0.023523710131645198,0.023523710131645198,-0.026353919506072992,0.026353919506072992,0,0.12492599171107165,2110,326,1784
20000,1994,-0.005975812673568726,-0.13598978519439697,-0.13987070322036743,-0.005975812673568726,0.005975812673568726,-0.03698978519439697,0.03698978519439697,-0.039870703220367426,0.039870703220367426,0,0.1210762331838565,2160,372,1788
21000,2094,0.014192771166563034,-0.15425273776054382,-0.12864193320274353,0.014192771166563034,0.014192771166563034,-0.05525273776054382,0.05525273776054382,-0.028641933202743525,0.028641933202743525,0,0.11660551922156644,2193,385,1808
22000,2194,-0.0005107410252094269,-0.15861114859580994,-0.1411244422197342,-0.0005107410252094269,0.0005107410252094269,-0.05961114859580993,0.05961114859580993,-0.041124442219734186,0.041124442219734186,0,0.11296605453533667,2233,422,1811
