environment_step,learning_update,safe_q,risky_q,maximum_noisy_q,safe_signed_error,safe_absolute_error,risky_signed_error,risky_absolute_error,noisy_signed_error,noisy_absolute_error,greedy_risky_choice,training_risky_fraction,noisy_state_visits,action_0_samples,action_1_samples,action_2_samples,action_3_samples,action_4_samples,action_5_samples,action_6_samples,action_7_samples,action_8_samples,action_9_samples,action_10_samples,action_11_samples,action_12_samples,action_13_samples,action_14_samples,action_15_samples,action_16_samples,action_17_samples,action_18_samples,action_19_samples,action_20_samples,action_21_samples,action_22_samples,action_23_samples,action_24_samples,action_25_samples,action_26_samples,action_27_samples,action_28_samples,action_29_samples,action_30_samples,action_31_samples,action_32_samples,action_33_samples,action_34_samples,action_35_samples,action_36_samples,action_37_samples,action_38_samples,action_39_samples,action_40_samples,action_41_samples,action_42_samples,action_43_samples,action_44_samples,action_45_samples,action_46_samples,action_47_samples,action_48_samples,action_49_samples
1000,94,0.008003894239664078,0.2155746966600418,0.21367019414901733,0.008003894239664078,0.008003894239664078,0.3145746966600418,0.3145746966600418,0.3136701941490173,0.3136701941490173,1,0.7825311942959001,439,1,2,1,0,2,28,0,46,1,0,0,16,0,1,10,0,0,0,19,9,0,0,1,28,6,1,0,0,1,2,39,54,0,0,22,0,19,0,5,65,1,3,1,20,1,0,29,2,2,1
2000,194,0.0007133260369300842,0.2298901528120041,0.25524505972862244,0.0007133260369300842,0.0007133260369300842,0.32889015281200407,0.32889015281200407,0.3552450597286224,0.3552450597286224,1,0.8674136321195145,929,3,3,2,1,40,28,3,49,2,0,0,16,1,4,14,2,105,0,46,9,2,73,3,29,6,1,81,1,2,5,39,55,0,3,22,0,20,1,6,68,1,20,1,96,2,2,30,3,2,27
3000,294,-0.001951567828655243,0.22378842532634735,0.060985878109931946,-0.001951567828655243,0.001951567828655243,0.32278842532634733,0.32278842532634733,0.16098587810993195,0.16098587810993195,1,0.8945707070707071,1417,3,5,2,1,40,30,3,125,2,2,0,16,3,6,14,2,106,2,46,10,3,76,5,30,6,5,93,44,6,6,39,56,75,4,23,1,157,2,7,68,2,20,2,96,2,44,31,3,2,90
4000,394,0.002475954592227936,0.07368521392345428,0.14470085501670837,0.002475954592227936,0.002475954592227936,0.1726852139234543,0.1726852139234543,0.24470085501670838,0.24470085501670838,1,0.9102196752626552,1906,3,6,2,4,40,31,4,136,4,3,0,16,55,7,16,2,106,5,47,11,4,77,6,31,9,6,169,45,9,56,39,56,133,4,87,3,157,5,81,68,2,21,3,96,2,44,31,3,2,159
5000,494,-0.007263123989105225,0.0712386816740036,0.0626600980758667,-0.007263123989105225,0.007263123989105225,0.1702386816740036,0.1702386816740036,0.1626600980758667,0.1626600980758667,1,0.9186492709132771,2394,4,7,3,4,40,86,5,139,5,4,1,17,56,9,17,5,106,7,47,11,7,78,7,32,10,9,206,45,10,56,39,56,218,4,129,3,157,8,82,101,4,22,3,289,2,45,31,4,5,159
6000,594,-0.004805348813533783,0.06882362067699432,0.14047902822494507,-0.004805348813533783,0.004805348813533783,0.16782362067699433,0.16782362067699433,0.24047902822494507,0.24047902822494507,1,0.9246311738293778,2883,5,10,3,6,41,119,5,140,5,4,3,18,58,9,18,175,107,7,47,12,9,79,9,32,12,9,207,45,10,56,40,185,219,4,130,3,158,10,82,101,5,22,3,291,65,46,32,5,57,164
7000,694,-0.002505078911781311,0.09421969950199127,0.0011154860258102417,-0.002505078911781311,0.002505078911781311,0.19321969950199128,0.19321969950199128,0.10111548602581025,0.10111548602581025,1,0.9273127753303965,3368,5,12,4,6,41,121,6,144,7,5,3,20,60,9,19,325,216,108,47,13,12,79,10,34,13,11,208,45,12,57,42,185,228,5,131,4,158,11,84,174,5,22,3,291,65,47,32,5,59,165
8000,794,-0.0012745335698127747,0.10292250663042068,0.0928894653916359,-0.0012745335698127747,0.0012745335698127747,0.2019225066304207,0.2019225066304207,0.1928894653916359,0.1928894653916359,1,0.927487352445194,3850,5,12,4,8,41,121,7,144,7,7,3,22,61,10,19,365,402,110,48,13,14,79,11,35,13,12,210,47,13,57,42,186,229,5,131,5,159,230,86,174,5,23,6,293,65,47,33,5,59,166
9000,894,0.006776526570320129,0.09958210587501526,0.06193514168262482,0.006776526570320129,0.006776526570320129,0.19858210587501526,0.19858210587501526,0.16193514168262482,0.16193514168262482,1,0.9280205655526992,4332,6,13,5,197,41,123,7,145,7,7,3,126,61,11,21,404,505,112,48,13,16,83,12,36,13,14,211,47,14,58,44,187,231,6,132,7,161,231,87,176,6,24,6,295,65,49,34,5,59,168
10000,994,0.0100594162940979,0.10491655766963959,0.08617034554481506,0.0100594162940979,0.0100594162940979,0.2039165576696396,0.2039165576696396,0.18617034554481507,0.18617034554481507,1,0.9301293186643506,4819,6,13,5,256,43,125,8,147,8,9,5,133,62,12,22,404,505,112,49,13,20,83,13,37,14,14,217,48,16,58,45,274,232,6,133,7,162,521,87,176,8,24,6,295,66,50,36,6,60,168
11000,1094,-0.0070344507694244385,0.10103721916675568,0.0206453800201416,-0.0070344507694244385,0.0070344507694244385,0.20003721916675568,0.20003721916675568,0.12064538002014161,0.12064538002014161,1,0.9327125790583275,5309,7,14,5,257,44,125,8,149,8,10,7,141,62,14,22,509,505,113,69,14,21,83,14,37,14,15,218,50,17,58,46,277,234,6,134,7,164,837,87,176,9,26,7,296,66,50,37,9,61,169
12000,1194,0.0015029385685920715,0.10350121557712555,0.008308717980980873,0.0015029385685920715,0.0015029385685920715,0.20250121557712555,0.20250121557712555,0.10830871798098088,0.10830871798098088,1,0.9329896907216495,5792,8,15,7,260,46,127,8,149,10,11,8,143,62,16,24,571,505,113,71,16,23,83,15,201,15,122,218,52,17,58,46,278,235,8,134,7,165,861,87,176,12,67,8,337,66,50,37,11,63,170
13000,1294,-0.0331893116235733,-0.006859857589006424,0.014850739389657974,-0.0331893116235733,0.0331893116235733,0.09214014241099358,0.09214014241099358,0.11485073938965798,0.11485073938965798,1,0.9343847641719982,6280,9,15,7,432,51,127,10,150,13,12,8,143,62,17,24,650,506,113,72,17,24,85,17,201,20,122,219,53,20,59,47,279,237,8,135,8,165,952,90,177,14,154,8,340,67,52,40,11,65,172
14000,1394,-0.0004976317286491394,0.013509556651115417,0.03457276150584221,-0.0004976317286491394,0.0004976317286491394,0.11250955665111542,0.11250955665111542,0.13457276150584221,0.13457276150584221,1,0.9196489784725079,6707,9,15,7,433,52,128,11,151,13,13,9,413,62,19,26,650,506,113,72,18,24,87,19,201,20,123,219,54,20,59,48,280,238,8,135,10,167,952,90,264,14,193,8,341,68,52,42,12,67,172
15000,1494,0.0021422505378723145,0.01048770546913147,0.0036449357867240906,0.0021422505378723145,0.0021422505378723145,0.10948770546913147,0.10948770546913147,0.1036449357867241,0.1036449357867241,1,0.9211065573770492,7192,10,16,7,433,54,132,11,151,14,14,10,582,62,19,27,832,506,113,137,19,24,88,22,202,21,123,221,56,20,59,48,282,238,8,135,11,167,953,92,297,15,193,8,342,70,53,42,14,67,172
16000,1594,0.007973507046699524,0.009792640805244446,0.062391605228185654,0.007973507046699524,0.007973507046699524,0.10879264080524445,0.10879264080524445,0.16239160522818566,0.16239160522818566,1,0.9238908260189972,7684,12,16,7,435,54,132,12,151,17,367,11,583,63,19,28,852,507,113,137,19,25,88,24,203,21,123,222,58,21,60,51,282,238,9,136,11,169,1030,92,297,16,194,8,344,72,54,44,14,67,175
17000,1694,-0.0022957324981689453,0.04855313524603844,-0.0034189950674772263,-0.0022957324981689453,0.0022957324981689453,0.14755313524603844,0.14755313524603844,0.09658100493252278,0.09658100493252278,1,0.9258042591753511,8173,16,17,9,438,55,133,13,151,19,470,11,584,63,21,28,1197,508,115,138,20,25,91,25,204,22,124,222,58,21,61,51,282,239,10,137,11,169,1031,92,297,16,196,9,345,73,55,44,14,67,175
18000,1794,0.003182779997587204,0.04860880970954895,0.02813483029603958,0.003182779997587204,0.003182779997587204,0.14760880970954895,0.14760880970954895,0.1281348302960396,0.1281348302960396,1,0.9274012206874398,8661,17,18,9,439,56,135,14,151,20,472,12,612,63,23,29,1454,508,116,139,21,26,92,25,205,23,124,222,59,76,63,51,283,242,107,138,11,169,1032,93,297,18,200,9,351,74,56,46,15,71,175
19000,1894,0.005757313221693039,0.0480196475982666,0.0735577940940857,0.005757313221693039,0.005757313221693039,0.1470196475982666,0.1470196475982666,0.1735577940940857,0.1735577940940857,1,0.9289340101522843,9150,17,18,10,440,57,137,15,154,20,472,14,615,63,24,30,1509,508,117,141,21,26,92,25,205,25,126,223,59,190,64,51,285,242,290,139,13,169,1034,94,298,20,201,9,442,76,58,47,16,72,177
20000,1994,0.0021096542477607727,0.0449410080909729,0.029755480587482452,0.0021096542477607727,0.0021096542477607727,0.1439410080909729,0.1439410080909729,0.12975548058748246,0.12975548058748246,1,0.9308746862328635,9642,17,22,10,441,58,137,16,154,22,473,15,616,63,24,31,1511,508,118,141,26,26,93,25,205,26,127,224,63,251,64,52,285,244,290,139,14,171,1072,96,298,22,289,9,702,77,60,48,18,72,177
21000,2094,-0.0011657550930976868,0.04962650686502457,0.018791701644659042,-0.0011657550930976868,0.0011657550930976868,0.14862650686502457,0.14862650686502457,0.11879170164465905,0.11879170164465905,1,0.9319227230910764,10130,20,22,11,441,65,374,16,156,24,475,16,618,65,24,32,1605,508,118,141,40,26,93,28,208,28,128,224,64,252,65,53,286,244,290,139,17,172,1086,96,298,23,291,10,782,78,60,49,19,73,177
22000,2194,-0.003537788987159729,0.043643563985824585,-0.0186504777520895,-0.003537788987159729,0.003537788987159729,0.1426435639858246,0.1426435639858246,0.0813495222479105,0.0813495222479105,1,0.9330463052455847,10619,20,22,12,442,65,376,16,158,26,476,17,618,67,24,34,1605,508,118,141,210,31,93,28,208,28,211,224,64,254,67,54,381,244,291,139,18,172,1087,97,298,25,291,10,784,80,61,152,20,74,178
23000,2294,0.00023166649043560028,0.0032958053052425385,0.00877286121249199,0.00023166649043560028,0.00023166649043560028,0.10229580530524254,0.10229580530524254,0.108772861212492,0.108772861212492,1,0.9159516867971679,10996,20,22,14,442,67,376,16,159,26,476,20,619,68,24,36,1670,511,120,142,211,31,94,29,209,30,479,226,65,254,68,56,383,244,292,140,19,172,1088,98,298,28,292,10,784,81,61,152,20,74,179
24000,2394,0.0013229083269834518,0.005624890327453613,-0.00911792740225792,0.0013229083269834518,0.0013229083269834518,0.10462489032745362,0.10462489032745362,0.09088207259774209,0.09088207259774209,1,0.907335293650163,11417,20,23,15,444,67,535,18,161,27,478,20,621,70,26,36,1879,511,120,143,215,31,94,29,217,31,479,226,65,255,68,56,384,245,292,142,20,172,1090,100,298,28,295,12,784,82,63,152,22,76,180
25000,2494,0.005437986459583044,0.0059195831418037415,0.04562269151210785,0.005437986459583044,0.005437986459583044,0.10491958314180375,0.10491958314180375,0.14562269151210785,0.14562269151210785,1,0.9011406844106464,11850,72,24,17,445,67,536,118,161,28,479,21,622,70,27,37,1883,513,122,144,216,31,94,31,217,31,694,229,68,255,69,57,387,246,292,156,24,173,1091,101,298,30,296,13,784,84,64,154,22,77,180
26000,2594,-0.0012975949794054031,0.03792455047369003,0.0352485366165638,-0.0012975949794054031,0.0012975949794054031,0.13692455047369004,0.13692455047369004,0.1352485366165638,0.1352485366165638,1,0.8985031033223805,12305,73,25,17,447,67,537,357,161,29,479,23,623,70,28,37,1886,515,123,146,216,33,94,31,217,31,864,231,68,255,71,57,388,246,293,156,24,174,1091,101,299,31,298,16,784,84,67,156,24,79,183
27000,2694,-0.0023619607090950012,0.03377509117126465,-0.00805378146469593,-0.0023619607090950012,0.0023619607090950012,0.13277509117126465,0.13277509117126465,0.09194621853530408,0.09194621853530408,1,0.9004082207207207,12793,159,27,62,447,67,537,443,162,30,479,24,625,70,28,38,1886,515,123,146,218,33,94,32,219,32,865,233,69,255,71,59,389,246,524,156,25,174,1092,102,300,33,300,17,787,85,67,157,25,81,184
