action,sample_count
0,176
1,186
2,808
3,469
4,477
5,553
6,461
7,188
8,49
9,500
10,247
11,1207
12,84
13,51
14,62
15,1908
16,532
17,139
18,162
19,259
20,55
21,507
22,818
23,1530
24,50
25,891
26,261
27,91
28,274
29,892
30,80
31,409
32,759
33,551
34,183
35,838
36,199
37,1111
38,126
39,322
40,54
41,323
42,513
43,809
44,808
45,88
46,549
47,1182
48,255
49,205
