environment_step,learning_update,safe_q,risky_q,maximum_noisy_q,safe_signed_error,safe_absolute_error,risky_signed_error,risky_absolute_error,noisy_signed_error,noisy_absolute_error,greedy_risky_choice,training_risky_fraction,noisy_state_visits,action_0_samples,action_1_samples,action_2_samples,action_3_samples,action_4_samples,action_5_samples,action_6_samples,action_7_samples,action_8_samples,action_9_samples
1000,94,0.0006233491003513336,0.023772962391376495,0.03915593400597572,0.0006233491003513336,0.0006233491003513336,0.1227729623913765,0.1227729623913765,0.13915593400597573,0.13915593400597573,1,0.1402508551881414,123,20,1,6,50,0,3,2,25,0,16
2000,194,0.003145568072795868,-0.1090855821967125,0.029204372316598892,0.003145568072795868,0.003145568072795868,-0.01008558219671249,0.01008558219671249,0.1292043723165989,0.1292043723165989,0,0.15942028985507245,275,65,3,8,116,22,7,3,30,3,18
3000,294,-0.007032178342342377,0.04804156348109245,-0.07942870259284973,-0.007032178342342377,0.007032178342342377,0.14704156348109246,0.14704156348109246,0.020571297407150274,0.020571297407150274,1,0.27442650807136787,646,271,5,12,154,26,10,7,34,7,120
4000,394,0.007980160415172577,-0.065922811627388,0.002075187861919403,0.007980160415172577,0.007980160415172577,0.033077188372612004,0.033077188372612004,0.10207518786191941,0.10207518786191941,0,0.2771392081736909,868,275,7,124,238,31,14,9,34,8,128
5000,494,-0.002909485250711441,-0.07787179946899414,-0.05364583060145378,-0.002909485250711441,0.002909485250711441,0.021128200531005864,0.021128200531005864,0.046354169398546224,0.046354169398546224,0,0.22129946262823644,906,275,7,161,238,32,14,9,34,8,128
6000,594,0.001308254897594452,-0.06600452959537506,-0.014693215489387512,0.001308254897594452,0.001308254897594452,0.032995470404624944,0.032995470404624944,0.0853067845106125,0.0853067845106125,0,0.18670886075949367,944,275,8,168,263,33,14,11,35,8,129
7000,694,-0.011836092919111252,0.008109480142593384,0.12483922392129898,-0.011836092919111252,0.011836092919111252,0.10710948014259339,0.10710948014259339,0.224839223921299,0.224839223921299,1,0.18300101385603243,1083,276,122,182,264,34,15,12,36,12,129
8000,794,-0.017105985432863235,-0.05760396271944046,-0.06288858503103256,-0.017105985432863235,0.017105985432863235,0.041396037280559544,0.041396037280559544,0.03711141496896744,0.03711141496896744,0,0.17959304040106164,1218,278,224,202,264,34,19,15,37,16,129
9000,894,-0.0019468627870082855,-0.10167613625526428,0.025550849735736847,-0.0019468627870082855,0.0019468627870082855,-0.0026761362552642776,0.0026761362552642776,0.12555084973573685,0.12555084973573685,0,0.16429495472186287,1270,279,226,206,296,34,31,16,37,16,129
10000,994,0.0031098835170269012,-0.04403074458241463,-0.09289376437664032,0.0031098835170269012,0.0031098835170269012,0.05496925541758538,0.05496925541758538,0.007106235623359686,0.007106235623359686,0,0.15180833909237504,1318,281,227,227,311,34,31,16,37,16,138
