evaluation_seed,episode_return,episode_length
20000,-83.0,84
20001,-82.0,83
20002,-80.0,81
20003,-83.0,84
20004,-82.0,83
20005,-83.0,84
20006,-82.0,83
20007,-94.0,95
20008,-63.0,64
20009,-82.0,83
20010,-71.0,72
20011,-111.0,112
20012,-85.0,86
20013,-82.0,83
20014,-70.0,71
20015,-114.0,115
20016,-83.0,84
20017,-83.0,84
20018,-83.0,84
20019,-110.0,111
20020,-115.0,116
20021,-78.0,79
20022,-81.0,82
20023,-85.0,86
20024,-87.0,88
20025,-83.0,84
20026,-108.0,109
20027,-98.0,99
20028,-119.0,120
20029,-85.0,86
20030,-82.0,83
20031,-100.0,101
20032,-82.0,83
20033,-98.0,99
20034,-94.0,95
20035,-102.0,103
20036,-85.0,86
20037,-84.0,85
20038,-84.0,85
20039,-63.0,64
20040,-105.0,106
20041,-99.0,100
20042,-91.0,92
20043,-95.0,96
20044,-79.0,80
20045,-100.0,101
20046,-78.0,79
20047,-82.0,83
20048,-103.0,104
20049,-105.0,106
20050,-89.0,90
20051,-108.0,109
20052,-91.0,92
20053,-84.0,85
20054,-64.0,65
20055,-115.0,116
20056,-81.0,82
20057,-84.0,85
20058,-86.0,87
20059,-103.0,104
20060,-120.0,121
20061,-91.0,92
20062,-103.0,104
20063,-64.0,65
20064,-103.0,104
20065,-82.0,83
20066,-96.0,97
20067,-82.0,83
20068,-115.0,116
20069,-81.0,82
20070,-88.0,89
20071,-88.0,89
20072,-106.0,107
20073,-95.0,96
20074,-99.0,100
20075,-105.0,106
20076,-82.0,83
20077,-104.0,105
20078,-87.0,88
20079,-78.0,79
20080,-64.0,65
20081,-106.0,107
20082,-83.0,84
20083,-82.0,83
20084,-84.0,85
20085,-84.0,85
20086,-115.0,116
20087,-146.0,147
20088,-83.0,84
20089,-82.0,83
20090,-82.0,83
20091,-105.0,106
20092,-102.0,103
20093,-99.0,100
20094,-230.0,231
20095,-82.0,83
20096,-83.0,84
20097,-81.0,82
20098,-84.0,85
20099,-111.0,112
