environment_step,learning_update,td_loss
70,1,0.025822481140494347
80,2,0.1320962905883789
90,3,0.03250850737094879
100,4,0.1281348168849945
110,5,0.028044553473591805
120,6,0.009761076420545578
130,7,0.02045540139079094
140,8,0.03092488832771778
150,9,0.09664952754974365
160,10,0.10810341686010361
170,11,0.0688125267624855
180,12,0.21968936920166016
190,13,0.11356410384178162
200,14,0.10593283921480179
210,15,0.2443053424358368
220,16,0.22205835580825806
230,17,0.301902174949646
240,18,0.2268405258655548
250,19,0.39828139543533325
260,20,0.3359360098838806
270,21,0.14905370771884918
280,22,0.18476447463035583
290,23,0.4179779589176178
300,24,0.23663592338562012
310,25,0.3850233554840088
320,26,0.3834361732006073
330,27,0.40249186754226685
340,28,0.2839736342430115
350,29,0.32108160853385925
360,30,0.33971601724624634
370,31,0.4375317394733429
380,32,0.25047874450683594
390,33,0.15689654648303986
400,34,0.331829696893692
410,35,0.2941550612449646
420,36,0.4464404582977295
430,37,0.17233334481716156
440,38,0.34765559434890747
450,39,0.2634822428226471
460,40,0.4145794212818146
470,41,0.11713545769453049
480,42,0.2134789526462555
490,43,0.2902684211730957
500,44,0.1938466727733612
510,45,0.33348703384399414
520,46,0.25724974274635315
530,47,0.22610099613666534
540,48,0.3181641101837158
550,49,0.2086527794599533
560,50,0.22092655301094055
570,51,0.24703162908554077
580,52,0.19284245371818542
590,53,0.20891694724559784
600,54,0.39853474497795105
610,55,0.21711964905261993
620,56,0.25266513228416443
630,57,0.08245334029197693
640,58,0.11542166769504547
650,59,0.2740055322647095
660,60,0.16042403876781464
670,61,0.3361296057701111
680,62,0.32694146037101746
690,63,0.21672606468200684
700,64,0.3574412763118744
710,65,0.43483680486679077
720,66,0.3221115469932556
730,67,0.07793112099170685
740,68,0.1243811696767807
750,69,0.2905619144439697
760,70,0.2564128637313843
770,71,0.43644359707832336
780,72,0.15156172215938568
790,73,0.1919461190700531
800,74,0.3571707308292389
810,75,0.3594130873680115
820,76,0.18053606152534485
830,77,0.4101804196834564
840,78,0.30861613154411316
850,79,0.12948037683963776
860,80,0.22060830891132355
870,81,0.20160558819770813
880,82,0.37578436732292175
890,83,0.3435385525226593
900,84,0.3584440350532532
910,85,0.3029569983482361
920,86,0.2641429603099823
930,87,0.2105841338634491
940,88,0.19887614250183105
950,89,0.3849366307258606
960,90,0.4023674428462982
970,91,0.2991723120212555
980,92,0.13867583870887756
990,93,0.3595249354839325
1000,94,0.2193087488412857
1010,95,0.32507094740867615
1020,96,0.13728171586990356
1030,97,0.1573759913444519
1040,98,0.3515858054161072
1050,99,0.1718251258134842
1060,100,0.16810622811317444
1070,101,0.2758147716522217
1080,102,0.31846657395362854
1090,103,0.33397436141967773
1100,104,0.13369891047477722
1110,105,0.24957367777824402
1120,106,0.3654087781906128
1130,107,0.26956769824028015
1140,108,0.28924494981765747
1150,109,0.31449800729751587
1160,110,0.12814714014530182
1170,111,0.25627174973487854
1180,112,0.3286423683166504
1190,113,0.10832925140857697
1200,114,0.2970287799835205
1210,115,0.1800319105386734
1220,116,0.1755184680223465
1230,117,0.1782476156949997
1240,118,0.19234608113765717
1250,119,0.28761541843414307
1260,120,0.2683654725551605
1270,121,0.23516251146793365
1280,122,0.15282829105854034
1290,123,0.086952805519104
1300,124,0.24952036142349243
1310,125,0.2912219762802124
1320,126,0.1285300850868225
1330,127,0.3903730511665344
1340,128,0.32490140199661255
1350,129,0.249672532081604
1360,130,0.22914129495620728
1370,131,0.26243022084236145
1380,132,0.32198530435562134
1390,133,0.23191116750240326
1400,134,0.14044226706027985
1410,135,0.32286399602890015
1420,136,0.39339348673820496
1430,137,0.13900348544120789
1440,138,0.23565815389156342
1450,139,0.16608703136444092
1460,140,0.21576471626758575
1470,141,0.11436602473258972
1480,142,0.2615801990032196
1490,143,0.25012052059173584
1500,144,0.2962563931941986
1510,145,0.1350727081298828
1520,146,0.5194517374038696
1530,147,0.4161653220653534
1540,148,0.1687115728855133
1550,149,0.1574924886226654
1560,150,0.2083674818277359
1570,151,0.20153938233852386
1580,152,0.2505044639110565
1590,153,0.40454238653182983
1600,154,0.24944624304771423
1610,155,0.20142772793769836
1620,156,0.2259308099746704
1630,157,0.019807305186986923
1640,158,0.30581024289131165
1650,159,0.32417094707489014
1660,160,0.1314704269170761
1670,161,0.3393949270248413
1680,162,0.20860101282596588
1690,163,0.16795891523361206
1700,164,0.07113860547542572
1710,165,0.17378634214401245
1720,166,0.040380172431468964
1730,167,0.17003192007541656
1740,168,0.08146864175796509
1750,169,0.18150177597999573
1760,170,0.41482871770858765
1770,171,0.17268356680870056
1780,172,0.1997978687286377
1790,173,0.18412603437900543
1800,174,0.30504730343818665
1810,175,0.07803753018379211
1820,176,0.33600202202796936
1830,177,0.2444515824317932
1840,178,0.18394991755485535
1850,179,0.18300828337669373
1860,180,0.24337458610534668
1870,181,0.11885546147823334
1880,182,0.14636476337909698
1890,183,0.1760818362236023
1900,184,0.2352849692106247
1910,185,0.09453835338354111
1920,186,0.29404449462890625
1930,187,0.14398258924484253
1940,188,0.16723844408988953
1950,189,0.14079272747039795
1960,190,0.2627702057361603
1970,191,0.2743905484676361
1980,192,0.2568883001804352
1990,193,0.2827248275279999
2000,194,0.1008944883942604
2010,195,0.16203726828098297
2020,196,0.3359315097332001
2030,197,0.19669190049171448
2040,198,0.24676057696342468
2050,199,0.1833266317844391
2060,200,0.07996977120637894
2070,201,0.19660866260528564
2080,202,0.1166452020406723
2090,203,0.19357867538928986
2100,204,0.2158663421869278
2110,205,0.35670486092567444
2120,206,0.11005591601133347
2130,207,0.050669796764850616
2140,208,0.12721991539001465
2150,209,0.16322019696235657
2160,210,0.05330768972635269
2170,211,0.16330769658088684
2180,212,0.28855353593826294
2190,213,0.36532750725746155
2200,214,0.2350977659225464
2210,215,0.39696356654167175
2220,216,0.31509125232696533
2230,217,0.30067092180252075
2240,218,0.13994649052619934
2250,219,0.375948429107666
2260,220,0.07240227609872818
2270,221,0.1320694237947464
2280,222,0.1310543566942215
2290,223,0.07437749952077866
2300,224,0.2675342559814453
2310,225,0.1684696525335312
2320,226,0.15979428589344025
2330,227,0.18914073705673218
2340,228,0.1542370319366455
2350,229,0.12479087710380554
2360,230,0.31049826741218567
2370,231,0.44217973947525024
2380,232,0.19609083235263824
2390,233,0.3717951774597168
2400,234,0.261587530374527
2410,235,0.15248346328735352
2420,236,0.1802901029586792
2430,237,0.11064847558736801
2440,238,0.15058401226997375
2450,239,0.18631237745285034
2460,240,0.15788057446479797
2470,241,0.09796743839979172
2480,242,0.24128147959709167
2490,243,0.18835458159446716
2500,244,0.14366233348846436
2510,245,0.20513764023780823
2520,246,0.17944805324077606
2530,247,0.2344021499156952
2540,248,0.1878005564212799
2550,249,0.13916203379631042
2560,250,0.24225151538848877
2570,251,0.16952714323997498
2580,252,0.23110206425189972
2590,253,0.19151803851127625
2600,254,0.08889620006084442
2610,255,0.15107081830501556
2620,256,0.2013722062110901
2630,257,0.13350564241409302
2640,258,0.2513425648212433
2650,259,0.030776215717196465
2660,260,0.1493372917175293
2670,261,0.2240237593650818
2680,262,0.16098779439926147
2690,263,0.17586159706115723
2700,264,0.08151594549417496
2710,265,0.1799568384885788
2720,266,0.17909207940101624
2730,267,0.18646688759326935
2740,268,0.10748341679573059
2750,269,0.15255457162857056
2760,270,0.27308565378189087
2770,271,0.22628359496593475
2780,272,0.0832405686378479
2790,273,0.2107539027929306
2800,274,0.2618958353996277
2810,275,0.27995744347572327
2820,276,0.10769106447696686
2830,277,0.1964687705039978
2840,278,0.21799223124980927
2850,279,0.15872777998447418
2860,280,0.3666031062602997
2870,281,0.24773924052715302
2880,282,0.27386364340782166
2890,283,0.2067737877368927
2900,284,0.2335062175989151
2910,285,0.15801341831684113
2920,286,0.12044399976730347
2930,287,0.10180412232875824
2940,288,0.2234649360179901
2950,289,0.11752104759216309
2960,290,0.051935821771621704
2970,291,0.05450982227921486
2980,292,0.24647781252861023
2990,293,0.21134990453720093
3000,294,0.1757795810699463
3010,295,0.40840384364128113
3020,296,0.219954252243042
3030,297,0.14844371378421783
3040,298,0.17144612967967987
3050,299,0.1465597152709961
3060,300,0.11484936624765396
3070,301,0.26778995990753174
3080,302,0.17186632752418518
3090,303,0.1339901089668274
3100,304,0.12277395278215408
3110,305,0.12010897696018219
3120,306,0.15840406715869904
3130,307,0.3547978699207306
3140,308,0.17971880733966827
3150,309,0.11986544728279114
3160,310,0.043299876153469086
3170,311,0.1471337378025055
3180,312,0.15644368529319763
3190,313,0.17518973350524902
3200,314,0.24766913056373596
3210,315,0.21952508389949799
3220,316,0.08188759535551071
3230,317,0.31049618124961853
3240,318,0.12366684526205063
3250,319,0.06952337920665741
3260,320,0.13406266272068024
3270,321,0.2824512720108032
3280,322,0.23621594905853271
3290,323,0.17836758494377136
3300,324,0.10741105675697327
3310,325,0.08684755861759186
3320,326,0.17079561948776245
3330,327,0.09444013237953186
3340,328,0.05348869040608406
3350,329,0.23806479573249817
3360,330,0.015081328339874744
3370,331,0.37290170788764954
3380,332,0.1169038936495781
3390,333,0.34392035007476807
3400,334,0.1542959213256836
3410,335,0.27668651938438416
3420,336,0.09349539130926132
3430,337,0.2778432071208954
3440,338,0.11586529016494751
3450,339,0.09374671429395676
3460,340,0.1823168396949768
3470,341,0.1143241748213768
3480,342,0.42799121141433716
3490,343,0.04236242547631264
