environment_step,learning_update,safe_q,risky_q,maximum_noisy_q,safe_signed_error,safe_absolute_error,risky_signed_error,risky_absolute_error,noisy_signed_error,noisy_absolute_error,greedy_risky_choice,training_risky_fraction,noisy_state_visits,action_0_samples,action_1_samples,action_2_samples,action_3_samples,action_4_samples,action_5_samples,action_6_samples,action_7_samples,action_8_samples,action_9_samples,action_10_samples,action_11_samples,action_12_samples,action_13_samples,action_14_samples,action_15_samples,action_16_samples,action_17_samples,action_18_samples,action_19_samples,action_20_samples,action_21_samples,action_22_samples,action_23_samples,action_24_samples,action_25_samples,action_26_samples,action_27_samples,action_28_samples,action_29_samples,action_30_samples,action_31_samples,action_32_samples,action_33_samples,action_34_samples,action_35_samples,action_36_samples,action_37_samples,action_38_samples,action_39_samples,action_40_samples,action_41_samples,action_42_samples,action_43_samples,action_44_samples,action_45_samples,action_46_samples,action_47_samples,action_48_samples,action_49_samples
14000,1394,0.0008909124881029129,-0.027114128693938255,0.108345627784729,0.0008909124881029129,0.0008909124881029129,0.07188587130606175,0.07188587130606175,0.208345627784729,0.208345627784729,0,0.1451006052674628,1774,3,3,0,69,57,11,48,93,4,1,61,1,261,87,15,2,8,7,35,26,44,3,8,138,30,4,14,20,5,5,37,39,136,14,73,4,65,106,11,50,3,19,2,49,0,3,20,73,4,3
15000,1494,0.0010883919894695282,-0.12797757983207703,0.06954476982355118,0.0010883919894695282,0.0010883919894695282,-0.02897757983207702,0.02897757983207702,0.16954476982355118,0.16954476982355118,0,0.13757015015925983,1814,3,3,0,69,57,12,48,93,4,1,61,1,261,87,15,2,8,7,35,26,44,3,8,138,31,4,14,20,5,5,37,39,137,14,81,6,65,132,11,50,4,19,2,49,0,3,20,73,4,3
16000,1594,-0.005972073879092932,-0.07029824703931808,0.0731857642531395,-0.005972073879092932,0.005972073879092932,0.02870175296068192,0.02870175296068192,0.1731857642531395,0.1731857642531395,0,0.1313816999010041,1858,3,3,0,69,57,12,48,93,4,2,61,2,261,87,15,2,9,7,43,26,45,3,8,139,31,4,14,21,5,5,37,39,137,14,82,6,65,139,11,50,4,21,2,52,1,6,20,73,17,3
17000,1694,-0.00010641542030498385,0.004839467350393534,0.06485103070735931,-0.00010641542030498385,0.00010641542030498385,0.10383946735039354,0.10383946735039354,0.16485103070735932,0.16485103070735932,1,0.13650645096597366,2042,3,4,0,71,57,12,49,93,4,4,61,2,261,87,15,2,10,7,43,26,45,4,8,140,99,4,14,21,5,6,37,39,157,15,82,6,119,150,11,50,4,21,2,53,1,7,20,73,34,3
18000,1794,0.0012625949457287788,-0.045289091765880585,0.239613875746727,0.0012625949457287788,0.0012625949457287788,0.05371090823411942,0.05371090823411942,0.33961387574672697,0.33961387574672697,0,0.15214747487678423,2377,4,5,0,72,58,14,50,93,4,5,62,2,261,88,16,2,10,8,44,27,46,5,8,141,286,4,14,21,6,6,37,40,160,18,82,6,130,151,11,50,6,23,2,54,104,7,22,73,36,3
19000,1894,-0.0007440983317792416,-0.04500960186123848,0.051887013018131256,-0.0007440983317792416,0.0007440983317792416,0.053990398138761525,0.053990398138761525,0.15188701301813126,0.15188701301813126,0,0.1469274417481589,2434,4,5,0,72,58,15,50,93,4,5,62,2,261,88,17,2,10,8,44,27,46,8,8,141,287,4,14,21,6,7,37,40,192,18,82,6,130,151,11,50,6,24,2,54,120,7,22,73,36,4
20000,1994,-0.0002269340620841831,0.013996919617056847,0.05151047185063362,-0.0002269340620841831,0.0002269340620841831,0.11299691961705685,0.11299691961705685,0.15151047185063363,0.15151047185063363,1,0.14902907043548203,2594,4,8,0,73,58,15,50,93,5,6,62,2,261,88,17,3,10,8,44,27,46,9,8,141,414,5,14,23,7,7,37,40,198,18,91,6,132,151,11,50,7,24,2,54,120,9,22,73,37,4
21000,2094,0.0006053389515727758,0.020245717838406563,0.08928144723176956,0.0006053389515727758,0.0006053389515727758,0.11924571783840657,0.11924571783840657,0.18928144723176957,0.18928144723176957,1,0.1720058042192209,3082,7,8,1,73,65,17,50,95,7,8,63,4,263,88,18,4,10,8,44,28,46,9,11,144,421,6,14,24,8,8,38,41,198,18,521,9,133,151,11,50,8,26,3,54,121,9,23,74,38,4
22000,2194,0.001350494334474206,0.010321075096726418,0.027739305049180984,0.001350494334474206,0.001350494334474206,0.10932107509672642,0.10932107509672642,0.127739305049181,0.127739305049181,1,0.19377068750339138,3571,7,8,2,124,65,19,50,97,9,9,64,4,265,88,20,4,10,8,44,29,51,9,11,144,421,8,14,24,10,10,39,41,198,19,917,10,133,152,12,50,10,26,3,56,123,10,25,75,39,5
23000,2294,-0.0005747429095208645,0.01949307508766651,0.0540199838578701,-0.0005747429095208645,0.0005747429095208645,0.11849307508766652,0.11849307508766652,0.1540199838578701,0.1540199838578701,1,0.2060088087248322,3929,7,9,4,285,66,19,50,98,9,9,66,4,266,89,23,4,12,26,45,30,52,9,13,146,423,10,16,25,11,10,41,44,272,20,929,12,133,153,13,51,14,27,3,56,124,10,25,75,84,6
