action,sample_count
0,230
1,25
2,21
3,304
4,82
5,33
6,66
7,700
8,25
9,27
10,89
11,23
12,276
13,259
14,425
15,489
16,28
17,944
18,55
19,741
20,69
21,369
22,24
23,165
24,533
25,39
26,32
27,39
28,861
29,1041
30,166
31,158
32,293
33,353
34,1261
35,30
36,229
37,166
38,28
39,68
40,37
41,55
42,17
43,532
44,216
45,103
46,47
47,473
48,101
49,27
