environment_step,learning_update,td_loss
70,1,0.02441094070672989
80,2,0.022742191329598427
90,3,0.010063163004815578
100,4,0.08306344598531723
110,5,0.08999109268188477
120,6,0.28870251774787903
130,7,0.2837539613246918
140,8,0.2085820436477661
150,9,0.2734392285346985
160,10,0.2812805771827698
170,11,0.17196059226989746
180,12,0.2671850323677063
190,13,0.11889678239822388
200,14,0.16120710968971252
210,15,0.17678987979888916
220,16,0.19959792494773865
230,17,0.25841736793518066
240,18,0.16530165076255798
250,19,0.3785446584224701
260,20,0.2902349531650543
270,21,0.3002169728279114
280,22,0.10791847854852676
290,23,0.4082578718662262
300,24,0.34169262647628784
310,25,0.12908759713172913
320,26,0.4441756308078766
330,27,0.43911948800086975
340,28,0.27266690135002136
350,29,0.2633720934391022
360,30,0.22077341377735138
370,31,0.11758801341056824
380,32,0.17007164657115936
390,33,0.2624020576477051
400,34,0.38958537578582764
410,35,0.537345826625824
420,36,0.4130338132381439
430,37,0.3710012137889862
440,38,0.18919949233531952
450,39,0.24630817770957947
460,40,0.4945802390575409
470,41,0.5371361970901489
480,42,0.21728083491325378
490,43,0.40190115571022034
500,44,0.26639169454574585
510,45,0.1759921908378601
520,46,0.24346642196178436
530,47,0.41263335943222046
540,48,0.33079880475997925
550,49,0.5511534214019775
560,50,0.17922574281692505
570,51,0.43768858909606934
580,52,0.2320917844772339
590,53,0.3716336190700531
600,54,0.34226760268211365
610,55,0.5596036911010742
620,56,0.3356303572654724
630,57,0.35245904326438904
640,58,0.26074811816215515
650,59,0.2720356285572052
660,60,0.4101771414279938
670,61,0.41614410281181335
680,62,0.5261585116386414
690,63,0.3277941346168518
700,64,0.3632827401161194
710,65,0.2487608939409256
720,66,0.24577641487121582
730,67,0.360505610704422
740,68,0.3845098912715912
750,69,0.27435070276260376
760,70,0.4223048985004425
770,71,0.5865184664726257
780,72,0.5944789052009583
790,73,0.4571668803691864
800,74,0.3960478901863098
810,75,0.2644454836845398
820,76,0.4370462894439697
830,77,0.38394254446029663
840,78,0.41037991642951965
850,79,0.38771745562553406
860,80,0.3095858097076416
870,81,0.2540607750415802
880,82,0.4169636070728302
890,83,0.4835518002510071
900,84,0.477122962474823
910,85,0.42874473333358765
920,86,0.49347299337387085
930,87,0.15803244709968567
940,88,0.7675031423568726
950,89,0.43497586250305176
960,90,0.5712772011756897
970,91,0.497467577457428
980,92,0.33177950978279114
990,93,0.35311150550842285
1000,94,0.5178560018539429
1010,95,0.4111916422843933
1020,96,0.5338075160980225
1030,97,0.2124357968568802
1040,98,0.26588940620422363
1050,99,0.2909069061279297
1060,100,0.21811175346374512
1070,101,0.49878066778182983
1080,102,0.5792149305343628
1090,103,0.3460037410259247
1100,104,0.45497506856918335
1110,105,0.35764119029045105
1120,106,0.20050834119319916
1130,107,0.4879552721977234
1140,108,0.27129700779914856
1150,109,0.5160759091377258
1160,110,0.36782389879226685
1170,111,0.4915233850479126
1180,112,0.4515625834465027
1190,113,0.37274301052093506
1200,114,0.4028916358947754
1210,115,0.2841531038284302
1220,116,0.5208436846733093
1230,117,0.3642078936100006
1240,118,0.3278105854988098
1250,119,0.4703315496444702
1260,120,0.2749825417995453
1270,121,0.30223116278648376
1280,122,0.43360474705696106
1290,123,0.30494576692581177
1300,124,0.4171116352081299
1310,125,0.364350289106369
1320,126,0.3589340150356293
1330,127,0.30912068486213684
1340,128,0.33784857392311096
