action,sample_count
0,44
1,105
2,700
3,540
4,81
5,39
6,1008
7,511
8,2145
9,310
10,1227
11,29
12,23
13,459
14,620
15,119
16,127
17,168
18,29
19,71
20,678
21,245
22,28
23,529
24,33
25,53
26,118
27,818
28,102
29,81
30,61
31,83
32,333
33,448
34,123
35,952
36,467
37,45
38,223
39,90
40,768
41,43
42,22
43,662
44,439
45,135
46,945
47,331
48,345
49,300
