algorithm,seed,C,epsilon,late_signed_error,late_absolute_error,late_error_sd,late_mean_loss,late_greedy_risky_fraction,final_training_risky_fraction,source_directory
double_dqn,0,320,0.1,0.05053574907982892,0.05053574907982892,0.026211959962153895,0.09107455549237402,0,0.0771451345354273,results/runs/noisy_max/double_dqn/20260911_212802_172631
double_dqn,0,320,0.2,0.07559996651451696,0.07559996651451696,0.015092988532976774,0.09757097743434266,0.09090909090909091,0.12605004166385153,results/runs/noisy_max/double_dqn/20260912_140208_957212
double_dqn,0,1000,0.1,0.08940024722291326,0.09116328343063254,0.04292238680576699,0.1137602164070269,0.5454545454545454,0.15679152303171923,results/runs/noisy_max/double_dqn/20260912_135055_166179
double_dqn,1,320,0.1,0.06080533719333736,0.06080533719333736,0.03759245684106619,0.11378342995981706,0.09090909090909091,0.10587662840333532,results/runs/noisy_max/double_dqn/20260911_212919_589769
double_dqn,1,320,0.2,0.03226715921813792,0.03226715921813792,0.018265154927498924,0.09868160425717692,0,0.13936742320663567,results/runs/noisy_max/double_dqn/20260912_140330_221472
double_dqn,1,1000,0.1,0.03353904828691686,0.038337314112535256,0.044834293980251315,0.1124243375428038,0,0.12185599856402432,results/runs/noisy_max/double_dqn/20260912_135215_358866
double_dqn,2,320,0.1,0.06827013784773987,0.06827013784773987,0.03331227173930424,0.11200240397315124,0.2727272727272727,0.11427807367459274,results/runs/noisy_max/double_dqn/20260911_213037_247642
double_dqn,2,320,0.2,0.07091848859868267,0.07091848859868267,0.02427276744423825,0.16363481870739832,0,0.15420129270544783,results/runs/noisy_max/double_dqn/20260912_140450_796705
double_dqn,2,1000,0.1,0.04934150643782183,0.04934150643782183,0.00604536185577424,0.07538433871619585,0,0.12059884802438423,results/runs/noisy_max/double_dqn/20260912_135334_739628
dqn,0,320,0.1,0.06447729962251404,0.06447729962251404,0.03720639753488523,0.17038864551575392,0.18181818181818182,0.2143290831815422,results/runs/noisy_max/dqn/20260911_212723_217864
dqn,0,320,0.2,0.08367603156512435,0.08367603156512435,0.03927565930811045,0.18346978877703626,0.18181818181818182,0.21465358079875618,results/runs/noisy_max/dqn/20260912_140129_519131
dqn,0,1000,0.1,0.08619863932241094,0.08619863932241094,0.011103800188876975,0.22695787437074072,0.09090909090909091,0.27414504867234085,results/runs/noisy_max/dqn/20260912_135015_815213
dqn,1,320,0.1,0.09946326114203442,0.09946326114203442,0.024821943335861726,0.10692800162844439,0.45454545454545453,0.2068840667165512,results/runs/noisy_max/dqn/20260911_212840_770706
dqn,1,320,0.2,0.09247457323562015,0.09247457323562015,0.031148260133567567,0.17034337866481963,0.36363636363636365,0.27077720734000915,results/runs/noisy_max/dqn/20260912_140249_530851
dqn,1,1000,0.1,0.14089405488696966,0.14089405488696966,0.03468592756737597,0.15031311251813723,0.9090909090909091,0.2842172852189547,results/runs/noisy_max/dqn/20260912_135134_115974
dqn,2,320,0.1,0.07719161706138403,0.07719161706138403,0.0190442921341442,0.2640048891071465,0.18181818181818182,0.2754776663860616,results/runs/noisy_max/dqn/20260911_212958_288294
dqn,2,320,0.2,0.0852904515625401,0.0852904515625401,0.006036017221940585,0.292276577970067,0,0.24109514235361282,results/runs/noisy_max/dqn/20260912_140410_417612
dqn,2,1000,0.1,0.05436414906382561,0.05436414906382561,0.004994703857521995,0.05725663786418371,0,0.28580980301393816,results/runs/noisy_max/dqn/20260912_135255_128799
