evaluation_seed,episode_return,episode_length
20000,-96.0,97
20001,-75.0,76
20002,-81.0,82
20003,-74.0,75
20004,-94.0,95
20005,-62.0,63
20006,-83.0,84
20007,-96.0,97
20008,-93.0,94
20009,-82.0,83
20010,-115.0,116
20011,-64.0,65
20012,-70.0,71
20013,-94.0,95
20014,-71.0,72
20015,-95.0,96
20016,-62.0,63
20017,-70.0,71
20018,-69.0,70
20019,-71.0,72
20020,-69.0,70
20021,-70.0,71
20022,-93.0,94
20023,-71.0,72
20024,-157.0,158
20025,-86.0,87
20026,-76.0,77
20027,-92.0,93
20028,-75.0,76
20029,-64.0,65
20030,-69.0,70
20031,-79.0,80
20032,-75.0,76
20033,-70.0,71
20034,-71.0,72
20035,-115.0,116
20036,-71.0,72
20037,-86.0,87
20038,-74.0,75
20039,-86.0,87
20040,-71.0,72
20041,-79.0,80
20042,-63.0,64
20043,-75.0,76
20044,-85.0,86
20045,-70.0,71
20046,-63.0,64
20047,-75.0,76
20048,-76.0,77
20049,-88.0,89
20050,-70.0,71
20051,-91.0,92
20052,-98.0,99
20053,-63.0,64
20054,-74.0,75
20055,-70.0,71
20056,-94.0,95
20057,-74.0,75
20058,-70.0,71
20059,-84.0,85
20060,-76.0,77
20061,-75.0,76
20062,-62.0,63
20063,-75.0,76
20064,-121.0,122
20065,-92.0,93
20066,-92.0,93
20067,-75.0,76
20068,-198.0,199
20069,-69.0,70
20070,-71.0,72
20071,-70.0,71
20072,-63.0,64
20073,-77.0,78
20074,-64.0,65
20075,-117.0,118
20076,-71.0,72
20077,-75.0,76
20078,-108.0,109
20079,-79.0,80
20080,-82.0,83
20081,-75.0,76
20082,-63.0,64
20083,-86.0,87
20084,-81.0,82
20085,-78.0,79
20086,-81.0,82
20087,-81.0,82
20088,-258.0,259
20089,-96.0,97
20090,-113.0,114
20091,-62.0,63
20092,-75.0,76
20093,-111.0,112
20094,-127.0,128
20095,-62.0,63
20096,-70.0,71
20097,-218.0,219
20098,-98.0,99
20099,-96.0,97
