environment_step,learning_update,safe_q,risky_q,maximum_noisy_q,safe_signed_error,safe_absolute_error,risky_signed_error,risky_absolute_error,noisy_signed_error,noisy_absolute_error,greedy_risky_choice,training_risky_fraction,noisy_state_visits,action_0_samples,action_1_samples,action_2_samples,action_3_samples,action_4_samples,action_5_samples,action_6_samples,action_7_samples,action_8_samples,action_9_samples
1000,94,-0.041930511593818665,0.18849390745162964,0.04393589869141579,-0.041930511593818665,0.041930511593818665,0.2874939074516296,0.2874939074516296,0.1439358986914158,0.1439358986914158,1,0.7761989342806395,437,37,8,11,14,123,79,86,52,7,20
2000,194,-0.014172479510307312,0.17059768736362457,0.03331631422042847,-0.014172479510307312,0.014172479510307312,0.26959768736362455,0.26959768736362455,0.13331631422042847,0.13331631422042847,1,0.837465564738292,912,106,64,21,21,382,112,96,61,20,28
3000,294,-0.029350310564041138,0.1772502064704895,-0.06040000915527344,-0.029350310564041138,0.029350310564041138,0.2762502064704895,0.2762502064704895,0.03959999084472657,0.03959999084472657,1,0.8552875695732839,1383,264,152,29,29,456,118,104,71,127,33
4000,394,0.0030021220445632935,0.01675114408135414,0.03441151604056358,0.0030021220445632935,0.0030021220445632935,0.11575114408135415,0.11575114408135415,0.1344115160405636,0.1344115160405636,1,0.7667844522968198,1736,321,161,49,39,466,126,109,79,345,41
5000,494,0.004563216120004654,0.005878702737390995,-0.017679471522569656,0.004563216120004654,0.004563216120004654,0.104878702737391,0.104878702737391,0.08232052847743035,0.08232052847743035,1,0.7479902132121635,2140,484,171,56,49,650,129,117,85,349,49
6000,594,0.008460991084575653,0.014029079116880894,-0.0702262669801712,0.008460991084575653,0.008460991084575653,0.1130290791168809,0.1130290791168809,0.029773733019828802,0.029773733019828802,1,0.6987542468856173,2468,489,174,58,55,870,136,125,90,417,54
7000,694,-0.004710335284471512,-0.05372713878750801,-0.010073378682136536,-0.004710335284471512,0.004710335284471512,0.045272861212491994,0.045272861212491994,0.08992662131786347,0.08992662131786347,0,0.6428068528514433,2739,541,178,60,62,1005,145,130,96,463,59
8000,794,-0.0037231892347335815,-0.06311003863811493,-0.025684192776679993,-0.0037231892347335815,0.0037231892347335815,0.035889961361885075,0.035889961361885075,0.07431580722332001,0.07431580722332001,0,0.548586914440573,2834,541,179,61,68,1007,146,131,99,542,60
9000,894,0.003635156899690628,-0.05122525244951248,-0.12640410661697388,0.003635156899690628,0.003635156899690628,0.04777474755048752,0.04777474755048752,-0.02640410661697387,0.02640410661697387,0,0.47734734077478663,2908,542,180,63,68,1043,147,137,102,564,62
10000,994,0.004534002393484116,-0.027584463357925415,-0.04806046560406685,0.004534002393484116,0.004534002393484116,0.07141553664207459,0.07141553664207459,0.05193953439593316,0.05193953439593316,0,0.429388221841052,3004,591,180,68,69,1045,150,140,103,588,70
