evaluation_seed,episode_return,episode_length
20000,-82.0,83
20001,-79.0,80
20002,-76.0,77
20003,-83.0,84
20004,-85.0,86
20005,-83.0,84
20006,-75.0,76
20007,-72.0,73
20008,-69.0,70
20009,-79.0,80
20010,-76.0,77
20011,-85.0,86
20012,-97.0,98
20013,-78.0,79
20014,-92.0,93
20015,-85.0,86
20016,-71.0,72
20017,-86.0,87
20018,-88.0,89
20019,-94.0,95
20020,-87.0,88
20021,-104.0,105
20022,-83.0,84
20023,-94.0,95
20024,-92.0,93
20025,-70.0,71
20026,-89.0,90
20027,-77.0,78
20028,-83.0,84
20029,-75.0,76
20030,-92.0,93
20031,-62.0,63
20032,-74.0,75
20033,-74.0,75
20034,-78.0,79
20035,-106.0,107
20036,-91.0,92
20037,-71.0,72
20038,-75.0,76
20039,-62.0,63
20040,-70.0,71
20041,-62.0,63
20042,-75.0,76
20043,-84.0,85
20044,-62.0,63
20045,-76.0,77
20046,-96.0,97
20047,-74.0,75
20048,-157.0,158
20049,-89.0,90
20050,-97.0,98
20051,-93.0,94
20052,-62.0,63
20053,-95.0,96
20054,-71.0,72
20055,-75.0,76
20056,-78.0,79
20057,-85.0,86
20058,-110.0,111
20059,-96.0,97
20060,-85.0,86
20061,-85.0,86
20062,-75.0,76
20063,-63.0,64
20064,-95.0,96
20065,-85.0,86
20066,-69.0,70
20067,-75.0,76
20068,-69.0,70
20069,-92.0,93
20070,-62.0,63
20071,-61.0,62
20072,-88.0,89
20073,-85.0,86
20074,-93.0,94
20075,-92.0,93
20076,-75.0,76
20077,-83.0,84
20078,-103.0,104
20079,-62.0,63
20080,-70.0,71
20081,-85.0,86
20082,-61.0,62
20083,-75.0,76
20084,-83.0,84
20085,-102.0,103
20086,-76.0,77
20087,-76.0,77
20088,-79.0,80
20089,-86.0,87
20090,-75.0,76
20091,-70.0,71
20092,-85.0,86
20093,-97.0,98
20094,-74.0,75
20095,-120.0,121
20096,-84.0,85
20097,-77.0,78
20098,-62.0,63
20099,-84.0,85
