evaluation_seed,episode_return,episode_length
20000,-113.0,114
20001,-105.0,106
20002,-81.0,82
20003,-83.0,84
20004,-103.0,104
20005,-110.0,111
20006,-62.0,63
20007,-101.0,102
20008,-84.0,85
20009,-105.0,106
20010,-81.0,82
20011,-63.0,64
20012,-62.0,63
20013,-179.0,180
20014,-86.0,87
20015,-99.0,100
20016,-81.0,82
20017,-93.0,94
20018,-112.0,113
20019,-63.0,64
20020,-117.0,118
20021,-62.0,63
20022,-95.0,96
20023,-100.0,101
20024,-71.0,72
20025,-83.0,84
20026,-72.0,73
20027,-131.0,132
20028,-103.0,104
20029,-62.0,63
20030,-92.0,93
20031,-83.0,84
20032,-109.0,110
20033,-123.0,124
20034,-63.0,64
20035,-95.0,96
20036,-96.0,97
20037,-144.0,145
20038,-89.0,90
20039,-83.0,84
20040,-78.0,79
20041,-110.0,111
20042,-75.0,76
20043,-112.0,113
20044,-81.0,82
20045,-86.0,87
20046,-93.0,94
20047,-89.0,90
20048,-94.0,95
20049,-62.0,63
20050,-101.0,102
20051,-62.0,63
20052,-117.0,118
20053,-106.0,107
20054,-86.0,87
20055,-62.0,63
20056,-87.0,88
20057,-74.0,75
20058,-84.0,85
20059,-86.0,87
20060,-75.0,76
20061,-104.0,105
20062,-116.0,117
20063,-83.0,84
20064,-78.0,79
20065,-85.0,86
20066,-83.0,84
20067,-84.0,85
20068,-62.0,63
20069,-94.0,95
20070,-93.0,94
20071,-106.0,107
20072,-84.0,85
20073,-63.0,64
20074,-63.0,64
20075,-86.0,87
20076,-86.0,87
20077,-83.0,84
20078,-98.0,99
20079,-92.0,93
20080,-111.0,112
20081,-86.0,87
20082,-84.0,85
20083,-93.0,94
20084,-94.0,95
20085,-87.0,88
20086,-135.0,136
20087,-107.0,108
20088,-72.0,73
20089,-84.0,85
20090,-111.0,112
20091,-77.0,78
20092,-75.0,76
20093,-62.0,63
20094,-63.0,64
20095,-78.0,79
20096,-74.0,75
20097,-62.0,63
20098,-88.0,89
20099,-86.0,87
