environment_step,learning_update,safe_q,risky_q,maximum_noisy_q,safe_signed_error,safe_absolute_error,risky_signed_error,risky_absolute_error,noisy_signed_error,noisy_absolute_error,greedy_risky_choice,training_risky_fraction,noisy_state_visits,action_0_samples,action_1_samples
1000,94,-0.03130098432302475,0.14314773678779602,0.05907910317182541,-0.03130098432302475,0.03130098432302475,0.24214773678779603,0.24214773678779603,0.15907910317182541,0.15907910317182541,1,0.3275862068965517,247,205,41
2000,194,-0.016349151730537415,0.11393895745277405,-0.15592938661575317,-0.016349151730537415,0.016349151730537415,0.21293895745277405,0.21293895745277405,-0.05592938661575317,0.05592938661575317,1,0.48478099480326653,653,567,86
3000,294,0.03316761180758476,0.07950760424137115,-0.09674767404794693,0.03316761180758476,0.03316761180758476,0.17850760424137116,0.17850760424137116,0.0032523259520530756,0.0032523259520530756,1,0.6085790884718498,1135,1033,102
4000,394,0.005503881722688675,-0.01956026256084442,-0.12923751771450043,0.005503881722688675,0.005503881722688675,0.07943973743915558,0.07943973743915558,-0.02923751771450042,0.02923751771450042,0,0.5521924718665114,1423,1312,111
5000,494,0.02118774503469467,-0.01569700613617897,-0.10033605992794037,0.02118774503469467,0.02118774503469467,0.08330299386382103,0.08330299386382103,-0.0003360599279403631,0.0003360599279403631,0,0.4484356894553882,1548,1413,135
6000,594,0.014581669121980667,-0.20156095921993256,-0.12302632629871368,0.014581669121980667,0.014581669121980667,-0.10256095921993255,0.10256095921993255,-0.02302632629871368,0.02302632629871368,0,0.364877161055505,1604,1429,175
7000,694,0.001371387392282486,-0.07904992252588272,-0.033513281494379044,0.001371387392282486,0.001371387392282486,0.019950077474117284,0.019950077474117284,0.06648671850562096,0.06648671850562096,0,0.31086142322097376,1660,1436,224
8000,794,-0.00643157958984375,-0.10184712707996368,-0.12468235194683075,-0.00643157958984375,0.00643157958984375,-0.0028471270799636794,0.0028471270799636794,-0.024682351946830744,0.024682351946830744,0,0.2724669953873071,1713,1440,273
9000,894,-0.02112049236893654,-0.10796105116605759,-0.1674995720386505,-0.02112049236893654,0.02112049236893654,-0.008961051166057582,0.008961051166057582,-0.06749957203865051,0.06749957203865051,0,0.24464112847462316,1769,1483,286
10000,994,-0.013713523745536804,-0.09024070203304291,-0.11632272601127625,-0.013713523745536804,0.013713523745536804,0.008759297966957097,0.008759297966957097,-0.01632272601127624,0.01632272601127624,0,0.2217470983506414,1815,1526,289
11000,1094,-0.003649529069662094,-0.08592911064624786,-0.07588405907154083,-0.003649529069662094,0.003649529069662094,0.013070889353752141,0.013070889353752141,0.024115940928459173,0.024115940928459173,0,0.203632782580151,1861,1531,330
12000,1194,-0.006709054112434387,-0.08512123674154282,-0.06681842356920242,-0.006709054112434387,0.006709054112434387,0.013878763258457189,0.013878763258457189,0.03318157643079758,0.03318157643079758,0,0.18882504458093918,1906,1534,372
13000,1294,-0.0032568909227848053,-0.09030288457870483,-0.08317701518535614,-0.0032568909227848053,0.0032568909227848053,0.00869711542129517,0.00869711542129517,0.016822984814643865,0.016822984814643865,0,0.17753623188405798,1960,1542,418
