environment_step,learning_update,td_loss
70,1,0.8098545670509338
80,2,0.3198179304599762
90,3,0.6121470928192139
100,4,0.4488551914691925
110,5,0.541009783744812
120,6,0.5405671000480652
130,7,0.4626854360103607
140,8,0.46767720580101013
150,9,0.2522903084754944
160,10,0.38656967878341675
170,11,0.49657732248306274
180,12,0.5795950293540955
190,13,0.40030360221862793
200,14,0.34581512212753296
210,15,0.4568670392036438
220,16,0.8030156493186951
230,17,0.36783528327941895
240,18,0.3499559164047241
250,19,0.6624352335929871
260,20,0.34625086188316345
270,21,0.34911832213401794
280,22,0.24324993789196014
290,23,0.33201393485069275
300,24,0.599984884262085
310,25,0.3169206976890564
320,26,0.46084848046302795
330,27,0.7153785228729248
340,28,0.33041876554489136
350,29,0.5032055974006653
360,30,0.6192034482955933
370,31,0.4785963296890259
380,32,0.33504998683929443
390,33,0.5548866391181946
400,34,0.17578068375587463
410,35,0.416409969329834
420,36,0.446341872215271
430,37,0.36845624446868896
440,38,0.4385378062725067
450,39,0.8060499429702759
460,40,0.4212518334388733
470,41,0.42190125584602356
480,42,0.41635584831237793
490,43,0.5032151937484741
500,44,0.30709782242774963
510,45,0.25808146595954895
520,46,0.561151921749115
530,47,0.385631799697876
540,48,0.47472429275512695
550,49,0.34658095240592957
560,50,0.3672257661819458
570,51,0.4028944671154022
580,52,0.42586514353752136
590,53,0.5477831363677979
600,54,0.34785956144332886
610,55,0.5477091670036316
620,56,0.3503093719482422
630,57,0.47310683131217957
640,58,0.3964184820652008
650,59,0.32673823833465576
660,60,0.35210710763931274
670,61,0.5248618125915527
680,62,0.4743165373802185
690,63,0.7563464641571045
700,64,0.29809442162513733
710,65,0.345151424407959
720,66,0.29258790612220764
730,67,0.5192821025848389
740,68,0.5073772668838501
750,69,0.3438616991043091
760,70,0.33734482526779175
770,71,0.4417433440685272
780,72,0.28598615527153015
790,73,0.38136589527130127
800,74,0.40887781977653503
810,75,0.30857083201408386
820,76,0.5589990615844727
830,77,0.2133321315050125
840,78,0.36137908697128296
850,79,0.2851211428642273
860,80,0.2695578932762146
870,81,0.21659883856773376
880,82,0.15760990977287292
890,83,0.42907801270484924
900,84,0.21075338125228882
910,85,0.33979159593582153
920,86,0.18807774782180786
930,87,0.442627489566803
940,88,0.33518922328948975
950,89,0.29235389828681946
960,90,0.31394609808921814
970,91,0.2285425364971161
980,92,0.387250691652298
990,93,0.14892680943012238
1000,94,0.2977760136127472
1010,95,0.2632238566875458
1020,96,0.2605281174182892
1030,97,0.2797522246837616
1040,98,0.20458896458148956
1050,99,0.32725104689598083
1060,100,0.2775130867958069
1070,101,0.11685971915721893
1080,102,0.12525999546051025
1090,103,0.19114306569099426
1100,104,0.27278271317481995
1110,105,0.52667635679245
1120,106,0.20332004129886627
1130,107,0.16211378574371338
1140,108,0.27736908197402954
1150,109,0.3978223204612732
1160,110,0.06516271084547043
1170,111,0.21806371212005615
1180,112,0.2450203150510788
1190,113,0.24137231707572937
1200,114,0.21795445680618286
1210,115,0.325727641582489
1220,116,0.13033907115459442
1230,117,0.2662343680858612
1240,118,0.3142474889755249
1250,119,0.14159685373306274
1260,120,0.1781182438135147
1270,121,0.3147200644016266
1280,122,0.27641919255256653
1290,123,0.3025728166103363
1300,124,0.34622982144355774
1310,125,0.21821124851703644
1320,126,0.20865556597709656
1330,127,0.2377435863018036
1340,128,0.20311608910560608
1350,129,0.30291104316711426
1360,130,0.415316104888916
1370,131,0.2824040949344635
1380,132,0.3682202100753784
1390,133,0.3965702950954437
1400,134,0.16917961835861206
1410,135,0.28590521216392517
1420,136,0.2925470769405365
1430,137,0.2857125997543335
1440,138,0.2579581141471863
1450,139,0.3720742166042328
1460,140,0.29063212871551514
1470,141,0.22534382343292236
1480,142,0.25875216722488403
1490,143,0.19773760437965393
1500,144,0.228513702750206
1510,145,0.35019198060035706
1520,146,0.2563744783401489
1530,147,0.1768580675125122
1540,148,0.32672691345214844
1550,149,0.19687525928020477
1560,150,0.5007206201553345
1570,151,0.28544729948043823
1580,152,0.06381881237030029
1590,153,0.2052188217639923
1600,154,0.31159716844558716
1610,155,0.3965679109096527
1620,156,0.6617285013198853
1630,157,0.2706122100353241
1640,158,0.21442463994026184
1650,159,0.19687071442604065
1660,160,0.33967089653015137
1670,161,0.2435763031244278
1680,162,0.34540605545043945
1690,163,0.3605336844921112
1700,164,0.22036561369895935
1710,165,0.23762400448322296
1720,166,0.2555380165576935
1730,167,0.46248874068260193
1740,168,0.34210410714149475
1750,169,0.27656400203704834
1760,170,0.5868154764175415
1770,171,0.7535009384155273
1780,172,0.3965644836425781
1790,173,0.6272690296173096
1800,174,0.23863305151462555
1810,175,0.23165717720985413
1820,176,0.438728004693985
1830,177,0.47366073727607727
1840,178,0.4446571469306946
1850,179,0.4367491900920868
1860,180,0.36292991042137146
1870,181,0.23872429132461548
1880,182,0.27005869150161743
1890,183,0.20160596072673798
1900,184,0.22985824942588806
1910,185,0.4436206817626953
1920,186,0.4201468527317047
1930,187,0.40695613622665405
1940,188,0.4098437428474426
1950,189,0.2626345753669739
1960,190,0.5458980202674866
1970,191,0.27962446212768555
1980,192,0.3520621061325073
1990,193,0.47786617279052734
2000,194,0.3715759813785553
2010,195,0.2119217813014984
2020,196,0.3071022927761078
2030,197,0.3029986023902893
2040,198,0.3747909367084503
2050,199,0.13685177266597748
2060,200,0.1390213668346405
2070,201,0.32369357347488403
2080,202,0.17751933634281158
2090,203,0.3653125464916229
2100,204,0.3804079592227936
2110,205,0.3232917785644531
2120,206,0.19793419539928436
2130,207,0.22223368287086487
2140,208,0.29345250129699707
2150,209,0.3374423086643219
2160,210,0.3619474768638611
2170,211,0.16925738751888275
2180,212,0.191693976521492
2190,213,0.24997204542160034
2200,214,0.2714267075061798
2210,215,0.2586451470851898
2220,216,0.519774854183197
2230,217,0.3091716170310974
2240,218,0.2150113731622696
2250,219,0.43259483575820923
2260,220,0.0859839916229248
2270,221,0.3174635171890259
2280,222,0.349761962890625
2290,223,0.3647698760032654
2300,224,0.20217378437519073
2310,225,0.15900683403015137
2320,226,0.16206641495227814
2330,227,0.2199411690235138
2340,228,0.3403884768486023
2350,229,0.4101184606552124
2360,230,0.1880042552947998
2370,231,0.3567503094673157
2380,232,0.14739353954792023
2390,233,0.22938889265060425
2400,234,0.46121853590011597
2410,235,0.2811035215854645
2420,236,0.49543505907058716
2430,237,0.20624025166034698
2440,238,0.22656100988388062
2450,239,0.3339744806289673
2460,240,0.4368436336517334
2470,241,0.4078753888607025
2480,242,0.18885314464569092
2490,243,0.31823498010635376
2500,244,0.36296701431274414
2510,245,0.33405670523643494
2520,246,0.3280014395713806
2530,247,0.22147171199321747
2540,248,0.3678819239139557
2550,249,0.37511396408081055
2560,250,0.21569740772247314
2570,251,0.22719597816467285
2580,252,0.24874453246593475
2590,253,0.3868730068206787
2600,254,0.21809376776218414
2610,255,0.2261744886636734
2620,256,0.26390209794044495
2630,257,0.4107458293437958
2640,258,0.19959859549999237
2650,259,0.3634888529777527
