environment_step,episode_id,evaluation_seed,episode_return,episode_length
0,0,10000,-500.0,500
0,1,10001,-500.0,500
0,2,10002,-500.0,500
0,3,10003,-500.0,500
0,4,10004,-500.0,500
0,5,10005,-500.0,500
0,6,10006,-500.0,500
0,7,10007,-500.0,500
0,8,10008,-500.0,500
0,9,10009,-500.0,500
0,10,10010,-500.0,500
0,11,10011,-500.0,500
0,12,10012,-500.0,500
0,13,10013,-500.0,500
0,14,10014,-500.0,500
0,15,10015,-500.0,500
0,16,10016,-500.0,500
0,17,10017,-500.0,500
0,18,10018,-500.0,500
0,19,10019,-500.0,500
5000,0,10000,-500.0,500
5000,1,10001,-340.0,341
5000,2,10002,-500.0,500
5000,3,10003,-330.0,331
5000,4,10004,-500.0,500
5000,5,10005,-500.0,500
5000,6,10006,-309.0,310
5000,7,10007,-500.0,500
5000,8,10008,-500.0,500
5000,9,10009,-500.0,500
5000,10,10010,-206.0,207
5000,11,10011,-500.0,500
5000,12,10012,-500.0,500
5000,13,10013,-489.0,490
5000,14,10014,-459.0,460
5000,15,10015,-500.0,500
5000,16,10016,-500.0,500
5000,17,10017,-500.0,500
5000,18,10018,-376.0,377
5000,19,10019,-500.0,500
10000,0,10000,-500.0,500
10000,1,10001,-500.0,500
10000,2,10002,-500.0,500
10000,3,10003,-500.0,500
10000,4,10004,-500.0,500
10000,5,10005,-223.0,224
10000,6,10006,-500.0,500
10000,7,10007,-214.0,215
10000,8,10008,-500.0,500
10000,9,10009,-430.0,431
10000,10,10010,-500.0,500
10000,11,10011,-500.0,500
10000,12,10012,-475.0,476
10000,13,10013,-500.0,500
10000,14,10014,-500.0,500
10000,15,10015,-500.0,500
10000,16,10016,-278.0,279
10000,17,10017,-500.0,500
10000,18,10018,-500.0,500
10000,19,10019,-229.0,230
15000,0,10000,-500.0,500
15000,1,10001,-500.0,500
15000,2,10002,-500.0,500
15000,3,10003,-500.0,500
15000,4,10004,-500.0,500
15000,5,10005,-500.0,500
15000,6,10006,-500.0,500
15000,7,10007,-500.0,500
15000,8,10008,-500.0,500
15000,9,10009,-500.0,500
15000,10,10010,-500.0,500
15000,11,10011,-500.0,500
15000,12,10012,-500.0,500
15000,13,10013,-500.0,500
15000,14,10014,-500.0,500
15000,15,10015,-500.0,500
15000,16,10016,-500.0,500
15000,17,10017,-500.0,500
15000,18,10018,-500.0,500
15000,19,10019,-500.0,500
20000,0,10000,-133.0,134
20000,1,10001,-129.0,130
20000,2,10002,-76.0,77
20000,3,10003,-90.0,91
20000,4,10004,-96.0,97
20000,5,10005,-96.0,97
20000,6,10006,-74.0,75
20000,7,10007,-85.0,86
20000,8,10008,-128.0,129
20000,9,10009,-109.0,110
20000,10,10010,-74.0,75
20000,11,10011,-99.0,100
20000,12,10012,-76.0,77
20000,13,10013,-81.0,82
20000,14,10014,-85.0,86
