environment_step,learning_update,td_loss
1000,1,0.8411819934844971
1010,2,0.6935718655586243
1020,3,0.6118437051773071
1030,4,0.4866759479045868
1040,5,0.43099701404571533
1050,6,0.34284597635269165
1060,7,0.2769848704338074
1070,8,0.30806952714920044
1080,9,0.2136622965335846
1090,10,0.14718717336654663
1100,11,0.16580595076084137
1110,12,0.13262835144996643
1120,13,0.11363402754068375
1130,14,0.13052906095981598
1140,15,0.1984967291355133
1150,16,0.13910266757011414
1160,17,0.11917363107204437
1170,18,0.08929415047168732
1180,19,0.07593774795532227
1190,20,0.06097821891307831
1200,21,0.10011106729507446
1210,22,0.1065116748213768
1220,23,0.06379658728837967
1230,24,0.1178821325302124
1240,25,0.11718373000621796
1250,26,0.07803930342197418
1260,27,0.06893308460712433
1270,28,0.05401499569416046
1280,29,0.027129704132676125
1290,30,0.02327352575957775
1300,31,0.041141655296087265
1310,32,0.021314337849617004
1320,33,0.02897670492529869
1330,34,0.027148574590682983
1340,35,0.017606167122721672
1350,36,0.019215445965528488
1360,37,0.03100917488336563
1370,38,0.023048007860779762
1380,39,0.020529936999082565
1390,40,0.02449752390384674
1400,41,0.02808310277760029
1410,42,0.016753414645791054
1420,43,0.020926499739289284
1430,44,0.017511287704110146
1440,45,0.01464620791375637
1450,46,0.015728943049907684
1460,47,0.011266246438026428
1470,48,0.01954236440360546
1480,49,0.015727246180176735
1490,50,0.011116492561995983
1500,51,0.015478466637432575
1510,52,0.011917360126972198
1520,53,0.015878645703196526
1530,54,0.014536780305206776
1540,55,0.008200681768357754
1550,56,0.009241433814167976
1560,57,0.009698844514787197
1570,58,0.00860994029790163
1580,59,0.007784574292600155
1590,60,0.005284565035253763
1600,61,0.009864529594779015
1610,62,0.010251158848404884
1620,63,0.01575765199959278
1630,64,0.013652930036187172
1640,65,0.01237509399652481
1650,66,0.011710641905665398
1660,67,0.009111544117331505
1670,68,0.007815838791429996
1680,69,0.015485385432839394
1690,70,0.01159106008708477
1700,71,0.007492109667509794
1710,72,0.012394755147397518
1720,73,0.015169108286499977
1730,74,0.022036945447325706
1740,75,0.020284710451960564
1750,76,0.017251862213015556
1760,77,0.017925184220075607
1770,78,0.01600075140595436
1780,79,0.008046001195907593
1790,80,0.008361216634511948
1800,81,0.00863819569349289
1810,82,0.01100197434425354
1820,83,0.018969101831316948
1830,84,0.019666919484734535
1840,85,0.02334916964173317
1850,86,0.021873626857995987
1860,87,0.02458338625729084
1870,88,0.023234782740473747
1880,89,0.01996569149196148
1890,90,0.01658695377409458
1900,91,0.013863887637853622
1910,92,0.008336758241057396
1920,93,0.007815768010914326
1930,94,0.0096100103110075
1940,95,0.016175685450434685
1950,96,0.02085450477898121
1960,97,0.025892384350299835
1970,98,0.02605462819337845
1980,99,0.03083081729710102
1990,100,0.03737723454833031
2000,101,0.01721102185547352
2010,102,1.0362532138824463
2020,103,0.965334415435791
2030,104,0.8483232259750366
2040,105,0.66925048828125
2050,106,0.46375036239624023
2060,107,0.2767523527145386
2070,108,0.1422341763973236
2080,109,0.04857533797621727
2090,110,0.08089195936918259
2100,111,0.09774688631296158
2110,112,0.15770120918750763
2120,113,0.2272382378578186
2130,114,0.3257233798503876
2140,115,0.2659463584423065
2150,116,0.2147899717092514
2160,117,0.11895349621772766
2170,118,0.0889805406332016
2180,119,0.05175605043768883
2190,120,0.03229221701622009
2200,121,0.034025777131319046
2210,122,0.05631905794143677
2220,123,0.09747165441513062
2230,124,0.10211167484521866
2240,125,0.09420875459909439
2250,126,0.10227783769369125
2260,127,0.08275079727172852
2270,128,0.07991468906402588
2280,129,0.045248474925756454
2290,130,0.021003834903240204
2300,131,0.0120999151840806
2310,132,0.006404755637049675
2320,133,0.01339186541736126
2330,134,0.012372968718409538
2340,135,0.025095069780945778
2350,136,0.03237346187233925
2360,137,0.02156907692551613
2370,138,0.03206993639469147
2380,139,0.029589328914880753
2390,140,0.02268035337328911
2400,141,0.017273306846618652
2410,142,0.011736760847270489
2420,143,0.011075831949710846
2430,144,0.0031489443499594927
2440,145,0.006177606992423534
2450,146,0.0068318042904138565
2460,147,0.011130317114293575
2470,148,0.012405500747263432
2480,149,0.016053706407546997
2490,150,0.010012085549533367
2500,151,0.008780351839959621
2510,152,0.008204860612750053
2520,153,0.005901770666241646
2530,154,0.005581069737672806
2540,155,0.0019292572978883982
2550,156,0.001988489180803299
2560,157,0.0015700316289439797
2570,158,0.002424505539238453
2580,159,0.005901035852730274
2590,160,0.004614567384123802
2600,161,0.006690508686006069
2610,162,0.004496843088418245
2620,163,0.005197495222091675
2630,164,0.0026289355009794235
2640,165,0.0035979049280285835
2650,166,0.002109997207298875
2660,167,0.002008817158639431
2670,168,0.0019955788739025593
2680,169,0.0021606958471238613
2690,170,0.0018265757244080305
2700,171,0.001695870771072805
2710,172,0.0019761042203754187
2720,173,0.004248054698109627
2730,174,0.0015253614401444793
2740,175,0.0017885866109281778
2750,176,0.001608730643056333
2760,177,0.0022297101095318794
2770,178,0.0018376861698925495
2780,179,0.002608491573482752
2790,180,0.002422379096969962
2800,181,0.0030754925683140755
2810,182,0.002217868110165
2820,183,0.0035835120361298323
2830,184,0.001861810451373458
2840,185,0.001517896307632327
2850,186,0.003702427726238966
2860,187,0.0019913630094379187
2870,188,0.0016029810067266226
2880,189,0.0015939753502607346
2890,190,0.0016361400485038757
2900,191,0.0023829364217817783
2910,192,0.0022069935221225023
2920,193,0.0017292657867074013
2930,194,0.0014791256980970502
2940,195,0.00171465624589473
2950,196,0.001473308657296002
2960,197,0.0013801753520965576
2970,198,0.001476691453717649
2980,199,0.002060727449133992
2990,200,0.001534189097583294
3000,201,0.002262603025883436
3010,202,0.9212649464607239
3020,203,0.8118936419487
3030,204,0.5850687026977539
3040,205,0.38958120346069336
3050,206,0.17182862758636475
3060,207,0.05552136152982712
3070,208,0.03874111920595169
3080,209,0.18285627663135529
3090,210,0.21746470034122467
3100,211,0.2794896364212036
3110,212,0.2765613794326782
3120,213,0.25900816917419434
3130,214,0.15673324465751648
3140,215,0.09128224849700928
3150,216,0.02893802523612976
3160,217,0.011710649356245995
3170,218,0.02405671402812004
3180,219,0.04651372507214546
3190,220,0.08468988537788391
3200,221,0.09165973961353302
3210,222,0.09861309081315994
3220,223,0.09957344830036163
3230,224,0.08514923602342606
3240,225,0.06783781945705414
3250,226,0.02009522169828415
3260,227,0.007382699754089117
3270,228,0.009241390973329544
3280,229,0.016490748152136803
3290,230,0.030281685292720795
3300,231,0.0417742095887661
3310,232,0.03987158089876175
3320,233,0.036403365433216095
3330,234,0.0320805124938488
3340,235,0.015688255429267883
3350,236,0.008639933541417122
3360,237,0.0050031449645757675
3370,238,0.007587381638586521
3380,239,0.009874319657683372
3390,240,0.014337013475596905
3400,241,0.018294503912329674
3410,242,0.015421736985445023
3420,243,0.014914621599018574
3430,244,0.008669356815516949
3440,245,0.007072071544826031
3450,246,0.005181219428777695
3460,247,0.004389135167002678
3470,248,0.003151785349473357
3480,249,0.0066729518584907055
3490,250,0.004431294277310371
3500,251,0.005221269559115171
3510,252,0.006195266265422106
3520,253,0.005347796715795994
3530,254,0.005259146448224783
3540,255,0.004790141247212887
3550,256,0.0029151844792068005
3560,257,0.0027939064893871546
3570,258,0.0019565625116229057
3580,259,0.002317658392712474
3590,260,0.0037501961924135685
3600,261,0.002345211571082473
3610,262,0.0021306793205440044
3620,263,0.0022088533733040094
3630,264,0.0023754786234349012
3640,265,0.0017907422734424472
3650,266,0.0018742687534540892
3660,267,0.0014172297669574618
3670,268,0.0015181814087554812
3680,269,0.0017524964641779661
3690,270,0.0015177404275164008
3700,271,0.0010470147244632244
3710,272,0.001584814046509564
3720,273,0.0032466696575284004
3730,274,0.0037960861809551716
3740,275,0.0018231605645269156
3750,276,0.0021698179189115763
3760,277,0.005340526346117258
3770,278,0.0030301741790026426
3780,279,0.005342782940715551
3790,280,0.002724692691117525
3800,281,0.0028571696020662785
3810,282,0.0010841113980859518
3820,283,0.001187409390695393
3830,284,0.0025933883152902126
3840,285,0.001746617490425706
3850,286,0.004103688523173332
3860,287,0.0020117301028221846
3870,288,0.0025440375320613384
3880,289,0.003690115176141262
3890,290,0.0027174444403499365
3900,291,0.002507118508219719
3910,292,0.0036268122494220734
3920,293,0.0014175793621689081
3930,294,0.0018278297502547503
3940,295,0.0019527622498571873
3950,296,0.0027213694993406534
3960,297,0.0025131055153906345
3970,298,0.0035022564698010683
3980,299,0.002710264176130295
3990,300,0.0021664404775947332
4000,301,0.0023632817901670933
4010,302,0.8898996114730835
4020,303,0.7630974650382996
4030,304,0.4702630043029785
4040,305,0.26011961698532104
4050,306,0.08029890805482864
4060,307,0.040452077984809875
4070,308,0.11412587016820908
4080,309,0.2347232699394226
4090,310,0.324515163898468
4100,311,0.25439056754112244
4110,312,0.2317999303340912
4120,313,0.19441105425357819
4130,314,0.07163925468921661
4140,315,0.029605407267808914
4150,316,0.04491685703396797
4160,317,0.06268660724163055
4170,318,0.12469632178544998
4180,319,0.12365392595529556
4190,320,0.1106131374835968
4200,321,0.1011807844042778
4210,322,0.0555899403989315
4220,323,0.041340481489896774
4230,324,0.017057282850146294
4240,325,0.025970440357923508
4250,326,0.03738512843847275
4260,327,0.03627476841211319
4270,328,0.051178596913814545
4280,329,0.061182331293821335
4290,330,0.029539139941334724
4300,331,0.027490057051181793
4310,332,0.013323402963578701
4320,333,0.005582221318036318
4330,334,0.0073256040923297405
4340,335,0.010221443139016628
4350,336,0.022623850032687187
4360,337,0.020904669538140297
4370,338,0.016152620315551758
4380,339,0.01740538328886032
4390,340,0.013484330847859383
4400,341,0.0071382368914783
4410,342,0.004208233207464218
4420,343,0.0070295678451657295
4430,344,0.005270893685519695
4440,345,0.007543673273175955
4450,346,0.012902037240564823
4460,347,0.01395751815289259
4470,348,0.012154276482760906
4480,349,0.005558771081268787
4490,350,0.004406794905662537
4500,351,0.23534999787807465
4510,352,0.004341337364166975
4520,353,0.004885373171418905
4530,354,0.01632494106888771
4540,355,0.005922676995396614
4550,356,0.008286124095320702
4560,357,0.0074650803580880165
4570,358,0.007235098630189896
4580,359,0.005391877144575119
4590,360,0.008418316952884197
4600,361,0.003739005420356989
4610,362,0.01068127155303955
4620,363,0.004248633049428463
4630,364,0.00510001927614212
4640,365,0.014281455427408218
4650,366,0.006581917870789766
4660,367,0.023638352751731873
4670,368,0.01454234216362238
4680,369,0.00883422326296568
4690,370,0.004278500564396381
4700,371,0.004213600419461727
4710,372,0.005340010393410921
4720,373,0.00515479501336813
4730,374,0.004050350282341242
4740,375,0.019922180101275444
4750,376,0.014014537446200848
4760,377,0.027676640078425407
4770,378,0.010115870274603367
4780,379,0.004499099217355251
4790,380,0.009486276656389236
4800,381,0.012324460782110691
4810,382,0.014366384595632553
4820,383,0.002952923532575369
4830,384,0.010471261106431484
4840,385,0.0025098395999521017
4850,386,0.014262867160141468
4860,387,0.022317994385957718
4870,388,0.00577999372035265
4880,389,0.012630842626094818
4890,390,0.006123958621174097
4900,391,0.01154000498354435
4910,392,0.010200880467891693
4920,393,0.024823611602187157
4930,394,0.02411956712603569
4940,395,0.017850974574685097
4950,396,0.010215641930699348
4960,397,0.020523719489574432
4970,398,0.014270400628447533
4980,399,0.014791594818234444
4990,400,0.0143732950091362
5000,401,0.004822624381631613
5010,402,0.9573112726211548
5020,403,0.707931637763977
5030,404,0.4334026873111725
5040,405,0.1717466562986374
5050,406,0.03593030944466591
5060,407,0.08249642699956894
5070,408,0.2374572902917862
5080,409,0.4713217616081238
5090,410,0.42708706855773926
5100,411,0.34166961908340454
5110,412,0.08284817636013031
5120,413,0.06373924016952515
5130,414,0.11784534901380539
5140,415,0.12220170348882675
5150,416,0.162736177444458
5160,417,0.2810334265232086
5170,418,0.16498848795890808
5180,419,0.06113754212856293
5190,420,0.19881241023540497
5200,421,0.0386427603662014
5210,422,0.08261671662330627
5220,423,0.06764334440231323
