episode,ending_environment_step,episode_return,episode_length
0,500,-500.0,500
1,1000,-500.0,500
2,1500,-500.0,500
3,2000,-500.0,500
4,2500,-500.0,500
5,3000,-500.0,500
6,3500,-500.0,500
7,4000,-500.0,500
8,4470,-464.0,465
9,4760,-289.0,290
10,5170,-409.0,410
11,5670,-500.0,500
12,5990,-318.0,319
13,6120,-126.0,127
14,6190,-78.0,79
15,6300,-102.0,103
16,6440,-142.0,143
17,6560,-119.0,120
18,6870,-310.0,311
19,7120,-250.0,251
20,7270,-147.0,148
21,7770,-500.0,500
22,8040,-269.0,270
23,8210,-165.0,166
24,8710,-500.0,500
25,9210,-500.0,500
26,9710,-500.0,500
27,10100,-395.0,396
28,10280,-180.0,181
29,10530,-244.0,245
30,10770,-244.0,245
31,10920,-141.0,142
32,11260,-341.0,342
33,11760,-500.0,500
34,11990,-232.0,233
35,12170,-176.0,177
36,12660,-492.0,493
37,13130,-466.0,467
38,13360,-235.0,236
39,13590,-229.0,230
40,13860,-262.0,263
41,13990,-132.0,133
42,14140,-147.0,148
43,14340,-204.0,205
44,14540,-192.0,193
45,14800,-265.0,266
46,14960,-161.0,162
47,15270,-308.0,309
48,15530,-255.0,256
49,15620,-93.0,94
50,15960,-337.0,338
51,16080,-115.0,116
52,16310,-234.0,235
53,16450,-137.0,138
54,16770,-316.0,317
55,16910,-147.0,148
56,17040,-123.0,124
57,17220,-182.0,183
58,17350,-131.0,132
59,17580,-223.0,224
60,17780,-200.0,201
61,17880,-103.0,104
62,17990,-109.0,110
63,18110,-118.0,119
64,18240,-125.0,126
65,18330,-95.0,96
66,18480,-145.0,146
67,18590,-107.0,108
68,18860,-268.0,269
69,18980,-124.0,125
70,19080,-96.0,97
71,19210,-127.0,128
72,19310,-107.0,108
73,19430,-111.0,112
74,19600,-177.0,178
75,19840,-230.0,231
76,20010,-171.0,172
77,20150,-145.0,146
78,20330,-172.0,173
79,20480,-155.0,156
80,20750,-265.0,266
81,20910,-165.0,166
82,21160,-244.0,245
83,21420,-260.0,261
84,21550,-133.0,134
85,21800,-246.0,247
86,22300,-500.0,500
87,22530,-230.0,231
88,22760,-228.0,229
89,22990,-230.0,231
90,23200,-209.0,210
91,23700,-500.0,500
92,23920,-216.0,217
93,24270,-352.0,353
94,24520,-251.0,252
95,24740,-219.0,220
96,24880,-132.0,133
97,25200,-324.0,325
98,25440,-237.0,238
99,25660,-217.0,218
100,25850,-191.0,192
101,26120,-267.0,268
102,26240,-118.0,119
103,26400,-158.0,159
104,26600,-202.0,203
105,26740,-144.0,145
106,26880,-136.0,137
107,27080,-193.0,194
108,27210,-135.0,136
109,27400,-191.0,192
110,27550,-142.0,143
111,27850,-305.0,306
112,28030,-180.0,181
113,28240,-204.0,205
114,28520,-282.0,283
115,28770,-250.0,251
116,29030,-257.0,258
117,29380,-349.0,350
118,29590,-209.0,210
119,29790,-203.0,204
120,29990,-190.0,191
121,30240,-250.0,251
122,30350,-112.0,113
123,30610,-258.0,259
124,30850,-242.0,243
125,31070,-216.0,217
126,31190,-122.0,123
127,31420,-230.0,231
128,31540,-113.0,114
129,31800,-267.0,268
130,31920,-111.0,112
131,32030,-109.0,110
132,32130,-104.0,105
133,32240,-108.0,109
134,32380,-138.0,139
135,32530,-148.0,149
136,32620,-94.0,95
137,32770,-146.0,147
138,32930,-163.0,164
139,33020,-84.0,85
140,33130,-113.0,114
141,33440,-301.0,302
142,33560,-120.0,121
143,33700,-147.0,148
144,33820,-114.0,115
145,34020,-195.0,196
146,34140,-119.0,120
147,34360,-220.0,221
148,34600,-241.0,242
149,34750,-154.0,155
150,34950,-198.0,199
151,35070,-114.0,115
152,35330,-263.0,264
153,35640,-306.0,307
154,35890,-254.0,255
155,36370,-480.0,481
156,36660,-287.0,288
157,36830,-169.0,170
158,37310,-480.0,481
159,37590,-278.0,279
160,37880,-285.0,286
161,38110,-233.0,234
162,38230,-115.0,116
163,38460,-235.0,236
164,38670,-205.0,206
165,38950,-283.0,284
166,39040,-89.0,90
167,39420,-370.0,371
168,39520,-99.0,100
169,39730,-218.0,219
170,40230,-500.0,500
171,40520,-282.0,283
172,40720,-200.0,201
173,40890,-166.0,167
174,41110,-228.0,229
175,41280,-160.0,161
176,41670,-390.0,391
177,41880,-208.0,209
178,42130,-253.0,254
179,42330,-196.0,197
180,42500,-168.0,169
181,42700,-204.0,205
182,42870,-165.0,166
183,43020,-155.0,156
184,43190,-167.0,168
185,43360,-170.0,171
186,43470,-112.0,113
187,43680,-206.0,207
188,43860,-179.0,180
189,44020,-156.0,157
190,44250,-233.0,234
191,44400,-147.0,148
192,44630,-228.0,229
193,44880,-247.0,248
194,45100,-217.0,218
195,45190,-92.0,93
196,45380,-195.0,196
197,45590,-202.0,203
198,45680,-88.0,89
199,45830,-154.0,155
200,45990,-156.0,157
201,46110,-120.0,121
202,46230,-116.0,117
203,46350,-126.0,127
204,46490,-136.0,137
205,46750,-254.0,255
206,46850,-99.0,100
207,46930,-88.0,89
208,47100,-160.0,161
209,47210,-113.0,114
210,47350,-138.0,139
211,47500,-152.0,153
212,47690,-187.0,188
213,47810,-118.0,119
214,47990,-182.0,183
215,48100,-103.0,104
216,48200,-107.0,108
217,48370,-170.0,171
218,48530,-155.0,156
219,48650,-114.0,115
220,48800,-151.0,152
221,48930,-134.0,135
222,49090,-153.0,154
223,49220,-128.0,129
224,49320,-101.0,102
225,49430,-111.0,112
226,49590,-164.0,165
227,49850,-256.0,257
228,49950,-95.0,96
229,50230,-281.0,282
230,50360,-126.0,127
231,50460,-106.0,107
232,50700,-240.0,241
233,50850,-144.0,145
234,51080,-227.0,228
235,51190,-108.0,109
236,51340,-151.0,152
237,51420,-80.0,81
238,51520,-101.0,102
239,51690,-163.0,164
240,51780,-90.0,91
241,51890,-112.0,113
242,52010,-119.0,120
243,52190,-182.0,183
244,52420,-222.0,223
245,52500,-80.0,81
246,52720,-221.0,222
247,52950,-227.0,228
248,53160,-208.0,209
249,53600,-440.0,441
250,53720,-127.0,128
251,53880,-154.0,155
252,54060,-184.0,185
253,54170,-109.0,110
254,54360,-187.0,188
255,54500,-133.0,134
