episode,ending_environment_step,episode_return,episode_length
293,4000,9.0,9
294,4010,9.0,9
295,4020,8.0,8
296,4020,9.0,9
297,4030,9.0,9
298,4040,10.0,10
299,4050,9.0,9
300,4060,10.0,10
301,4070,10.0,10
302,4080,10.0,10
303,4090,9.0,9
304,4100,10.0,10
305,4110,10.0,10
306,4120,9.0,9
307,4130,9.0,9
308,4140,9.0,9
309,4150,10.0,10
310,4200,50.0,50
311,4210,10.0,10
312,4220,9.0,9
313,4230,9.0,9
314,4240,10.0,10
315,4250,9.0,9
316,4250,9.0,9
317,4270,11.0,11
318,4280,10.0,10
319,4310,30.0,30
320,4320,11.0,11
321,4330,11.0,11
322,4340,11.0,11
323,4350,14.0,14
324,4380,24.0,24
325,4390,10.0,10
326,4400,10.0,10
327,4410,9.0,9
328,4410,8.0,8
329,4420,10.0,10
330,4430,8.0,8
331,4440,9.0,9
332,4450,10.0,10
333,4460,11.0,11
334,4470,10.0,10
335,4480,9.0,9
336,4490,9.0,9
337,4500,10.0,10
338,4510,10.0,10
339,4520,10.0,10
340,4530,10.0,10
341,4540,9.0,9
342,4550,9.0,9
343,4560,10.0,10
344,4570,10.0,10
345,4580,10.0,10
346,4590,10.0,10
347,4600,11.0,11
348,4610,10.0,10
349,4620,10.0,10
350,4630,11.0,11
351,4640,11.0,11
352,4650,11.0,11
353,4660,9.0,9
354,4670,11.0,11
355,4680,10.0,10
356,4690,10.0,10
357,4700,12.0,12
358,4710,10.0,10
359,4720,11.0,11
360,4730,9.0,9
361,4740,11.0,11
362,4760,11.0,11
363,4760,9.0,9
364,4780,11.0,11
365,4780,9.0,9
366,4790,9.0,9
367,4800,10.0,10
368,4810,9.0,9
369,4820,9.0,9
370,4830,10.0,10
371,4840,11.0,11
372,4850,8.0,8
373,4860,9.0,9
374,4870,9.0,9
375,4880,9.0,9
376,4890,11.0,11
377,4900,9.0,9
378,4910,11.0,11
379,4920,11.0,11
380,4980,60.0,60
381,5000,24.0,24
382,5010,9.0,9
383,5020,8.0,8
384,5030,10.0,10
385,5040,9.0,9
386,5050,9.0,9
387,5060,8.0,8
388,5070,9.0,9
389,5080,10.0,10
390,5090,10.0,10
391,5090,8.0,8
392,5100,9.0,9
393,5110,9.0,9
394,5130,17.0,17
395,5140,13.0,13
396,5160,17.0,17
397,5190,30.0,30
398,5200,11.0,11
399,5210,10.0,10
400,5220,10.0,10
401,5230,10.0,10
402,5240,9.0,9
403,5250,10.0,10
404,5260,10.0,10
405,5270,10.0,10
406,5280,10.0,10
407,5310,27.0,27
408,5340,32.0,32
409,5360,18.0,18
410,5370,10.0,10
411,5370,9.0,9
412,5380,9.0,9
413,5390,11.0,11
414,5400,9.0,9
415,5410,11.0,11
416,5420,10.0,10
417,5430,10.0,10
418,5570,136.0,136
419,5590,15.0,15
420,5600,13.0,13
421,5610,12.0,12
422,5620,12.0,12
423,5630,11.0,11
424,5640,11.0,11
425,5650,9.0,9
426,5660,9.0,9
427,5670,11.0,11
428,5680,9.0,9
429,5690,11.0,11
430,5710,12.0,12
431,5720,12.0,12
432,5740,20.0,20
433,5860,121.0,121
434,5870,13.0,13
435,5880,10.0,10
436,5890,11.0,11
437,5900,10.0,10
438,5910,10.0,10
439,5920,11.0,11
440,5930,11.0,11
441,5950,17.0,17
442,5970,20.0,20
443,5990,21.0,21
444,6020,25.0,25
445,6040,19.0,19
446,6050,16.0,16
447,6070,21.0,21
448,6170,101.0,101
449,6310,133.0,133
450,6370,64.0,64
451,6430,54.0,54
452,6440,19.0,19
453,6470,27.0,27
454,6590,121.0,121
455,6610,19.0,19
456,6630,21.0,21
457,6650,21.0,21
458,6690,33.0,33
459,6760,69.0,69
460,6780,25.0,25
461,6890,107.0,107
462,6910,18.0,18
463,6920,14.0,14
464,6940,20.0,20
465,6960,23.0,23
466,7020,59.0,59
467,7120,98.0,98
468,7220,101.0,101
469,7260,42.0,42
470,7280,19.0,19
471,7300,20.0,20
472,7320,18.0,18
473,7340,21.0,21
474,7370,26.0,26
475,7390,21.0,21
476,7430,44.0,44
477,7550,119.0,119
478,7650,95.0,95
479,7790,141.0,141
480,7850,68.0,68
481,8010,155.0,155
482,8220,209.0,209
483,8320,105.0,105
484,8470,145.0,145
485,8580,115.0,115
486,8870,291.0,291
487,9050,175.0,175
488,9380,327.0,327
489,9830,452.0,452
490,9920,92.0,92
491,10050,132.0,132
492,10210,159.0,159
493,10410,199.0,199
494,10620,210.0,210
495,10920,301.0,301
496,11150,228.0,228
497,11350,201.0,201
498,11550,202.0,202
499,11790,233.0,233
500,11970,180.0,180
501,12200,230.0,230
502,12370,173.0,173
503,12540,170.0,170
504,12770,233.0,233
505,12960,190.0,190
506,13210,249.0,249
507,13400,193.0,193
508,13600,199.0,199
509,13820,221.0,221
510,14040,218.0,218
511,14280,242.0,242
512,14480,197.0,197
513,14670,188.0,188
514,14890,223.0,223
515,15170,279.0,279
516,15360,185.0,185
517,15570,217.0,217
518,15740,168.0,168
519,15990,253.0,253
520,16220,224.0,224
521,16500,278.0,278
522,16730,232.0,232
523,16970,241.0,241
524,17160,187.0,187
525,17530,374.0,374
526,17880,346.0,346
527,18130,252.0,252
528,18340,213.0,213
529,18560,224.0,224
530,18780,217.0,217
531,19000,216.0,216
532,19180,184.0,184
533,19440,255.0,255
534,19660,225.0,225
535,19900,238.0,238
536,20100,203.0,203
537,20380,279.0,279
538,20670,288.0,288
539,20880,207.0,207
540,21100,228.0,228
541,21400,293.0,293
542,21610,209.0,209
543,21840,236.0,236
544,22070,231.0,231
545,22430,354.0,354
546,22730,300.0,300
547,22940,213.0,213
548,23220,281.0,281
549,23430,204.0,204
550,23650,225.0,225
551,23870,222.0,222
552,24140,270.0,270
553,24510,369.0,369
554,24750,236.0,236
555,24950,199.0,199
556,25220,276.0,276
557,25450,223.0,223
558,25740,290.0,290
559,25960,227.0,227
560,26220,261.0,261
561,26520,297.0,297
562,26810,289.0,289
563,27280,474.0,474
564,27580,292.0,292
565,27900,327.0,327
566,28380,475.0,475
567,28690,315.0,315
568,28970,273.0,273
569,29300,336.0,336
570,29590,292.0,292
571,29940,342.0,342
572,30350,410.0,410
573,30660,319.0,319
574,30970,305.0,305
575,31260,286.0,286
576,31610,357.0,357
577,31890,275.0,275
578,32190,300.0,300
579,32520,328.0,328
580,32750,239.0,239
581,33030,278.0,278
582,33410,377.0,377
583,33870,457.0,457
584,34260,393.0,393
585,34550,286.0,286
586,34880,338.0,338
587,35110,231.0,231
588,35400,284.0,284
589,35740,343.0,343
590,36040,300.0,300
591,36330,287.0,287
592,36610,282.0,282
593,36850,240.0,240
594,37180,332.0,332
595,37450,266.0,266
596,37950,500.0,500
597,38450,500.0,500
598,38730,281.0,281
599,38960,233.0,233
600,39320,356.0,356
601,39610,296.0,296
602,39900,283.0,283
603,40170,270.0,270
604,40400,228.0,228
605,40620,229.0,229
606,40880,254.0,254
607,41230,352.0,352
608,41520,290.0,290
609,41780,264.0,264
610,42050,265.0,265
611,42260,207.0,207
612,42660,400.0,400
613,42990,333.0,333
614,43240,254.0,254
615,43650,410.0,410
616,44060,406.0,406
617,44410,346.0,346
618,44700,290.0,290
619,44920,228.0,228
620,45160,241.0,241
621,45440,279.0,279
622,45850,403.0,403
623,46230,383.0,383
624,46520,287.0,287
625,46890,378.0,378
626,47310,418.0,418
627,47580,265.0,265
628,47820,238.0,238
629,48090,274.0,274
630,48310,219.0,219
631,48590,283.0,283
632,48990,394.0,394
633,49380,392.0,392
634,49650,270.0,270
635,49940,291.0,291
