environment_step,learning_update,td_loss
1000,1,1.016459584236145
1010,2,0.9149409532546997
1020,3,0.8321211934089661
1030,4,0.7518519759178162
1040,5,0.6768469214439392
1050,6,0.5954198837280273
1060,7,0.5254443287849426
1070,8,0.43033120036125183
1080,9,0.38844069838523865
1090,10,0.358153373003006
1100,11,0.297329843044281
1110,12,0.2383711040019989
1120,13,0.1777091771364212
1130,14,0.15494713187217712
1140,15,0.13668273389339447
1150,16,0.09730586409568787
1160,17,0.10509657859802246
1170,18,0.08205972611904144
1180,19,0.08926346898078918
1190,20,0.09365847706794739
1200,21,0.05975699424743652
1210,22,0.05669274553656578
1220,23,0.08176077157258987
1230,24,0.08266942948102951
1240,25,0.0676972046494484
1250,26,0.11588726192712784
1260,27,0.09296940267086029
1270,28,0.09438923746347427
1280,29,0.07703956961631775
1290,30,0.07865460962057114
1300,31,0.04092789441347122
1310,32,0.055997103452682495
1320,33,0.030697051435709
1330,34,0.05498636141419411
1340,35,0.05924796685576439
1350,36,0.023248696699738503
1360,37,0.02372901141643524
1370,38,0.020149478688836098
1380,39,0.0197781752794981
1390,40,0.02308032661676407
1400,41,0.022511523216962814
1410,42,0.019326090812683105
1420,43,0.0197894349694252
1430,44,0.017163541167974472
1440,45,0.017546916380524635
1450,46,0.019156895577907562
1460,47,0.015619984827935696
1470,48,0.014433490112423897
1480,49,0.00944405235350132
1490,50,0.011359648779034615
1500,51,0.010350564494729042
1510,52,0.01116056740283966
1520,53,0.010230494663119316
1530,54,0.009803250432014465
1540,55,0.009194133803248405
1550,56,0.006420922465622425
1560,57,0.006934434175491333
1570,58,0.004158599767833948
1580,59,0.0029085094574838877
1590,60,0.005228676833212376
1600,61,0.0019502876093611121
1610,62,0.0015033907257020473
1620,63,0.0024005365557968616
1630,64,0.0011343149235472083
1640,65,0.0019238477107137442
1650,66,0.0008920105174183846
1660,67,0.001765958033502102
1670,68,0.0010225757723674178
1680,69,0.0008415642660111189
1690,70,0.0011980662820860744
1700,71,0.001443119253963232
1710,72,0.0006720452220179141
1720,73,0.0013440885813906789
1730,74,0.003052962012588978
1740,75,0.0014309071702882648
1750,76,0.0006745725986547768
1760,77,0.0011742040514945984
1770,78,0.000812091922853142
1780,79,0.0006046161870472133
1790,80,0.0019219163805246353
1800,81,0.0005731479614041746
1810,82,0.0007406910299323499
1820,83,0.0006415790412575006
1830,84,0.000578460399992764
1840,85,0.0004811237449757755
1850,86,0.0006523609044961631
1860,87,0.0006194214220158756
1870,88,0.0006371143972501159
1880,89,0.000420459226006642
1890,90,0.0003540366014931351
1900,91,0.00038663690793327987
1910,92,0.0006604543887078762
1920,93,0.0006310595199465752
1930,94,0.00037394912214949727
1940,95,0.0011427527060732245
1950,96,0.000497388478834182
1960,97,0.0004066755063831806
1970,98,0.00039119075518101454
1980,99,0.0002817097119987011
1990,100,0.0010220443364232779
2000,101,0.000334866635967046
2010,102,0.9665635824203491
2020,103,0.8586923480033875
2030,104,0.7243861556053162
2040,105,0.6004065275192261
2050,106,0.4503127634525299
2060,107,0.3412439227104187
2070,108,0.19644978642463684
2080,109,0.13994114100933075
2090,110,0.13068214058876038
2100,111,0.05672156810760498
2110,112,0.17250901460647583
2120,113,0.15493249893188477
2130,114,0.1679576337337494
2140,115,0.20015959441661835
2150,116,0.2137131690979004
2160,117,0.2787338197231293
2170,118,0.22920890152454376
2180,119,0.23764720559120178
2190,120,0.08926399052143097
2200,121,0.03388193994760513
2210,122,0.07369910180568695
2220,123,0.07902665436267853
2230,124,0.06216098740696907
2240,125,0.07488062977790833
2250,126,0.10533282160758972
2260,127,0.11587261408567429
2270,128,0.1010034829378128
2280,129,0.10588503628969193
2290,130,0.09511834383010864
2300,131,0.08581878989934921
2310,132,0.10386239737272263
2320,133,0.12442991137504578
2330,134,0.034916575998067856
2340,135,0.07436446845531464
2350,136,0.0642739087343216
2360,137,0.07040464878082275
2370,138,0.05198545381426811
2380,139,0.041734158992767334
2390,140,0.06137826666235924
2400,141,0.017152609303593636
