environment_step,episode_id,evaluation_seed,episode_return,episode_length
0,0,10000,17.0,17
0,1,10001,10.0,10
0,2,10002,9.0,9
0,3,10003,14.0,14
0,4,10004,10.0,10
0,5,10005,14.0,14
0,6,10006,18.0,18
0,7,10007,10.0,10
0,8,10008,16.0,16
0,9,10009,9.0,9
5000,0,10000,10.0,10
5000,1,10001,9.0,9
5000,2,10002,10.0,10
5000,3,10003,10.0,10
5000,4,10004,9.0,9
5000,5,10005,11.0,11
5000,6,10006,9.0,9
5000,7,10007,9.0,9
5000,8,10008,10.0,10
5000,9,10009,10.0,10
10000,0,10000,121.0,121
10000,1,10001,125.0,125
10000,2,10002,121.0,121
10000,3,10003,85.0,85
10000,4,10004,106.0,106
10000,5,10005,113.0,113
10000,6,10006,189.0,189
10000,7,10007,115.0,115
10000,8,10008,113.0,113
10000,9,10009,114.0,114
15000,0,10000,262.0,262
15000,1,10001,236.0,236
15000,2,10002,264.0,264
15000,3,10003,465.0,465
15000,4,10004,286.0,286
15000,5,10005,244.0,244
15000,6,10006,217.0,217
15000,7,10007,269.0,269
15000,8,10008,249.0,249
15000,9,10009,241.0,241
20000,0,10000,212.0,212
20000,1,10001,217.0,217
20000,2,10002,211.0,211
20000,3,10003,256.0,256
20000,4,10004,220.0,220
20000,5,10005,223.0,223
20000,6,10006,200.0,200
20000,7,10007,218.0,218
20000,8,10008,225.0,225
20000,9,10009,219.0,219
25000,0,10000,204.0,204
25000,1,10001,207.0,207
25000,2,10002,205.0,205
25000,3,10003,245.0,245
25000,4,10004,213.0,213
25000,5,10005,216.0,216
25000,6,10006,192.0,192
25000,7,10007,210.0,210
25000,8,10008,218.0,218
25000,9,10009,210.0,210
30000,0,10000,425.0,425
30000,1,10001,500.0,500
30000,2,10002,412.0,412
30000,3,10003,289.0,289
30000,4,10004,359.0,359
30000,5,10005,500.0,500
30000,6,10006,290.0,290
30000,7,10007,401.0,401
30000,8,10008,384.0,384
30000,9,10009,500.0,500
35000,0,10000,273.0,273
35000,1,10001,289.0,289
35000,2,10002,278.0,278
35000,3,10003,354.0,354
35000,4,10004,324.0,324
35000,5,10005,301.0,301
35000,6,10006,235.0,235
35000,7,10007,307.0,307
35000,8,10008,325.0,325
35000,9,10009,291.0,291
40000,0,10000,323.0,323
40000,1,10001,343.0,343
40000,2,10002,328.0,328
40000,3,10003,335.0,335
40000,4,10004,415.0,415
40000,5,10005,367.0,367
40000,6,10006,263.0,263
40000,7,10007,382.0,382
40000,8,10008,444.0,444
40000,9,10009,351.0,351
45000,0,10000,279.0,279
45000,1,10001,293.0,293
45000,2,10002,285.0,285
45000,3,10003,351.0,351
45000,4,10004,325.0,325
45000,5,10005,308.0,308
45000,6,10006,240.0,240
45000,7,10007,307.0,307
45000,8,10008,334.0,334
45000,9,10009,300.0,300
50000,0,10000,347.0,347
50000,1,10001,412.0,412
50000,2,10002,351.0,351
50000,3,10003,285.0,285
50000,4,10004,455.0,455
50000,5,10005,460.0,460
50000,6,10006,264.0,264
50000,7,10007,432.0,432
50000,8,10008,458.0,458
50000,9,10009,431.0,431
