evaluation_seed,episode_return,episode_length
20000,-94.0,95
20001,-101.0,102
20002,-79.0,80
20003,-71.0,72
20004,-61.0,62
20005,-71.0,72
20006,-74.0,75
20007,-71.0,72
20008,-70.0,71
20009,-93.0,94
20010,-62.0,63
20011,-94.0,95
20012,-74.0,75
20013,-70.0,71
20014,-62.0,63
20015,-84.0,85
20016,-70.0,71
20017,-87.0,88
20018,-83.0,84
20019,-74.0,75
20020,-77.0,78
20021,-74.0,75
20022,-86.0,87
20023,-70.0,71
20024,-97.0,98
20025,-74.0,75
20026,-100.0,101
20027,-92.0,93
20028,-63.0,64
20029,-63.0,64
20030,-78.0,79
20031,-87.0,88
20032,-76.0,77
20033,-117.0,118
20034,-123.0,124
20035,-74.0,75
20036,-62.0,63
20037,-70.0,71
20038,-71.0,72
20039,-70.0,71
20040,-71.0,72
20041,-70.0,71
20042,-70.0,71
20043,-88.0,89
20044,-70.0,71
20045,-77.0,78
20046,-87.0,88
20047,-142.0,143
20048,-87.0,88
20049,-74.0,75
20050,-81.0,82
20051,-96.0,97
20052,-99.0,100
20053,-71.0,72
20054,-70.0,71
20055,-92.0,93
20056,-135.0,136
20057,-84.0,85
20058,-95.0,96
20059,-87.0,88
20060,-85.0,86
20061,-92.0,93
20062,-70.0,71
20063,-70.0,71
20064,-92.0,93
20065,-71.0,72
20066,-83.0,84
20067,-132.0,133
20068,-91.0,92
20069,-94.0,95
20070,-71.0,72
20071,-70.0,71
20072,-70.0,71
20073,-92.0,93
20074,-93.0,94
20075,-74.0,75
20076,-70.0,71
20077,-93.0,94
20078,-71.0,72
20079,-70.0,71
20080,-70.0,71
20081,-62.0,63
20082,-62.0,63
20083,-99.0,100
20084,-70.0,71
20085,-96.0,97
20086,-89.0,90
20087,-93.0,94
20088,-96.0,97
20089,-70.0,71
20090,-95.0,96
20091,-76.0,77
20092,-85.0,86
20093,-93.0,94
20094,-113.0,114
20095,-62.0,63
20096,-86.0,87
20097,-84.0,85
20098,-71.0,72
20099,-98.0,99
