environment_step,learning_update,safe_q,risky_q,maximum_noisy_q,safe_signed_error,safe_absolute_error,risky_signed_error,risky_absolute_error,noisy_signed_error,noisy_absolute_error,greedy_risky_choice,training_risky_fraction,noisy_state_visits,action_0_samples,action_1_samples,action_2_samples,action_3_samples,action_4_samples,action_5_samples,action_6_samples,action_7_samples,action_8_samples,action_9_samples,action_10_samples,action_11_samples,action_12_samples,action_13_samples,action_14_samples,action_15_samples,action_16_samples,action_17_samples,action_18_samples,action_19_samples,action_20_samples,action_21_samples,action_22_samples,action_23_samples,action_24_samples,action_25_samples,action_26_samples,action_27_samples,action_28_samples,action_29_samples,action_30_samples,action_31_samples,action_32_samples,action_33_samples,action_34_samples,action_35_samples,action_36_samples,action_37_samples,action_38_samples,action_39_samples,action_40_samples,action_41_samples,action_42_samples,action_43_samples,action_44_samples,action_45_samples,action_46_samples,action_47_samples,action_48_samples,action_49_samples
1000,94,-0.005315572023391724,-0.06596563011407852,0.07241345942020416,-0.005315572023391724,0.005315572023391724,0.03303436988592148,0.03303436988592148,0.17241345942020417,0.17241345942020417,0,0.5384615384615384,350,2,0,1,0,22,1,2,3,1,19,3,2,0,2,2,17,6,0,13,30,1,0,0,1,1,0,2,0,0,0,9,0,0,1,1,109,8,0,0,15,32,0,1,7,0,26,9,0,0,1
2000,194,-0.012472562491893768,-0.03227414935827255,0.3116578459739685,-0.012472562491893768,0.012472562491893768,0.06672585064172745,0.06672585064172745,0.4116578459739685,0.4116578459739685,0,0.35501355013550134,524,2,0,1,0,22,2,2,4,1,20,5,2,1,3,3,19,35,0,13,30,1,0,14,1,32,0,2,0,0,1,9,0,1,2,58,111,8,0,0,15,32,0,1,7,0,26,9,0,1,28
3000,294,0.010296497493982315,-0.15715137124061584,0.32267457246780396,0.010296497493982315,0.010296497493982315,-0.05815137124061584,0.05815137124061584,0.42267457246780393,0.42267457246780393,0,0.23406005758946935,569,2,0,2,0,22,2,2,5,1,20,5,2,1,3,4,19,39,0,13,30,1,0,23,1,50,0,2,1,0,2,9,0,1,2,59,111,8,1,1,15,33,0,1,7,0,26,9,0,1,33
4000,394,0.0037598833441734314,0.0002128109335899353,0.14442768692970276,0.0037598833441734314,0.0037598833441734314,0.09921281093358994,0.09921281093358994,0.24442768692970276,0.24442768692970276,0,0.28865979381443296,896,3,65,2,0,22,3,3,5,3,22,8,3,1,4,4,157,39,1,13,31,2,1,120,1,50,1,2,2,0,4,9,0,1,2,61,111,9,1,1,16,33,0,1,8,0,26,10,0,1,34
5000,494,0.005922351032495499,-0.08459974825382233,0.08887198567390442,0.005922351032495499,0.005922351032495499,0.014400251746177678,0.014400251746177678,0.18887198567390442,0.18887198567390442,0,0.3509862199405566,1299,4,66,2,0,22,4,4,7,3,24,9,3,1,4,5,173,39,2,14,32,4,2,121,3,125,100,2,2,0,4,56,0,1,3,61,112,50,3,3,16,34,44,1,9,9,26,10,3,20,57
6000,594,0.0009393244981765747,-0.2740815281867981,0.24415601789951324,0.0009393244981765747,0.0009393244981765747,-0.1750815281867981,0.1750815281867981,0.3441560178995132,0.3441560178995132,0,0.29310344827586204,1360,4,66,2,1,22,4,4,7,3,24,9,3,2,4,5,174,39,2,14,32,4,2,121,3,125,100,2,2,0,4,58,0,1,3,61,112,51,3,53,16,34,49,1,9,9,26,10,3,20,57
7000,694,-0.00029365159571170807,0.0974087342619896,0.06548315286636353,-0.00029365159571170807,0.00029365159571170807,0.1964087342619896,0.1964087342619896,0.16548315286636353,0.16548315286636353,1,0.3100673652694611,1657,4,66,4,1,23,4,4,7,3,24,10,3,2,4,5,174,40,2,14,32,4,2,121,4,127,102,2,3,212,4,58,0,1,3,61,112,52,6,58,18,35,107,1,9,9,26,10,4,22,57
8000,794,0.0018275883048772812,-0.0004203319549560547,0.06289524585008621,0.0018275883048772812,0.0018275883048772812,0.09857966804504395,0.09857966804504395,0.16289524585008622,0.16289524585008622,0,0.3280212483399734,1976,5,66,4,1,23,6,7,7,3,24,12,5,2,4,5,174,220,3,15,33,5,2,122,4,147,104,2,4,232,5,59,0,1,4,62,113,53,8,59,20,36,107,2,11,75,26,10,4,22,58
9000,894,-0.0031964369118213654,-0.050835952162742615,0.04623155668377876,-0.0031964369118213654,0.0031964369118213654,0.04816404783725739,0.04816404783725739,0.14623155668377877,0.14623155668377877,0,0.2881064834693001,2013,5,66,4,1,23,6,7,7,3,24,12,5,2,4,5,174,220,3,15,33,5,2,122,4,147,104,2,4,232,5,59,0,1,4,62,114,53,8,59,20,38,107,3,11,108,26,10,4,22,58
10000,994,-0.004239784553647041,0.12658362090587616,0.15028336644172668,-0.004239784553647041,0.004239784553647041,0.22558362090587616,0.22558362090587616,0.25028336644172666,0.25028336644172666,1,0.2698412698412698,2125,6,66,5,1,23,6,7,8,3,25,12,5,2,4,5,174,222,3,15,34,5,3,122,4,147,104,2,4,232,5,61,0,1,6,63,114,53,8,60,20,38,107,3,11,205,26,10,4,23,58
