action,sample_count
0,20
1,86
2,15
3,594
4,53
5,21
6,847
7,28
8,64
9,39
10,29
11,440
12,16
13,22
14,42
15,192
16,619
17,22
18,31
19,296
20,23
21,1169
22,197
23,87
24,632
25,122
26,878
27,590
28,249
29,69
30,328
31,21
32,24
33,24
34,201
35,214
36,294
37,199
38,102
39,36
40,57
41,467
42,18
43,34
44,380
45,56
46,65
47,508
48,233
49,80
