evaluation_seed,episode_return,episode_length
20000,-83.0,84
20001,-86.0,87
20002,-76.0,77
20003,-97.0,98
20004,-83.0,84
20005,-87.0,88
20006,-87.0,88
20007,-91.0,92
20008,-63.0,64
20009,-84.0,85
20010,-114.0,115
20011,-76.0,77
20012,-75.0,76
20013,-69.0,70
20014,-70.0,71
20015,-91.0,92
20016,-90.0,91
20017,-91.0,92
20018,-77.0,78
20019,-104.0,105
20020,-93.0,94
20021,-104.0,105
20022,-92.0,93
20023,-94.0,95
20024,-70.0,71
20025,-83.0,84
20026,-101.0,102
20027,-61.0,62
20028,-70.0,71
20029,-86.0,87
20030,-72.0,73
20031,-77.0,78
20032,-93.0,94
20033,-81.0,82
20034,-104.0,105
20035,-92.0,93
20036,-93.0,94
20037,-63.0,64
20038,-70.0,71
20039,-62.0,63
20040,-69.0,70
20041,-69.0,70
20042,-70.0,71
20043,-81.0,82
20044,-71.0,72
20045,-78.0,79
20046,-74.0,75
20047,-84.0,85
20048,-69.0,70
20049,-71.0,72
20050,-103.0,104
20051,-73.0,74
20052,-92.0,93
20053,-75.0,76
20054,-71.0,72
20055,-92.0,93
20056,-104.0,105
20057,-95.0,96
20058,-92.0,93
20059,-74.0,75
20060,-87.0,88
20061,-90.0,91
20062,-87.0,88
20063,-70.0,71
20064,-84.0,85
20065,-61.0,62
20066,-69.0,70
20067,-77.0,78
20068,-94.0,95
20069,-108.0,109
20070,-102.0,103
20071,-69.0,70
20072,-69.0,70
20073,-70.0,71
20074,-87.0,88
20075,-86.0,87
20076,-75.0,76
20077,-70.0,71
20078,-69.0,70
20079,-70.0,71
20080,-136.0,137
20081,-73.0,74
20082,-61.0,62
20083,-87.0,88
20084,-72.0,73
20085,-82.0,83
20086,-101.0,102
20087,-125.0,126
20088,-71.0,72
20089,-82.0,83
20090,-83.0,84
20091,-83.0,84
20092,-87.0,88
20093,-97.0,98
20094,-86.0,87
20095,-86.0,87
20096,-69.0,70
20097,-71.0,72
20098,-70.0,71
20099,-69.0,70
