environment_step,learning_update,safe_q,risky_q,maximum_noisy_q,safe_signed_error,safe_absolute_error,risky_signed_error,risky_absolute_error,noisy_signed_error,noisy_absolute_error,greedy_risky_choice,training_risky_fraction,noisy_state_visits,action_0_samples,action_1_samples,action_2_samples,action_3_samples,action_4_samples,action_5_samples,action_6_samples,action_7_samples,action_8_samples,action_9_samples
1000,94,-0.00768795982003212,0.1926342397928238,-0.0621904581785202,-0.00768795982003212,0.00768795982003212,0.29163423979282377,0.29163423979282377,0.0378095418214798,0.0378095418214798,1,0.7857142857142857,440,34,112,17,113,64,8,39,29,5,19
2000,194,0.012116743251681328,0.18803301453590393,-0.023647356778383255,0.012116743251681328,0.012116743251681328,0.2870330145359039,0.2870330145359039,0.07635264322161675,0.07635264322161675,1,0.8562152133580705,923,189,115,85,331,66,15,43,36,20,22
3000,294,0.004245307296514511,0.17992810904979706,-0.061283402144908905,0.004245307296514511,0.004245307296514511,0.27892810904979704,0.27892810904979704,0.0387165978550911,0.0387165978550911,1,0.8879798615481435,1411,380,118,101,467,73,18,82,44,78,50
4000,394,-3.205984830856323e-05,0.18406382203102112,0.008768010884523392,-3.205984830856323e-05,3.205984830856323e-05,0.2830638220310211,0.2830638220310211,0.1087680108845234,0.1087680108845234,1,0.9038553069966683,1899,386,122,381,497,82,23,85,49,222,52
5000,494,0.07237806916236877,0.17928119003772736,0.005084749311208725,0.07237806916236877,0.07237806916236877,0.27828119003772733,0.27828119003772733,0.10508474931120873,0.10508474931120873,1,0.9124282982791587,2386,444,126,500,575,86,27,290,54,225,58
6000,594,-0.02734360471367836,0.18406227231025696,0.047472551465034485,-0.02734360471367836,0.02734360471367836,0.28306227231025693,0.28306227231025693,0.1474725514650345,0.1474725514650345,1,0.9197056941778631,2875,497,127,730,578,90,34,292,61,403,62
7000,694,-0.01377272978425026,0.1902400255203247,-0.08272312581539154,-0.01377272978425026,0.01377272978425026,0.2892400255203247,0.2892400255203247,0.017276874184608465,0.017276874184608465,1,0.9238801868645232,3362,574,133,913,651,97,37,296,66,528,66
8000,794,-0.015093803405761719,0.18586868047714233,-0.059422656893730164,-0.015093803405761719,0.015093803405761719,0.2848686804771423,0.2848686804771423,0.04057734310626984,0.04057734310626984,1,0.9281754639672211,3851,698,140,1124,654,100,38,301,67,662,67
9000,894,-0.003669101744890213,0.18471410870552063,0.005343131721019745,-0.003669101744890213,0.003669101744890213,0.2837141087055206,0.2837141087055206,0.10534313172101975,0.10534313172101975,1,0.9317450096587251,4341,704,147,1289,659,106,39,306,219,801,71
10000,994,-0.015864349901676178,0.18526381254196167,0.03245015814900398,-0.015864349901676178,0.015864349901676178,0.28426381254196165,0.28426381254196165,0.132450158149004,0.132450158149004,1,0.9314407106991116,4823,724,149,1292,663,112,40,312,574,880,76
