environment_step,learning_update,safe_q,risky_q,maximum_noisy_q,safe_signed_error,safe_absolute_error,risky_signed_error,risky_absolute_error,noisy_signed_error,noisy_absolute_error,greedy_risky_choice,training_risky_fraction,noisy_state_visits,action_0_samples,action_1_samples
1000,94,0.033733971416950226,0.14339816570281982,-0.1275096982717514,0.033733971416950226,0.033733971416950226,0.24239816570281983,0.24239816570281983,-0.027509698271751398,0.027509698271751398,1,0.9512670565302144,488,292,195
2000,194,0.05443787947297096,0.10703758895397186,-0.057344693690538406,0.05443787947297096,0.05443787947297096,0.20603758895397187,0.20603758895397187,0.0426553063094616,0.0426553063094616,1,0.937984496124031,968,752,216
3000,294,0.012379386462271214,0.12249278277158737,-0.07387606799602509,0.012379386462271214,0.012379386462271214,0.22149278277158738,0.22149278277158738,0.02612393200397492,0.02612393200397492,1,0.9096117122851687,1429,1031,398
4000,394,0.023618638515472412,-0.10722844302654266,-0.15202227234840393,0.023618638515472412,0.023618638515472412,-0.008228443026542659,0.008228443026542659,-0.052022272348403925,0.052022272348403925,0,0.6827934371055953,1623,1190,433
5000,494,-0.02189980261027813,-0.08918017894029617,-0.1284751296043396,-0.02189980261027813,0.02189980261027813,0.009819821059703832,0.009819821059703832,-0.028475129604339594,0.028475129604339594,0,0.5042117930204573,1676,1242,434
6000,594,-0.009777180850505829,-0.10875414311885834,-0.05730976536870003,-0.009777180850505829,0.009777180850505829,-0.009754143118858333,0.009754143118858333,0.04269023463129998,0.04269023463129998,0,0.40350877192982454,1725,1245,480
7000,694,-0.01630566641688347,-0.1341468095779419,-0.012495584785938263,-0.01630566641688347,0.01630566641688347,-0.03514680957794189,0.03514680957794189,0.08750441521406174,0.08750441521406174,0,0.3399043062200957,1776,1249,526
8000,794,0.0026723183691501617,-0.1149628758430481,-0.09124387800693512,0.0026723183691501617,0.0026723183691501617,-0.01596287584304809,0.01596287584304809,0.008756121993064886,0.008756121993064886,0,0.2961762799740765,1828,1263,565
9000,894,0.00392256211489439,-0.11411447823047638,0.05180016905069351,0.00392256211489439,0.00392256211489439,-0.015114478230476375,0.015114478230476375,0.15180016905069352,0.15180016905069352,0,0.2636899747262005,1878,1265,613
10000,994,-0.0016046160599216819,0.03517283499240875,0.047293685376644135,-0.0016046160599216819,0.0016046160599216819,0.13417283499240876,0.13417283499240876,0.14729368537664414,0.14729368537664414,1,0.2562814070351759,2040,1277,763
11000,1094,-0.007581885904073715,0.049216315150260925,-0.03149111941456795,-0.007581885904073715,0.007581885904073715,0.14821631515026093,0.14821631515026093,0.06850888058543206,0.06850888058543206,1,0.29835949486604507,2528,1300,1227
12000,1194,0.001950961071997881,0.04953867197036743,-0.04970438778400421,0.001950961071997881,0.001950961071997881,0.14853867197036744,0.14853867197036744,0.050295612215995794,0.050295612215995794,1,0.3353733170134639,3014,1332,1681
13000,1294,-0.016837917268276215,-0.011559195816516876,-0.09684422612190247,-0.016837917268276215,0.016837917268276215,0.08744080418348313,0.08744080418348313,0.0031557738780975397,0.0031557738780975397,1,0.3679890560875513,3497,1352,2145
